eval/episode_reward_survive,training/actor_loss,eval/episode_success_any,training/entropy,eval/episode_reward,training/log_alpha,eval/episode_reward_ctrl,_step,render,_runtime,training/sps,eval/episode_success,eval/episode_reward_dist,eval/episode_success_easy,eval/episode_reward_near,step,eval/episode_success_hard,_timestamp,eval/episode_dist,training/alpha_loss,training/critic_loss
,,,,,,,0.0,"{'path': 'media/html/render_0_8266be25f5b59dd4ef82.html', 'size': 3718953.0, '_type': 'html-file', 'sha256': '8266be25f5b59dd4ef82119437117abd3c4667d0457d11fdd7c8e91452b98505'}",111.797659069,,,,,,,,1774860420.600675,,,
942.580078125,2.370509147644043,0.0,4.980739593505859,0.0,-1.8944905996322632,-3231.3486328125,1333248.0,,135.389290952,10144.702733621809,0.0,0.0,0.0,0.0,1333248.0,0.0,1774860420.772546,7586.2421875,2.315495252609253,3.7977514266967773
799.9365234375,3.44250750541687,0.0009765625,-2.1035430431365967,0.01953125,-4.67418098449707,-2853.1494140625,1587200.0,,158.842205605,27653.514818924126,0.01953125,0.0,1.9404296875,0.0,1587200.0,0.0,1774860444.1917431,6466.1484375,0.03111211024224758,3.7580807209014893
937.890625,3.430370569229126,0.00390625,-3.9990789890289307,0.3984375,-5.038636684417725,-3330.439208984375,1841152.0,,182.200122004,27801.248878692782,0.3984375,0.0,14.8701171875,0.0,1841152.0,0.0,1774860467.6446002,7503.2607421875,8.118267032841686e-06,3.777475595474243
925.765625,3.5006046295166016,0.00390625,-3.9962306022644043,1.345703125,-5.068558216094971,-3315.03125,2095104.0,,205.518619473,27883.898198650753,1.345703125,0.0,17.26953125,0.0,2095104.0,0.0,1774860491.0027595,7366.86669921875,2.5689985704957508e-05,3.8347203731536865
805.5634765625,3.589963436126709,0.0048828125,-3.999997615814209,1.154296875,-5.070602893829346,-3056.80908203125,2349056.0,"{'size': 3652717.0, '_type': 'html-file', 'sha256': 'f280e0b541af5ce06cfdce12db27222b0e24cfadeb6aaa596d8500b3623d2196', 'path': 'media/html/render_2349056_f280e0b541af5ce06cfd.html'}",255.673003776,27857.93312073133,1.154296875,0.0,3.9208984375,0.0,2349056.0,0.0,1774860564.4760866,6638.14599609375,1.3382257293415023e-06,3.8946499824523926
536.1025390625,3.6419930458068848,0.0185546875,-3.9994733333587646,3.9765625,-5.066910266876221,-1873.333251953125,2603008.0,,279.09745665,27902.344649600323,3.9765625,0.0,19.71875,0.0,2603008.0,0.0,1774860564.6728978,4269.359375,4.385014563013101e-06,3.931457757949829
533.88671875,3.6819465160369873,0.0341796875,-4.002715587615967,8.4990234375,-5.055776596069336,-1610.76123046875,2856960.0,,302.528826991,27863.483206457462,8.4990234375,0.0,35.7705078125,0.0,2856960.0,0.0,1774860587.89994,3726.175048828125,-1.6280871932394803e-05,3.9659042358398438
597.24609375,3.6880569458007812,0.0888671875,-4.003813743591309,35.4501953125,-5.004728317260742,-1723.35791015625,3110912.0,,325.935669411,27903.948380288894,35.4501953125,0.0,102.8134765625,0.0,3110912.0,0.0,1774860611.3312829,4193.8095703125,-2.4446409952361137e-05,3.971362829208374
614.9208984375,3.695413589477539,0.1083984375,-4.00036096572876,49.6279296875,-4.989416122436523,-1693.4761962890625,3364864.0,,349.186661233,27817.836583094562,49.6279296875,0.0,113.7939453125,0.0,3364864.0,0.0,1774860634.7380486,4076.8916015625,-1.588669874763582e-06,3.9722118377685547
658.4755859375,3.691321611404419,0.0869140625,-3.9997854232788086,26.6572265625,-4.97503137588501,-1943.68408203125,3618816.0,"{'size': 3732809.0, '_type': 'html-file', 'sha256': '55ffa38d23d0a88b78e6743f14a8140dab10327031068356ec36ecd9b8ebd7e8', 'path': 'media/html/render_3618816_55ffa38d23d0a88b78e6.html'}",398.893892971,27901.80670283954,26.6572265625,0.0,93.89453125,0.0,3618816.0,0.0,1774860707.696945,4836.177734375,2.4224170829256764e-06,3.9644839763641357
644.6435546875,3.678921937942505,0.125,-4.001480579376221,44.5107421875,-4.969034671783447,-1716.47265625,3872768.0,,422.462678407,27776.10740607786,44.5107421875,0.0,128.5654296875,0.0,3872768.0,0.0,1774860707.9014034,4412.6171875,-9.328973646915983e-06,3.9446113109588623
772.9345703125,3.654085636138916,0.1298828125,-4.001013278961182,55.337890625,-4.961379528045654,-2128.64501953125,4126720.0,,445.817190416,27596.631810259663,55.337890625,0.0,140.1044921875,0.0,4126720.0,0.0,1774860731.2652318,5485.48681640625,-6.208849754330004e-06,3.9127066135406494
838.01171875,3.6101715564727783,0.1435546875,-4.000807762145996,62.41015625,-4.956010818481445,-2479.013427734375,4380672.0,,469.082309792,27919.538436786464,62.41015625,0.0,141.7822265625,0.0,4380672.0,0.0,1774860754.6197174,5987.2216796875,-4.866182734986069e-06,3.8591701984405518
765.716796875,3.6067616939544678,0.1220703125,-4.002578258514404,69.9853515625,-4.944076061248779,-2170.234130859375,4634624.0,,492.578651707,27877.247715294598,69.9853515625,0.0,143.615234375,0.0,4634624.0,0.0,1774860777.8848193,5399.19384765625,-1.7765021766535938e-05,3.8532681465148926
