eval/episode_reward_ctrl,training/actor_loss,training/alpha_loss,eval/episode_success_hard,_timestamp,eval/episode_reward_survive,eval/episode_reward_near,step,training/entropy,eval/episode_dist,training/log_alpha,eval/episode_success_easy,training/critic_loss,eval/episode_success,_runtime,training/sps,_step,render,eval/episode_reward,eval/episode_reward_dist,eval/episode_success_any
,,,,1774877967.0544608,,,,,,,,,,111.865386791,,0.0,"{'sha256': '613641a86c15ca0e617d2390bf6c006a44385597bf2200d456c8eb14a7ae92e8', 'path': 'media/html/render_0_613641a86c15ca0e617d.html', 'size': 3705197.0, '_type': 'html-file'}",,,
-3112.091552734375,2.0631582736968994,2.324876546859741,0.0,1774877967.249017,944.419921875,0.0,1333248.0,5.190799236297607,7750.3955078125,-1.8996304273605347,15.330078125,3.486107110977173,1.650390625,135.490192423,10237.90595770291,1333248.0,,1.650390625,0.0,0.0029296875
-2383.535400390625,3.1966679096221924,0.03354145586490631,0.0,1774877990.6788263,634.2080078125,0.0,1587200.0,-1.8027937412261963,5025.396484375,-4.7870635986328125,5.4580078125,3.533608913421631,1.2587890625,158.959209344,27623.230780992657,1587200.0,,1.2587890625,0.0,0.0068359375
-3148.2978515625,3.268219232559204,-9.144334035227075e-05,0.0,1774878014.1476567,861.111328125,0.0,1841152.0,-4.014884948730469,6912.93603515625,-5.106159687042236,3.9296875,3.6253128051757812,0.455078125,182.316008981,27770.67243880562,1841152.0,,0.455078125,0.0,0.0029296875
-2882.673828125,3.3213822841644287,-0.0001414531288901344,0.0,1774878037.5046685,782.2880859375,0.0,2095104.0,-4.018868446350098,6333.7900390625,-4.839000225067139,54.638671875,3.6828463077545166,7.5478515625,205.648662923,27877.9196983856,2095104.0,,7.5478515625,0.0,0.025390625
-1828.4437255859375,3.39206600189209,-3.439640568103641e-05,0.0,1774878110.936918,539.935546875,0.0,2349056.0,-4.004166126251221,3765.794677734375,-4.715457916259766,42.0126953125,3.7438576221466064,3.06640625,255.747762815,27830.60921603705,2349056.0,"{'sha256': '8d1ead16be13995308e6a7cc505ba3eae5a355c46c9659c906f737a46a993656', 'path': 'media/html/render_2349056_8d1ead16be13995308e6.html', 'size': 3690289.0, '_type': 'html-file'}",3.06640625,0.0,0.015625
-1791.255126953125,3.4085168838500977,-5.056478039477952e-05,0.0,1774878111.140476,521.6015625,0.0,2603008.0,-4.00563383102417,3866.017578125,-4.67057991027832,36.283203125,3.759127140045166,3.318359375,279.201945532,27866.855438553255,2603008.0,,3.318359375,0.0,0.0234375
-1475.2939453125,3.3932299613952637,-2.226799369964283e-05,0.0,1774878134.3905253,457.314453125,0.0,2856960.0,-4.002450466156006,3132.790771484375,-4.6310648918151855,84.2939453125,3.728536605834961,22.404296875,302.638602991,27788.953387090813,2856960.0,,22.404296875,0.0,0.080078125
-2926.85546875,3.363060235977173,-2.148872590623796e-05,0.0,1774878157.8271668,893.6875,0.0,3110912.0,-4.00228214263916,6583.41015625,-4.600381374359131,118.65625,3.6820430755615234,38.447265625,326.047885273,27880.002978887245,3110912.0,,38.447265625,0.0,0.111328125
-2513.92333984375,3.3460001945495605,-2.0849578504567035e-05,0.0,1774878181.236369,778.76171875,0.0,3364864.0,-4.002151966094971,6066.5673828125,-4.576745986938477,94.7236328125,3.654987335205078,41.6357421875,349.308799621,27804.643804728345,3364864.0,,41.6357421875,0.0,0.095703125
-2729.687255859375,3.317077875137329,1.2697004422079772e-05,0.0,1774878254.1329465,822.939453125,0.0,3618816.0,-3.998918294906616,6368.02734375,-4.555796146392822,93.109375,3.6074161529541016,38.7666015625,398.943818658,27878.4837222294,3618816.0,"{'_type': 'html-file', 'sha256': 'e88d9714bf0ec593b6712c6e9b48ce1b9afc2ce4ffafd57f022125b0d63fa978', 'path': 'media/html/render_3618816_e88d9714bf0ec593b671.html', 'size': 3657193.0}",38.7666015625,0.0,0.11328125
-2724.634765625,3.295306921005249,-3.034262772416696e-05,0.0,1774878254.3448489,820.826171875,0.0,3872768.0,-4.003014087677002,6289.42578125,-4.546365261077881,105.7109375,3.5771543979644775,52.2099609375,422.519425697,27773.806428111784,3872768.0,,52.2099609375,0.0,0.0908203125
-2451.711669921875,3.281687021255493,1.930577855091542e-05,0.0,1774878277.7080617,814.7568359375,0.0,4126720.0,-3.998302936553955,5691.171875,-4.551468849182129,96.5703125,3.5596914291381836,46.076171875,445.86596474,27587.452948939772,4126720.0,,46.076171875,0.0,0.0986328125
-2360.69580078125,3.288769245147705,-1.0322651178285014e-05,0.0,1774878301.0543988,795.748046875,0.0,4380672.0,-4.001109600067139,5629.439453125,-4.556360721588135,122.3955078125,3.5585532188415527,62.767578125,469.120355576,27915.66178695352,4380672.0,,62.767578125,0.0,0.1318359375
-2449.6240234375,3.2679924964904785,3.2210376957664266e-05,0.0,1774878324.3089767,799.640625,0.0,4634624.0,-3.99704909324646,5579.6064453125,-4.554153919219971,142.05859375,3.5304503440856934,78.1982421875,492.611541741,27886.46349264828,4634624.0,,78.1982421875,0.0,0.1513671875
-2596.259765625,3.2638211250305176,-1.2035288818879053e-05,0.0,1774878397.7134254,853.9462890625,0.0,4888576.0,-4.001281261444092,6152.20703125,-4.567344665527344,134.59765625,3.5160155296325684,61.4130859375,542.52427234,27812.154340510926,4888576.0,"{'sha256': '43b8e4734509970b1a5d0a0a6761bf9f54c121b1402490955ab6c13765b2f03e', 'path': 'media/html/render_4888576_43b8e4734509970b1a5d.html', 'size': 3706341.0, '_type': 'html-file'}",61.4130859375,0.0,0.130859375
-2598.41357421875,3.2748069763183594,1.6530504581169225e-05,0.0,1774878397.9158227,851.1396484375,0.0,5142528.0,-3.9985268115997314,6283.07568359375,-4.572623252868652,122.8212890625,3.52123761177063,58.0107421875,565.986609178,28013.523931946682,5142528.0,,58.0107421875,0.0,0.1484375
-2460.9326171875,3.284590482711792,5.685516498488141e-06,0.0,1774878421.1752164,849.6953125,0.0,5396480.0,-3.9995644092559814,6182.5048828125,-4.605710029602051,138.6416015625,3.5349957942962646,64.93359375,589.36587705,27875.552214665055,5396480.0,,64.93359375,0.0,0.142578125
-2399.01513671875,3.2923967838287354,1.7534373910166323e-05,0.0,1774878444.554375,767.029296875,0.0,5650432.0,-3.998385429382324,5812.63525390625,-4.619075298309326,114.93359375,3.5306801795959473,56.7763671875,612.685029654,27811.229915498556,5650432.0,,56.7763671875,0.0,0.11328125
-2288.91064453125,3.288052797317505,-8.511659871146549e-06,0.0,1774878467.8734508,771.384765625,0.0,5904384.0,-4.000961780548096,5717.794921875,-4.609874248504639,116.5810546875,3.525669574737549,57.734375,635.997736813,27744.79340065023,5904384.0,,57.734375,0.0,0.14453125
-2178.98095703125,3.2788848876953125,1.2911357771372423e-05,0.0,1774878540.8233767,747.390625,0.0,6158336.0,-3.9988343715667725,5187.33740234375,-4.610604763031006,135.84765625,3.5142905712127686,81.5068359375,685.63422042,28009.7176286247,6158336.0,"{'size': 3696605.0, '_type': 'html-file', 'sha256': '1822937b76cce709d22c7a436ad1a69fabbccd02febe10d81479bef4c5d82c51', 'path': 'media/html/render_6158336_1822937b76cce709d22c.html'}",81.5068359375,0.0,0.142578125
-2458.279296875,3.280522108078003,-1.0929483323707245e-05,0.0,1774878541.0255945,870.7890625,0.0,6412288.0,-4.001209259033203,6460.015625,-4.6190290451049805,116.2861328125,3.5093178749084473,67.2666015625,709.233189539,27838.892653273982,6412288.0,,67.2666015625,0.0,0.1279296875
-2294.663330078125,3.265774726867676,3.138621423204313e-06,0.0,1774878564.4217808,759.9833984375,0.0,6666240.0,-3.99979829788208,5362.39892578125,-4.61515998840332,140.654296875,3.4907078742980957,88.103515625,732.557465824,27733.0972756547,6666240.0,,88.103515625,0.0,0.1796875
-2046.672607421875,3.2360963821411133,-6.748355644958792e-06,0.0,1774878587.746019,754.4091796875,0.0,6920192.0,-4.000776290893555,5373.5859375,-4.61380672454834,130.361328125,3.458824872970581,76.6015625,756.164143101,27782.260429140548,6920192.0,,76.6015625,0.0,0.162109375
-2123.54638671875,3.2457327842712402,1.577383591211401e-05,0.0,1774878611.3527117,765.5419921875,0.0,7174144.0,-3.9985454082489014,5545.67626953125,-4.607119083404541,148.1875,3.469339370727539,74.2880859375,779.586383156,27771.980836780567,7174144.0,,74.2880859375,0.0,0.1572265625
-1986.21142578125,3.2218892574310303,2.1517105778912082e-05,0.0,1774878684.6885176,740.6826171875,0.0,7428096.0,-3.9979312419891357,5372.380859375,-4.60938835144043,126.3759765625,3.4422976970672607,76.34765625,829.499374251,27865.793235893183,7428096.0,"{'_type': 'html-file', 'sha256': '88e9b2e72f4b4cd8249f4426bb2a9e87183b2779bd4400bc9e5a78787e64906b', 'path': 'media/html/render_7428096_88e9b2e72f4b4cd8249f.html', 'size': 3695409.0}",76.34765625,0.0,0.15625
-2478.10498046875,3.217792272567749,-2.956532443931792e-05,0.0,1774878684.8692422,844.9580078125,0.0,7682048.0,-4.003088474273682,6196.85302734375,-4.602468013763428,119.435546875,3.435366153717041,77.0830078125,853.087284321,27791.325761377,7682048.0,,77.0830078125,0.0,0.138671875
-2315.18310546875,3.201761245727539,-9.665581046647276e-07,0.0,1774878708.2759306,862.4560546875,0.0,7936000.0,-4.0002007484436035,5921.8291015625,-4.597188472747803,189.259765625,3.41621994972229,122.990234375,876.454226099,27916.42415360954,7936000.0,,122.990234375,0.0,0.2265625
-2482.109375,3.1903114318847656,-2.7637457606033422e-05,0.0,1774878731.6427438,893.0439453125,0.0,8189952.0,-4.002778053283691,6581.45458984375,-4.584675312042236,129.5126953125,3.408958673477173,89.5771484375,899.78694165,27809.058157914962,8189952.0,,89.5771484375,0.0,0.17578125
-2169.45703125,3.176085948944092,1.638471439946443e-05,0.0,1774878754.9755404,795.5791015625,0.0,8443904.0,-3.9985344409942627,5759.5244140625,-4.567183971405029,157.05078125,3.3936755657196045,109.1123046875,923.192997408,27746.827919383646,8443904.0,,109.1123046875,0.0,0.1884765625
-2286.53271484375,3.1865170001983643,-1.0628121344780084e-05,0.0,1774878828.5691848,861.8017578125,0.0,8697856.0,-4.001125812530518,6118.9287109375,-4.568898677825928,138.5556640625,3.400972366333008,92.7275390625,973.380048734,27777.474991919604,8697856.0,"{'sha256': '0e41257addc3df70734d0db273bb718ef2d34fa6a56252ff719360abe1df50ed', 'path': 'media/html/render_8697856_0e41257addc3df70734d.html', 'size': 3795761.0, '_type': 'html-file'}",92.7275390625,0.0,0.1865234375
-1961.62841796875,3.1815760135650635,-6.091639079386368e-06,0.0,1774878828.7791743,795.216796875,0.0,8951808.0,-4.00068473815918,5395.27587890625,-4.561895847320557,167.7861328125,3.3946104049682617,114.6669921875,997.030580015,27772.00473230054,8951808.0,,114.6669921875,0.0,0.1826171875
-2085.5791015625,3.165339708328247,2.7210630832996685e-06,0.0,1774878852.2191598,826.7451171875,0.0,9205760.0,-3.999849319458008,5948.9521484375,-4.555983543395996,155.2685546875,3.3782477378845215,78.74609375,1020.434293591,27657.540903707606,9205760.0,,78.74609375,0.0,0.1611328125
-1520.517822265625,3.169905662536621,1.7096952433348633e-05,0.0,1774878875.622831,659.2734375,0.0,9459712.0,-3.998478889465332,4589.72802734375,-4.564439296722412,142.2900390625,3.3836164474487305,84.6748046875,1043.834997005,27758.28822884662,9459712.0,,84.6748046875,0.0,0.1708984375
-2071.06884765625,3.1571242809295654,9.406376761944557e-07,0.0,1774878899.0234497,874.7578125,0.0,9713664.0,-4.00001859664917,5684.58935546875,-4.559649467468262,203.4658203125,3.3755135536193848,128.7431640625,1067.26300426,27770.467537615536,9713664.0,,128.7431640625,0.0,0.2216796875
