step,success_rate
793600,0.0
1047552,0.0
1301504,0.00390625
1555456,0.0234375
1809408,0.0390625
2063360,0.0390625
2317312,0.07421875
2571264,0.0546875
2825216,0.0703125
3079168,0.125
3333120,0.05078125
3587072,0.10546875
3841024,0.1015625
4094976,0.12890625
4348928,0.12109375
4602880,0.12890625
4856832,0.15625
5110784,0.12890625
5364736,0.16015625
5618688,0.12109375
5872640,0.14453125
6126592,0.13671875
6380544,0.20703125
6634496,0.140625
6888448,0.13671875
7142400,0.140625
7396352,0.16796875
7650304,0.1640625
7904256,0.1640625
8158208,0.18359375
8412160,0.203125
8666112,0.16796875
8920064,0.1796875
9174016,0.1953125
9427968,0.15625
9681920,0.234375
9935872,0.234375
10189824,0.20703125
10443776,0.1875
10697728,0.2578125
10951680,0.16015625
11205632,0.21875
11459584,0.21875
11713536,0.23046875
11967488,0.21875
12221440,0.19140625
12475392,0.26171875
12729344,0.16796875
12983296,0.234375
13237248,0.2109375
13491200,0.2109375
13745152,0.2265625
13999104,0.2578125
14253056,0.25
14507008,0.25
14760960,0.27734375
15014912,0.26171875
15268864,0.2265625
15522816,0.21875
15776768,0.32421875
16030720,0.26171875
16284672,0.171875
16538624,0.23828125
16792576,0.25
17046528,0.265625
17300480,0.1953125
17554432,0.2578125
17808384,0.1875
18062336,0.2109375
18316288,0.296875
18570240,0.28125
18824192,0.1875
19078144,0.2578125
19332096,0.25
19586048,0.21875
19840000,0.13671875
20093952,0.2421875
20347904,0.2265625
20601856,0.27734375
20855808,0.23828125
21109760,0.203125
21363712,0.19921875
21617664,0.21875
21871616,0.3203125
22125568,0.25
22379520,0.21875
22633472,0.24609375
22887424,0.2734375
23141376,0.21484375
23395328,0.24609375
23649280,0.2265625
23903232,0.19921875
24157184,0.25390625
24411136,0.21875
24665088,0.23828125
24919040,0.20703125
25172992,0.21875
25426944,0.19921875
25680896,0.25390625
25934848,0.14453125
26188800,0.1875
26442752,0.22265625
26696704,0.16015625
26950656,0.1640625
27204608,0.22265625
27458560,0.25390625
27712512,0.21484375
27966464,0.1875
28220416,0.25390625
28474368,0.1796875
28728320,0.203125
28982272,0.2265625
29236224,0.265625
29490176,0.25390625
29744128,0.21484375
29998080,0.22265625
30252032,0.25
30505984,0.2265625
30759936,0.24609375
31013888,0.1953125
31267840,0.2265625
31521792,0.25390625
31775744,0.234375
32029696,0.2109375
32283648,0.28515625
32537600,0.2734375
32791552,0.23046875
33045504,0.265625
33299456,0.265625
33553408,0.234375
33807360,0.2421875
34061312,0.23828125
34315264,0.25390625
34569216,0.26171875
34823168,0.23828125
35077120,0.25
35331072,0.21875
35585024,0.25
35838976,0.2265625
36092928,0.2109375
36346880,0.23046875
36600832,0.20703125
36854784,0.2734375
37108736,0.21875
37362688,0.27734375
37616640,0.23828125
37870592,0.2734375
38124544,0.25
38378496,0.21875
38632448,0.22265625
38886400,0.203125
39140352,0.2109375
39394304,0.265625
39648256,0.25390625
39902208,0.27734375
40156160,0.265625
40410112,0.2578125
40664064,0.26953125
40918016,0.2578125
41171968,0.2578125
41425920,0.24609375
41679872,0.171875
41933824,0.23046875
42187776,0.22265625
42441728,0.234375
42695680,0.2421875
42949632,0.26171875
43203584,0.29296875
43457536,0.296875
43711488,0.28515625
43965440,0.24609375
44219392,0.26171875
44473344,0.2421875
44727296,0.2265625
44981248,0.28515625
45235200,0.25390625
45489152,0.30078125
45743104,0.29296875
45997056,0.2421875
46251008,0.26171875
46504960,0.2734375
46758912,0.23828125
47012864,0.2265625
47266816,0.3046875
47520768,0.19140625
47774720,0.1796875
48028672,0.28515625
48282624,0.2421875
48536576,0.19140625
48790528,0.24609375
49044480,0.24609375
49298432,0.24609375
49552384,0.171875
49806336,0.234375
50060288,0.24609375
50314240,0.23828125
50568192,0.24609375
50822144,0.21484375
51076096,0.23828125
51330048,0.27734375
