eval/episode_success_any,_step,training/log_alpha,training/sps,step,_runtime,_timestamp,eval/episode_reward_near,eval/episode_reward,render,training/actor_loss,training/critic_loss,eval/episode_success,eval/episode_reward_ctrl,eval/episode_reward_dist,eval/episode_success_easy,eval/episode_success_hard,training/entropy,eval/episode_dist,training/alpha_loss,eval/episode_reward_survive
,0.0,,,,43.590744387,1773761032.692007,,,"{'sha256': '42bc20e9f8f714ec484b2d8f8e56d481c83b97a4aab7d2d6f9a4182621004bd0', 'path': 'media/html/render_0_42bc20e9f8f714ec484b.html', 'size': 4131137.0, '_type': 'html-file'}",,,,,,,,,,,
,1.0,,,,96.291330766,1773761085.3925807,,,"{'sha256': '3e52dc69f4d603007924b565fc512f3af1ec7198f4280510992634182c36ca69', 'path': 'media/html/render_1_3e52dc69f4d603007924.html', 'size': 4158189.0, '_type': 'html-file'}",,,,,,,,,,,
0.001953125,1333248.0,0.0,12287.905683687639,1333248.0,105.515431187,1773761085.5823274,0.0,0.03125,,-51.76565933227539,0.2912457585334778,0.03125,-1323.2760009765625,0.0,19.189453125,0.0,0.0,2690.42626953125,2.2659642696380615,785.845703125
0.001953125,1587200.0,0.0,42401.05122924814,1587200.0,114.546623558,1773761094.6163385,0.0,0.13671875,,-33.259124755859375,0.13775330781936646,0.13671875,-2124.8486328125,0.0,31.5654296875,0.0,0.0,3106.614013671875,0.036691684275865555,931.646484375
0.0029296875,1841152.0,0.0,42437.4529034553,1841152.0,123.559044924,1773761103.6468663,0.0,0.4501953125,,-15.239764213562012,0.03589286282658577,0.4501953125,-2055.48681640625,0.0,18.091796875,0.0,0.0,3146.0146484375,0.00031502675847150385,916.7265625
0.0009765625,2095104.0,0.0,42457.4608768635,2095104.0,132.599018757,1773761112.6598678,0.0,0.3251953125,,-6.91115665435791,0.009266842156648636,0.3251953125,-2017.097412109375,0.0,11.7236328125,0.0,0.0,3177.232177734375,5.6848923122743145e-05,912.69921875
0.0009765625,2349056.0,0.0,42458.05152380945,2349056.0,160.776204501,1773761149.877581,0.0,0.3193359375,"{'path': 'media/html/render_2349056_97d523386856c66cf7ce.html', 'size': 4080581.0, '_type': 'html-file', 'sha256': '97d523386856c66cf7ce82c3229425326f54a0ae3314b5ed717450d24d674152'}",-3.2509419918060303,0.006440345197916031,0.3193359375,-1729.953125,0.0,23.1435546875,0.0,0.0,2855.138671875,1.8274795365869068e-05,838.1845703125
0.001953125,2603008.0,0.0,42439.00171437087,2603008.0,169.994066566,1773761150.0432036,0.0,0.84375,,-1.8238694667816162,0.007386478129774332,0.84375,-1826.99365234375,0.0,16.30859375,0.0,0.0,2921.533203125,3.799374781010556e-06,850.080078125
0.0009765625,2856960.0,0.0,42398.16514998412,2856960.0,178.989419248,1773761159.0948882,0.0,0.5361328125,,-1.2164229154586792,0.0070059713907539845,0.5361328125,-1834.330322265625,0.0,15.0341796875,0.0,0.0,3056.90380859375,1.2895414329250343e-05,892.1015625
0.0029296875,3110912.0,0.0,42486.111791066745,3110912.0,188.04575549,1773761168.0901806,0.0,0.4755859375,,-0.7766249775886536,0.004885329399257898,0.4755859375,-1500.7646484375,0.0,18.0810546875,0.0,0.0,2442.68896484375,8.52611174195772e-06,738.3466796875
0.0,3364864.0,0.0,42385.8826115881,3364864.0,197.071954229,1773761177.1464715,0.0,0.0,,-0.5177722573280334,0.0031441370956599712,0.0,-1818.44140625,0.0,11.6669921875,0.0,0.0,2937.644775390625,1.626012090127915e-05,862.2373046875
