training/entropy,_step,eval/episode_dist,eval/episode_reward_near,eval/episode_success_any,training/log_alpha,eval/episode_reward,eval/episode_success,eval/episode_success_hard,eval/episode_reward_dist,training/critic_loss,eval/episode_reward_survive,_timestamp,_runtime,training/sps,training/alpha_loss,eval/episode_reward_ctrl,step,eval/episode_success_easy,render,training/actor_loss
,0.0,,,,,,,,,,,1773770632.7093377,42.637133375,,,,,,"{'path': 'media/html/render_0_4c4794a031da68956d97.html', 'size': 4110217.0, '_type': 'html-file', 'sha256': '4c4794a031da68956d972a693747d77ab1334e2639bb9f3a1251707fbee473ea'}",
,1.0,,,,,,,,,,,1773770685.6023343,95.530103294,,,,,,"{'path': 'media/html/render_1_adb912711b19799c764e.html', 'size': 4078561.0, '_type': 'html-file', 'sha256': 'adb912711b19799c764e8498e529b91f75283c57e75d6e8305e6a5ee93b8a33b'}",
0.0,1333248.0,2518.998046875,0.0,0.001953125,0.0,0.037109375,0.037109375,0.0,0.0,1.965158224105835,740.3154296875,1773770685.830244,104.793225128,12211.022387751796,2.2559640407562256,-1249.952392578125,1333248.0,20.4873046875,,-46.17582321166992
0.0,1587200.0,2892.761474609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529746949672699,842.9423828125,1773770694.8649359,113.848345922,42390.01367661032,0.033359136432409286,-1628.72021484375,1587200.0,10.7607421875,,-27.600242614746094
0.0,1841152.0,2884.0986328125,0.0,0.001953125,0.0,0.5986328125,0.5986328125,0.0,0.0,0.08278720080852509,840.1181640625,1773770703.919586,122.873248728,42248.50954067346,0.00031020701862871647,-1650.00830078125,1841152.0,18.107421875,,-12.131617546081543
0.0,2095104.0,3360.363037109375,0.0,0.0009765625,0.0,0.3017578125,0.3017578125,0.0,0.0,0.01489443238824606,967.7802734375,1773770712.9449103,131.938772742,42366.427338096415,5.4653228289680555e-05,-1836.9527587890625,2095104.0,10.2412109375,,-5.422685623168945
0.0,2349056.0,3294.0341796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006903841160237789,958.92578125,1773770750.4422212,160.369911776,42273.496452211584,2.1616811864078045e-05,-1742.57666015625,2349056.0,6.9892578125,"{'sha256': '83a75064cfb6594947fe77a8aaa140f0b13a5a417ef646d34d917f33a9c2369a', 'path': 'media/html/render_2349056_83a75064cfb6594947fe.html', 'size': 4115653.0, '_type': 'html-file'}",-2.57922625541687
0.0,2603008.0,3181.509765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010189776308834553,937.8583984375,1773770750.6294498,169.640614831,42314.8495483822,9.37989170779474e-06,-1955.8634033203125,2603008.0,9.9736328125,,-1.4415830373764038
0.0,2856960.0,2896.980712890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015861786901950836,847.869140625,1773770759.7121534,178.651889811,42196.24037208212,9.143302122538444e-06,-1700.9912109375,2856960.0,7.3818359375,,-1.07344388961792
0.0,3110912.0,2906.91552734375,0.0,0.0009765625,0.0,0.517578125,0.517578125,0.0,0.0,0.019720006734132767,862.8564453125,1773770768.7234104,187.726431765,42363.8677877398,-1.729887844703626e-05,-1921.2027587890625,3110912.0,14.1201171875,,-0.9346087574958801
0.0,3364864.0,2649.22265625,0.0,0.0009765625,0.0,0.109375,0.109375,0.0,0.0,0.022810345515608788,786.220703125,1773770777.7978704,196.76846304,42250.8708153406,1.2432160474418197e-06,-1680.71044921875,3364864.0,11.4287109375,,-1.0095677375793457
0.0,3618816.0,3051.9794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02062479965388775,904.4384765625,1773770815.4348617,225.362533272,42140.85903455647,6.931606549187563e-06,-1790.1885986328125,3618816.0,5.17578125,"{'path': 'media/html/render_3618816_a85bf5ecc8051e32df75.html', 'size': 4097473.0, '_type': 'html-file', 'sha256': 'a85bf5ecc8051e32df755ea8b39113f9a91b17b9990658144f1de7552982a826'}",-1.0060867071151733
0.0,3872768.0,2895.734375,0.0,0.0009765625,0.0,0.2724609375,0.2724609375,0.0,0.0,0.015004684217274189,865.517578125,1773770815.6010711,234.585859546,42209.70617468078,4.491509116633097e-06,-1817.645751953125,3872768.0,8.037109375,,-0.7968615889549255
0.0,4126720.0,2981.6943359375,0.0,0.0029296875,0.0,0.7265625,0.7265625,0.0,0.0,0.018528344109654427,879.2119140625,1773770824.657454,243.673895283,42083.66910817232,8.645015441288706e-06,-1943.67529296875,4126720.0,19.3427734375,,-0.7897706031799316
0.0,4380672.0,3191.573974609375,0.0,0.0009765625,0.0,0.1103515625,0.1103515625,0.0,0.0,0.016625814139842987,934.4755859375,1773770833.7454882,252.70679239,42122.66742046921,7.696521606703755e-06,-2039.5115966796875,4380672.0,13.3505859375,,-0.6843859553337097
0.0,4634624.0,3253.92431640625,0.0,0.0009765625,0.0,0.0185546875,0.0185546875,0.0,0.0,0.01688610576093197,951.1689453125,1773770842.7782252,261.780871604,42191.53196117253,-8.599882676207926e-06,-1926.73291015625,4634624.0,9.3271484375,,-0.7247228622436523
0.0,4888576.0,2986.074462890625,0.0,0.0009765625,0.0,0.134765625,0.134765625,0.0,0.0,0.015830866992473602,871.888671875,1773770880.273176,290.200876485,42203.013166888835,1.4839406503597274e-05,-1844.007568359375,4888576.0,8.47265625,"{'size': 4070425.0, '_type': 'html-file', 'sha256': 'bf5b81849b9c0c15132ef7c839a5df4993ee5bd8f499e53e35cf4b94119b7b5b', 'path': 'media/html/render_4888576_bf5b81849b9c0c15132e.html'}",-0.7204747796058655
0.0,5142528.0,2969.134765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01250421442091465,873.97265625,1773770880.4486136,299.498912317,42133.77616967056,-1.2089591905350972e-07,-1911.71142578125,5142528.0,10.693359375,,-0.5910489559173584
0.0,5396480.0,3000.37646484375,0.0,0.0009765625,0.0,0.0986328125,0.0986328125,0.0,0.0,0.01153919380158186,884.8544921875,1773770889.5699093,308.520738993,41925.9956774755,2.7918792966374895e-07,-1887.5589599609375,5396480.0,11.6943359375,,-0.524284839630127
0.0,5650432.0,3022.63232421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009939593262970448,890.5869140625,1773770898.5922985,317.567373437,42280.70525464697,8.973171134130098e-06,-1930.690185546875,5650432.0,9.884765625,,-0.5247510075569153
0.0,5904384.0,3081.466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008608575910329819,920.0439453125,1773770907.639074,326.584739887,42374.75854936041,4.416000138007803e-06,-2003.1690673828125,5904384.0,10.8212890625,,-0.46527862548828125
0.0,6158336.0,3025.94482421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00707162544131279,885.8974609375,1773770945.3167953,355.244485005,42332.590111165824,2.306776195837301e-06,-1805.7528076171875,6158336.0,8.6201171875,"{'path': 'media/html/render_6158336_184d77a31f542b257cfc.html', 'size': 4100449.0, '_type': 'html-file', 'sha256': '184d77a31f542b257cfc3c1f234092082921c9fd1067bc65d4123e62360244ee'}",-0.4198957681655884
0.0,6412288.0,3156.821044921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006364261265844107,929.1181640625,1773770945.4842823,364.447261445,42370.733270272925,5.3150756684772205e-06,-1882.48828125,6412288.0,7.3125,,-0.3914748728275299
0.0,6666240.0,3177.74951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043996660970151424,934.0498046875,1773770954.5188708,373.503826394,42194.40000545082,1.8560923535915208e-06,-2054.90771484375,6666240.0,14.1181640625,,-0.2618946135044098
