training/log_alpha,training/actor_loss,training/alpha_loss,training/critic_loss,eval/episode_success_hard,eval/episode_success_easy,training/sps,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_survive,_timestamp,training/entropy,eval/episode_dist,step,_step,eval/episode_success_any,eval/episode_reward,_runtime,eval/episode_reward_near,render,eval/episode_reward_ctrl
,,,,,,,,,,1773784053.8574402,,,,0.0,,,43.091182859,,"{'path': 'media/html/render_0_6395b421390f301131a4.html', 'size': 4097673.0, '_type': 'html-file', 'sha256': '6395b421390f301131a4df92ac1a25beb6092c8704e280b9cf9d317ecd689f45'}",
,,,,,,,,,,1773784106.966194,,,,1.0,,,96.199894758,,"{'_type': 'html-file', 'sha256': '9bda51b90d699912527d259981f8c61f0bf30e2c326fbadebcd819b06d947611', 'path': 'media/html/render_1_9bda51b90d699912527d.html', 'size': 4077453.0}",
0.0,-52.81673049926758,2.2862985134124756,0.544262170791626,0.0,26.427734375,12210.68670443889,0.1142578125,0.0,773.33984375,1773784107.187452,0.0,2638.1435546875,1333248.0,1333248.0,0.0029296875,0.1142578125,105.476879507,0.0,,-1358.4007568359375
0.0,-33.56249237060547,0.03698352351784706,0.22544682025909424,0.0,25.310546875,42232.87045734769,0.48046875,0.0,805.279296875,1773784116.2426813,0.0,2707.631591796875,1587200.0,1587200.0,0.00390625,0.48046875,114.530483185,0.0,,-1807.68896484375
0.0,-15.091194152832031,0.0002826040145009756,0.044666588306427,0.0,21.4609375,42254.86161752744,0.3564453125,0.0,828.76953125,1773784125.2954693,0.0,2800.69921875,1841152.0,1841152.0,0.00390625,0.3564453125,123.559848116,0.0,,-1791.200439453125
0.0,-6.822926998138428,0.00010017668682849035,0.01060500182211399,0.0,34.1611328125,42327.42398564077,1.1953125,0.0,933.474609375,1773784134.3252985,0.0,3160.08349609375,2095104.0,2095104.0,0.005859375,1.1953125,132.62600893,0.0,,-1930.309326171875
0.0,-3.1134166717529297,2.2763584638596512e-05,0.004531349521130323,0.0,26.859375,42263.57494604326,0.853515625,0.0,875.07421875,1773784171.8211832,0.0,2973.095703125,2349056.0,2349056.0,0.0048828125,0.853515625,161.054816239,0.0,"{'path': 'media/html/render_2349056_0b456ee7b0d212484530.html', 'size': 4106829.0, '_type': 'html-file', 'sha256': '0b456ee7b0d21248453068aa011bc79c6448c4a8849ac1e8e371d29e93e31d89'}",-1731.3468017578125
0.0,-1.529948115348816,5.16348154633306e-06,0.004876180551946163,0.0,15.8046875,42285.854945423496,0.2666015625,0.0,818.53515625,1773784171.9927378,0.0,2753.45751953125,2603008.0,2603008.0,0.00390625,0.2666015625,170.303408836,0.0,,-1692.0086669921875
0.0,-0.9924696683883667,1.7813622434914578e-06,0.007477502338588238,0.0,14.619140625,42200.578656128986,0.0,0.0,943.2724609375,1773784181.0692806,0.0,3188.48828125,2856960.0,2856960.0,0.0,0.0,179.312514046,0.0,,-1816.60009765625
0.0,-0.9345574378967285,1.1477220141387079e-05,0.009454615414142609,0.0,17.107421875,42361.34224101781,0.0107421875,0.0,905.4169921875,1773784190.07824,0.0,3098.68603515625,3110912.0,3110912.0,0.0009765625,0.0107421875,188.386868267,0.0,,-1710.17138671875
0.0,-0.8592503070831299,-1.2312355011090403e-06,0.008492844179272652,0.0,17.2783203125,42225.48880066187,0.0,0.0,853.7216796875,1773784199.1525643,0.0,2892.86474609375,3364864.0,3364864.0,0.0,0.0,197.42840226,0.0,,-1693.73291015625
