training/entropy,render,training/sps,eval/episode_reward_dist,training/alpha_loss,eval/episode_success_any,eval/episode_success_easy,eval/episode_reward_ctrl,training/critic_loss,_timestamp,eval/episode_reward,eval/episode_reward_survive,eval/episode_dist,eval/episode_reward_near,_step,eval/episode_success,_runtime,training/actor_loss,step,training/log_alpha,eval/episode_success_hard
,"{'_type': 'html-file', 'sha256': '4a8c373a1fb080c0163d0c265f705cbf01a22f4d4cd777841d48342bafb4d37f', 'path': 'media/html/render_0_4a8c373a1fb080c0163d.html', 'size': 3873905.0}",,,,,,,,1773545719.2169173,,,,,0.0,,64.56394163,,,,
,"{'_type': 'html-file', 'sha256': 'ef74b342ecead0fb10d6ad9b0e181499b2bab1878a4af01a30fcf307fb9e26da', 'path': 'media/html/render_1_ef74b342ecead0fb10d6.html', 'size': 3863465.0}",,,,,,,,1773545812.5462546,,,,,1.0,,157.89320455,,,,
0.0,,9273.58257599355,0.0,2.0380165576934814,0.0224609375,21.04296875,-1273.5435791015625,0.15367324650287628,1773545812.733429,1.2744140625,681.9462890625,5201.5576171875,0.0,1333248.0,1.2744140625,181.025923995,-33.242919921875,1333248.0,0.0,0.0
0.0,,28781.535962264763,0.0,0.031891606748104095,0.00390625,4.3486328125,-1633.663330078125,0.04259634017944336,1773545835.6784139,0.1689453125,777.8583984375,6618.8232421875,0.0,1587200.0,0.1689453125,204.096669142,-21.643051147460938,1587200.0,0.0,0.0
0.0,,28831.4025023388,0.0,0.00019577342027332634,0.0,2.625,-1411.890869140625,0.015459724701941013,1773545858.7490675,0.0,674.5712890625,5584.1650390625,0.0,1841152.0,0.0,227.094255355,-10.077410697937012,1841152.0,0.0,0.0
0.0,,28865.292354582285,0.0,1.3477951142704114e-05,0.0,4.419921875,-1793.858642578125,0.007683911826461554,1773545881.746444,0.0,807.986328125,6666.3291015625,0.0,2095104.0,0.0,250.312588832,-4.837923049926758,2095104.0,0.0,0.0
0.0,"{'_type': 'html-file', 'sha256': '8326e851fbc532edf761f3ff10c533a790d38139e16ce819b0d54e5c667fef86', 'path': 'media/html/render_2349056_8326e851fbc532edf761.html', 'size': 3865869.0}",28870.28782548505,0.0,2.1033019947935827e-05,0.0048828125,3.5869140625,-1350.97412109375,0.010174714028835297,1773545954.8917456,0.0986328125,675.4306640625,5831.0927734375,0.0,2349056.0,0.0986328125,300.238738404,-2.6095361709594727,2349056.0,0.0,0.0
0.0,,29030.642349634607,0.0,1.2232585504534654e-05,0.009765625,21.0458984375,-1685.4345703125,0.013307265006005764,1773545955.0775194,1.9775390625,832.787109375,6702.15771484375,0.0,2603008.0,1.9775390625,323.540588445,-1.8394876718521118,2603008.0,0.0,0.0
0.0,,28744.432758723655,0.0,2.3391608920064755e-05,0.0126953125,13.451171875,-1509.1416015625,0.015543166548013687,1773545978.1929324,1.6025390625,764.51953125,6314.3095703125,0.0,2856960.0,1.6025390625,346.557265174,-1.5507984161376953,2856960.0,0.0,0.0
0.0,,29043.85237389001,0.0,1.2355647413642146e-05,0.060546875,92.330078125,-1776.610595703125,0.017210740596055984,1773546001.2095878,17.5615234375,843.37890625,6604.125,0.0,3110912.0,17.5615234375,369.622828875,-1.3876433372497559,3110912.0,0.0,0.0
