training/entropy,_timestamp,_runtime,eval/episode_success,eval/episode_reward_survive,render,training/alpha_loss,eval/episode_reward_ctrl,eval/episode_success_hard,training/log_alpha,eval/episode_reward_dist,eval/episode_dist,_step,training/critic_loss,eval/episode_reward,eval/episode_success_easy,step,training/sps,eval/episode_success_any,training/actor_loss,eval/episode_reward_near
,1773842142.8525558,57.241915202,,,"{'_type': 'html-file', 'sha256': 'c4a2bd288af2e36474dbcf98870572eeedcfddb9e312866735afe298252f013d', 'path': 'media/html/render_0_c4a2bd288af2e36474db.html', 'size': 4728145.0}",,,,,,,0.0,,,,,,,,
,1773842211.827694,126.216975031,,,"{'size': 4749337.0, '_type': 'html-file', 'sha256': '867f34464a2a55ccbd491c25dea428ced3e2c51c5c814f45de568d85bab61b89', 'path': 'media/html/render_1_867f34464a2a55ccbd49.html'}",,,,,,,1.0,,,,,,,,
0.0,1773842212.0099297,138.045458876,0.0,0.0,,5.326474666595459,0.0,0.0,0.0,0.0,76.51466369628906,793600.0,27.75443458557129,0.0,6.396484375,793600.0,9901.088928296937,0.0,-48.53942108154297,0.0
0.0,1773842223.6556585,149.662775832,0.0,0.0,,0.06589503586292267,0.0,0.0,0.0,0.0,101.63088989257812,1047552.0,1.5100605487823486,0.0,10.279296875,1047552.0,33046.19579154503,0.0,-15.971454620361328,0.0
0.0,1773842235.2729242,161.306222659,0.0,0.0,,0.0009138399618677795,0.0,0.0,0.0,0.0,199.54205322265625,1301504.0,0.3538464605808258,0.0,16.103515625,1301504.0,33206.16580831876,0.0,-11.66458797454834,0.0
0.0,1773842246.9164705,172.930238009,0.0,0.0,,0.00028435097192414105,0.0,0.0,0.0,0.0,355.20458984375,1555456.0,0.05190851911902428,0.0,23.5390625,1555456.0,33050.128107859244,0.0,-5.020606994628906,0.0
0.0,1773842295.9187753,210.308078725,0.0,0.0,"{'sha256': '85fbfa89a57fb3930210beff7d655a8ab9b650df04129618b1303927a8b2340a', 'path': 'media/html/render_1809408_85fbfa89a57fb3930210.html', 'size': 4717489.0, '_type': 'html-file'}",0.00023778722970746458,0.0,0.0,0.0,0.0,279.48052978515625,1809408.0,0.013329674489796162,0.0,20.5078125,1809408.0,33160.61728630975,0.0,-1.9900968074798584,0.0
0.0,1773842296.1083922,222.140141112,0.0,0.0,,8.645923662697896e-05,0.0,0.0,0.0,0.0,266.91204833984375,2063360.0,0.003619485069066286,0.0,21.98828125,2063360.0,33106.005400016125,0.0,-0.6775484681129456,0.0
0.0,1773842307.7499762,233.759722756,0.0,0.0,,4.122981772525236e-05,0.0,0.0,0.0,0.0,189.88243103027344,2317312.0,0.000691463123075664,0.0,15.1484375,2317312.0,33113.544309630226,0.0,-0.18246206641197205,0.0
0.0,1773842319.3699536,245.386802717,0.0,0.0,,1.2253491149749607e-05,0.0,0.0,0.0,0.0,175.6966552734375,2571264.0,0.0001810318062780425,0.0,14.7265625,2571264.0,33164.3775894455,0.0,-0.026240352541208267,0.0
0.0,1773842330.9969192,257.012725654,0.0,0.0,,-2.8935641239513643e-05,0.0,0.0,0.0,0.0,126.83744812011719,2825216.0,0.0002530217752791941,0.0,7.748046875,2825216.0,33164.431284737315,0.0,-0.09406387060880661,0.0
0.0,1773842380.0720377,294.461362273,0.0,0.0,"{'path': 'media/html/render_3079168_6484081c40c46758a713.html', 'size': 4745649.0, '_type': 'html-file', 'sha256': '6484081c40c46758a71366645613294930e0e31310466a76a94ba7b18551897c'}",2.2184465706232004e-05,0.0,0.0,0.0,0.0,205.8998565673828,3079168.0,0.0002810222504194826,0.0,17.392578125,3079168.0,33142.466876976716,0.0,-0.13901066780090332,0.0
0.0,1773842380.265622,306.302042803,0.0,0.0,,7.902855941210873e-06,0.0,0.0,0.0,0.0,273.44049072265625,3333120.0,0.00012128784146625549,0.0,18.703125,3333120.0,33189.43913103805,0.0,-0.04446471482515335,0.0
0.0,1773842391.9121482,317.919914974,0.013671875,0.0,,-1.8144704881706275e-05,0.0,0.0,0.0,0.0,189.43173217773438,3587072.0,0.00016064313240349293,0.013671875,16.55859375,3587072.0,33072.802027455575,0.001953125,-0.08897017687559128,0.0
0.0,1773842403.5301135,329.547111124,0.0,0.0,,7.605896826134995e-06,0.0,0.0,0.0,0.0,188.36859130859375,3841024.0,0.0001385199575452134,0.0,17.728515625,3841024.0,33181.53795175868,0.0,-0.03283744305372238,0.0
0.0,1773842415.157227,341.160521633,0.0,0.0,,1.175711304313154e-06,0.0,0.0,0.0,0.0,167.21453857421875,4094976.0,9.804310684558004e-05,0.0,10.482421875,4094976.0,33129.957549873616,0.0,-0.00440852390602231,0.0
0.0,1773842464.1575165,378.546850027,0.0,0.0,"{'_type': 'html-file', 'sha256': 'd0465a9e30a1b311f11cb6cfb4559cc80cc8a9670c9d773f521d1f90cc802274', 'path': 'media/html/render_4348928_d0465a9e30a1b311f11c.html', 'size': 4750553.0}",-7.23536186342244e-06,0.0,0.0,0.0,0.0,136.47805786132812,4348928.0,0.0001347610232187435,0.0,9.7109375,4348928.0,33210.44278666035,0.0,-0.053884293884038925,0.0
0.0,1773842464.3489106,390.385343708,0.0,0.0,,1.2988136859348742e-06,0.0,0.0,0.0,0.0,205.87255859375,4602880.0,0.00013071334979031235,0.0,6.62109375,4602880.0,33085.08632339225,0.0,-0.044830627739429474,0.0
0.0,1773842475.995689,402.017317093,0.0,0.0,,-1.6710080672055483e-05,0.0,0.0,0.0,0.0,221.1063232421875,4856832.0,0.00022911086853127927,0.0,19.365234375,4856832.0,33073.79096693229,0.0,-0.09521874785423279,0.0
0.0,1773842487.6274407,413.859547875,0.0,0.0,,1.0438129720569123e-05,0.0,0.0,0.0,0.0,181.7112579345703,5110784.0,0.0002276160375913605,0.0,19.04296875,5110784.0,33132.64520186864,0.0,-0.12305238842964172,0.0
0.0,1773842499.4697163,425.693459477,0.0,0.0,,1.3461409480441944e-06,0.0,0.0,0.0,0.0,151.13108825683594,5364736.0,0.0002932338393293321,0.0,11.884765625,5364736.0,32240.52400446,0.0,-0.08408463001251221,0.0
0.0,1773842548.4977205,462.887002753,0.0,0.0,"{'_type': 'html-file', 'sha256': '66e13a90369ea72e31ae6861a1ad07648b7d51181eed7f27f511662724a3b1ba', 'path': 'media/html/render_5618688_66e13a90369ea72e31ae.html', 'size': 4751141.0}",-5.1515955419745296e-05,0.0,0.0,0.0,0.0,214.07725524902344,5618688.0,0.0020913949701935053,0.0,19.01953125,5618688.0,32262.110087217035,0.0,-0.2581242620944977,0.0
0.0,1773842548.6981597,474.93588152,0.0,0.0,,-6.401412974810228e-05,0.0,0.0,0.0,0.0,219.993408203125,5872640.0,0.006014443468302488,0.0,19.685546875,5872640.0,32235.909768545276,0.0,-0.6461412310600281,0.0
0.0,1773842560.5459871,486.762852672,0.0,0.0,,4.9366557504981756e-05,0.0,0.0,0.0,0.0,192.7636260986328,6126592.0,0.005255063530057669,0.0,18.271484375,6126592.0,32220.51447486992,0.0,-0.6367592811584473,0.0
0.0,1773842572.373005,498.608829693,0.0,0.0,,3.880300573655404e-05,0.0,0.0,0.0,0.0,177.32394409179688,6380544.0,0.0017082587582990527,0.0,12.958984375,6380544.0,32304.459854800483,0.0,-0.2679215371608734,0.0
0.0,1773842584.2189708,510.457694198,0.044921875,0.0,,1.2919725122628734e-05,0.0,0.0,0.0,0.0,285.74261474609375,6634496.0,0.00047149474266916513,0.044921875,24.984375,6634496.0,32217.912341300256,0.001953125,-0.08179813623428345,0.0
0.0,1773842633.910928,548.30024219,0.0,0.0,"{'size': 4742789.0, '_type': 'html-file', 'sha256': 'db110a9c338faaac784e7a715d8f9880dcfbaaf7482cf76796a44dd0e4c98951', 'path': 'media/html/render_6888448_db110a9c338faaac784e.html'}",-6.634423334617168e-05,0.0,0.0,0.0,0.0,262.1859436035156,6888448.0,0.00033135677222162485,0.0,24.73828125,6888448.0,32209.325359784314,0.0,-0.06784326583147049,0.0
0.0,1773842634.1084948,560.364403621,0.0,0.0,,9.672359738033265e-06,0.0,0.0,0.0,0.0,160.3837890625,7142400.0,0.0008913427009247243,0.0,9.24609375,7142400.0,32235.34198388378,0.0,-0.2511321008205414,0.0
0.0,1773842645.9741309,572.202475349,0.0,0.0,,1.2730412890959997e-05,0.0,0.0,0.0,0.0,175.50462341308594,7396352.0,0.0006694934563711286,0.0,10.275390625,7396352.0,32169.83399434677,0.0,-0.20647501945495605,0.0
0.0,1773842657.8127115,584.044491618,0.0,0.0,,8.510091902280692e-06,0.0,0.0,0.0,0.0,196.0967559814453,7650304.0,0.00041381342452950776,0.0,15.482421875,7650304.0,32245.182512222662,0.0,-0.11858759075403214,0.0
0.0,1773842669.654675,595.877630638,0.0,0.0,,-2.2105050447862595e-06,0.0,0.0,0.0,0.0,296.31842041015625,7904256.0,0.0002607029746286571,0.0,22.212890625,7904256.0,32260.482189634662,0.0,-0.07257600873708725,0.0
0.0,1773842718.7490916,633.138391307,0.0,0.0,"{'_type': 'html-file', 'sha256': '997688edf14bd1d70dbc69b505f122f4e19eb386e6b9b954a348d82706298671', 'path': 'media/html/render_8158208_997688edf14bd1d70dbc.html', 'size': 4746893.0}",1.147104921983555e-05,0.0,0.0,0.0,0.0,173.22528076171875,8158208.0,0.00020690294331870973,0.0,15.55078125,8158208.0,32275.93135836841,0.0,-0.06816838681697845,0.0
0.0,1773842718.9787366,645.225298783,0.0,0.0,,-1.628577956580557e-05,0.0,0.0,0.0,0.0,160.05667114257812,8412160.0,0.00010732735972851515,0.0,14.74609375,8412160.0,32256.14063004309,0.0,-0.03345648944377899,0.0
0.0,1773842730.8355134,657.056009792,0.041015625,0.0,,1.3564960681833327e-05,0.0,0.0,0.0,0.0,268.8404235839844,8666112.0,0.00020445059635676444,0.041015625,19.841796875,8666112.0,32200.434369016657,0.005859375,-0.06264325231313705,0.0
0.0,1773842742.665632,668.874703271,0.0,0.0,,2.8185108021716587e-05,0.0,0.0,0.0,0.0,250.85107421875,8920064.0,7.927003025542945e-05,0.0,19.8203125,8920064.0,32294.549827477706,0.0,-0.0050566913560032845,0.0
0.0,1773842754.4849172,680.708864842,0.001953125,0.0,,4.2539386413409375e-06,0.0,0.0,0.0,0.0,244.66049194335938,9174016.0,0.00012082627654308453,0.001953125,20.96875,9174016.0,32325.88247797032,0.001953125,0.004939996171742678,0.0
