render,training/entropy,training/actor_loss,_timestamp,training/sps,_step,eval/episode_dist,eval/episode_success_any,_runtime,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_reward,eval/episode_success,eval/episode_success_hard,training/log_alpha,training/critic_loss,training/alpha_loss,eval/episode_reward_survive,step,eval/episode_reward_ctrl,eval/episode_success_easy
"{'_type': 'html-file', 'sha256': '541b5320cf6294ec4deef3740f92f6aab46db6cbc8dac19d82bd794a5a1b7bb2', 'path': 'media/html/render_0_541b5320cf6294ec4dee.html', 'size': 4730537.0}",,,1773866932.678423,,0.0,,,58.299463467,,,,,,,,,,,,
"{'_type': 'html-file', 'sha256': '99e8fb7c8ded2ebdf51220c502eeae4ff318a87162e8b4e3f7dd8d488e9508c3', 'path': 'media/html/render_1_99e8fb7c8ded2ebdf512.html', 'size': 4729445.0}",,,1773867005.089219,,1.0,,,130.710197802,,,,,,,,,,,,
,0.0,-53.45165252685547,1773867005.2751055,9241.44482589154,793600.0,199.39175415039062,0.0,142.624711265,0.0,0.0,0.0,0.0,0.0,0.0,21.100791931152344,5.008742332458496,0.0,793600.0,0.0,16.625
,0.0,-48.01034164428711,1773867017.0031283,32714.664574864757,1047552.0,228.28067016601562,0.001953125,154.318536425,0.0,0.0,0.0078125,0.0078125,0.0,0.0,3.5558841228485107,0.01741156354546547,0.0,1047552.0,0.0,18.072265625
,0.0,-36.09444808959961,1773867028.696859,32854.801910032256,1301504.0,267.90704345703125,0.0,166.037983445,0.0,0.0,0.0,0.0,0.0,0.0,1.1420135498046875,0.001513783005066216,0.0,1301504.0,0.0,20.8828125
,0.0,-14.893088340759277,1773867040.4164407,32722.56409668142,1555456.0,352.54022216796875,0.0,177.733178973,0.0,0.0,0.0,0.0,0.0,0.0,0.2630060017108917,0.0006965696229599416,0.0,1555456.0,0.0,31.884765625
"{'_type': 'html-file', 'sha256': '8d20eda3dc1b8cd3c46effd55581969385cc01dfec26e91841549be554c6c463', 'path': 'media/html/render_1809408_8d20eda3dc1b8cd3c46e.html', 'size': 4749929.0}",0.0,-6.763631343841553,1773867089.804642,32842.55634818678,1809408.0,282.37939453125,0.001953125,215.425689228,0.0,0.0,0.013671875,0.013671875,0.0,0.0,0.08215931802988052,0.0005086421151645482,0.0,1809408.0,0.0,24.8828125
,0.0,-2.6495232582092285,1773867089.9890058,32755.73241700066,2063360.0,304.80462646484375,0.001953125,227.319130641,0.0,0.0,0.015625,0.015625,0.0,0.0,0.02478872984647751,0.00022193172480911016,0.0,2063360.0,0.0,25.380859375
,0.0,-1.1634987592697144,1773867101.697626,32791.0817715434,2317312.0,303.2081604003906,0.0,239.01859522,0.0,0.0,0.0,0.0,0.0,0.0,0.007768715266138315,0.00010685978486435488,0.0,2317312.0,0.0,22.568359375
,0.0,-0.5571691989898682,1773867113.3969998,32828.2658775692,2571264.0,267.4857177734375,0.0,250.720155301,0.0,0.0,0.0,0.0,0.0,0.0,0.002872919663786888,7.221114356070757e-05,0.0,2571264.0,0.0,24.203125
,0.0,-0.17893247306346893,1773867125.0987048,32819.357584992555,2825216.0,299.56597900390625,0.00390625,262.421971404,0.0,0.0,0.015625,0.015625,0.0,0.0,0.0008960292325355113,3.103632479906082e-05,0.0,2825216.0,0.0,25.859375
"{'size': 4752985.0, '_type': 'html-file', 'sha256': 'd2b96d4c15936142ef146304d101fe57edc1a4ae56aee8e9b812053cd9b86663', 'path': 'media/html/render_3079168_d2b96d4c15936142ef14.html'}",0.0,-0.057241786271333694,1773867175.3158715,32809.34443858033,3079168.0,372.2627868652344,0.0,300.936897174,0.0,0.0,0.0,0.0,0.0,0.0,0.00027970896917395294,1.4863633623463102e-05,0.0,3079168.0,0.0,35.5859375
,0.0,-0.14279763400554657,1773867175.534464,32858.08163954796,3333120.0,59.94402313232422,0.0,312.878520024,0.0,0.0,0.0,0.0,0.0,0.0,0.0021686486434191465,-0.0010246775345876813,0.0,3333120.0,0.0,4.048828125
,0.0,-1.7696141004562378,1773867187.2569726,32747.749417734274,3587072.0,237.12106323242188,0.0,324.57033356,0.0,0.0,0.0,0.0,0.0,0.0,0.006706492975354195,-0.0012444318272173405,0.0,3587072.0,0.0,21.072265625
,0.0,-1.1618406772613525,1773867198.948753,32853.94255889363,3841024.0,228.59390258789062,0.0,336.278693012,0.0,0.0,0.0,0.0,0.0,0.0,0.005885179620236158,7.157665822887793e-05,0.0,3841024.0,0.0,16.861328125
,0.0,-0.6278111934661865,1773867210.6571517,32784.92304992228,4094976.0,359.3601989746094,0.001953125,347.972227746,0.0,0.0,0.005859375,0.005859375,0.0,0.0,0.003345493460074067,5.5432039516745135e-05,0.0,4094976.0,0.0,29.45703125
"{'_type': 'html-file', 'sha256': 'a185268dce89ea85640bb958aabde24ad1098dbb57abe2497edd4531ef437c9c', 'path': 'media/html/render_4348928_a185268dce89ea85640b.html', 'size': 4765597.0}",0.0,-0.2563040852546692,1773867259.9345856,32867.29392408349,4348928.0,279.3740539550781,0.0,385.555564309,0.0,0.0,0.0,0.0,0.0,0.0,0.0012633533915504813,3.407488111406565e-05,0.0,4348928.0,0.0,17.203125
,0.0,-0.06730389595031738,1773867260.1218772,32756.658160929488,4602880.0,375.95343017578125,0.0,397.461180253,0.0,0.0,0.0,0.0,0.0,0.0,0.00037477881414815784,1.918344605655875e-05,0.0,4602880.0,0.0,28.904296875
,0.0,-0.01010903436690569,1773867271.8395102,32781.331026102926,4856832.0,258.2200622558594,0.0,409.169446623,0.0,0.0,0.0,0.0,0.0,0.0,0.00012921755842398852,7.615612503286684e-06,0.0,4856832.0,0.0,20.927734375
,0.0,0.0030689407140016556,1773867283.5478587,32778.982510305825,5110784.0,149.7948455810547,0.0,421.084872872,0.0,0.0,0.0,0.0,0.0,0.0,4.590725802700035e-05,8.64448429638287e-06,0.0,5110784.0,0.0,12.208984375
,0.0,0.0006989510147832334,1773867295.4632976,31924.033475353546,5364736.0,247.6702880859375,0.0,432.998250927,0.0,0.0,0.0,0.0,0.0,0.0,3.9730795833747834e-05,1.2669623174588196e-05,0.0,5364736.0,0.0,18.306640625
"{'size': 4702841.0, '_type': 'html-file', 'sha256': 'a1dcfb89473a65ec5ab860d56976a728900c2d922c331231f2cef8750a357912', 'path': 'media/html/render_5618688_a1dcfb89473a65ec5ab8.html'}",0.0,-0.002021415624767542,1773867345.3473897,31932.065012927495,5618688.0,223.82635498046875,0.0,470.968396442,0.0,0.0,0.0,0.0,0.0,0.0,2.8670063329627737e-05,3.8071055996624636e-07,0.0,5618688.0,0.0,18.408203125
,0.0,-0.0023217208217829466,1773867345.5400865,31914.825915457848,5872640.0,251.78927612304688,0.005859375,483.09620235,0.0,0.0,0.0390625,0.0390625,0.0,0.0,3.052817191928625e-05,1.4487716804012507e-08,0.0,5872640.0,0.0,19.412109375
,0.0,-0.003202460240572691,1773867357.4747195,31864.511714521286,6126592.0,276.34552001953125,0.005859375,495.005415391,0.0,0.0,0.021484375,0.021484375,0.0,0.0,4.208656173432246e-05,2.477672067513481e-09,0.0,6126592.0,0.0,22.59765625
,0.0,-0.004353536758571863,1773867369.3838165,31973.402445109197,6380544.0,241.04592895507812,0.005859375,506.92351542,0.0,0.0,0.03125,0.03125,0.0,0.0,5.0611855840543285e-05,1.1964179646994921e-09,0.0,6380544.0,0.0,18.5078125
,0.0,-0.0031767194159328938,1773867381.301811,31912.24710590452,6634496.0,238.7379150390625,0.0,518.84265826,0.0,0.0,0.0,0.0,0.0,0.0,3.0847648304188624e-05,7.533092483136272e-10,0.0,6634496.0,0.0,20.798828125
"{'size': 4701841.0, '_type': 'html-file', 'sha256': '60d3106ad6b8c0a8143296d00955e3ca884565cb6315a8f1614630e38fee23c1', 'path': 'media/html/render_6888448_60d3106ad6b8c0a81432.html'}",0.0,-0.004468629602342844,1773867432.2437592,31925.20082158054,6888448.0,221.80189514160156,0.0,557.864735791,0.0,0.0,0.0,0.0,0.0,0.0,5.7064917200477794e-05,5.562846294715484e-10,0.0,6888448.0,0.0,16.02734375
,0.0,-0.0033121651504188776,1773867432.468758,31887.76107024854,7142400.0,234.45639038085938,0.00390625,570.04163952,0.0,0.0,0.009765625,0.009765625,0.0,0.0,3.390332494745962e-05,4.6220272054142697e-10,0.0,7142400.0,0.0,19.90234375
,0.0,-0.0029954477213323116,1773867444.4196262,31826.165158067583,7396352.0,248.28453063964844,0.005859375,581.955082879,0.0,0.0,0.0234375,0.0234375,0.0,0.0,3.7532885471591726e-05,3.5267386233606146e-10,0.0,7396352.0,0.0,18.23046875
