training/entropy,eval/episode_reward_survive,_timestamp,_runtime,training/alpha_loss,eval/episode_reward_ctrl,_step,eval/episode_reward_near,render,training/actor_loss,eval/episode_reward_dist,eval/episode_success,eval/episode_success_easy,step,training/sps,eval/episode_dist,training/critic_loss,eval/episode_success_any,eval/episode_reward,training/log_alpha,eval/episode_success_hard
,,1773978988.0764427,44.347875386,,,0.0,,"{'sha256': '36444ded8da86af63c8b3b12bc4b53e4023876d0e40431ceb557461ce60e66ec', 'path': 'media/html/render_0_36444ded8da86af63c8b.html', 'size': 4109993.0, '_type': 'html-file'}",,,,,,,,,,,,
,,1773979047.2366393,103.507963311,,,1.0,,"{'sha256': 'e06bbe29ffc7e9844699fb6ea58b8189f7e8a0d803eb760e485c216adfdf507a', 'path': 'media/html/render_1_e06bbe29ffc7e9844699.html', 'size': 4138717.0, '_type': 'html-file'}",,,,,,,,,,,,
0.0,652.34375,1773979047.4192605,115.975925024,1.8706510066986084,-1635.333740234375,1333248.0,0.0,,-50.27696228027344,0.0,0.4755859375,14.974609375,1333248.0,9678.253495066325,2215.93017578125,2.669322967529297,0.005859375,0.4755859375,0.0,0.0
0.0,643.7412109375,1773979059.7037432,128.246374106,0.003982921596616507,-1599.711669921875,1587200.0,0.0,,-44.34733200073242,0.0,0.4384765625,30.443359375,1587200.0,27476.45408671127,2155.85693359375,1.4377646446228027,0.0048828125,0.4384765625,0.0,0.0
0.0,679.681640625,1773979071.9742625,140.490823584,0.0015379081014543772,-1508.6669921875,1841152.0,0.0,,-29.646888732910156,0.0,1.0791015625,22.8828125,1841152.0,27521.449960374764,2334.820556640625,0.483144611120224,0.0048828125,1.0791015625,0.0,0.0
0.0,770.916015625,1773979084.2189279,152.726332785,0.0004505777615122497,-1664.666748046875,2095104.0,0.0,,-20.741863250732422,0.0,1.0849609375,20.2607421875,2095104.0,27570.687034417882,2601.29443359375,0.2064349502325058,0.00390625,1.0849609375,0.0,0.0
0.0,648.017578125,1773979128.1410954,184.412381798,0.00021725303668063134,-1419.795166015625,2349056.0,0.0,"{'sha256': '4cd5e159146e88d26a169fb617d55637421ff14f89cb4b5eef0e0978f772372a', 'path': 'media/html/render_2349056_4cd5e159146e88d26a16.html', 'size': 4100161.0, '_type': 'html-file'}",-17.77277946472168,0.0,0.0595703125,12.576171875,2349056.0,27681.940754072766,2210.32421875,0.12624607980251312,0.0009765625,0.0595703125,0.0,0.0
0.0,812.9658203125,1773979128.3295772,196.813498379,0.00016173726180568337,-1761.775634765625,2603008.0,0.0,,-14.73243236541748,0.0,0.0,19.1845703125,2603008.0,27628.96938039134,2755.0234375,0.09291262924671173,0.0,0.0,0.0,0.0
0.0,743.1123046875,1773979140.5415761,208.909706992,7.401106995530427e-05,-1598.0552978515625,2856960.0,0.0,,-15.710932731628418,0.0,0.1826171875,16.8359375,2856960.0,27756.297596285178,2534.2900390625,0.0814051702618599,0.0009765625,0.1826171875,0.0,0.0
0.0,718.177734375,1773979152.6377802,221.0140512,1.4176123841025401e-05,-1605.507568359375,3110912.0,0.0,,-17.17770004272461,0.0,0.25390625,18.763671875,3110912.0,27963.095484580434,2428.733642578125,0.0827958956360817,0.0009765625,0.25390625,0.0,0.0
0.0,839.6494140625,1773979164.7422864,233.079643032,7.247573375934735e-05,-1860.1748046875,3364864.0,0.0,,-18.48255157470703,0.0,0.3515625,12.015625,3364864.0,28085.66455031151,2907.51611328125,0.08545085042715073,0.001953125,0.3515625,0.0,0.0
0.0,758.41796875,1773979208.5287194,264.800046785,1.775687633198686e-05,-1601.45263671875,3618816.0,0.0,"{'path': 'media/html/render_3618816_22720d432968c4e8473c.html', 'size': 4104169.0, '_type': 'html-file', 'sha256': '22720d432968c4e8473c21ba547dc364f524a2540d875f91c5b9076a2a95eebe'}",-18.580381393432617,0.0,0.0,7.904296875,3618816.0,28062.581894380444,2606.2802734375,0.08063829690217972,0.0,0.0,0.0,0.0
0.0,818.0615234375,1773979208.7127903,277.087953524,3.3688167604850605e-05,-1762.178466796875,3872768.0,0.0,,-18.243684768676758,0.0,0.0,13.3623046875,3872768.0,28058.17021194095,2748.40283203125,0.07761631906032562,0.0,0.0,0.0,0.0
0.0,875.9365234375,1773979220.8153234,289.19752415,3.5777837183559313e-05,-1903.046875,4126720.0,0.0,,-18.254379272460938,0.0,0.0,9.0458984375,4126720.0,27957.446209945283,3018.45849609375,0.07562506198883057,0.0,0.0,0.0,0.0
0.0,736.0712890625,1773979232.9254417,301.234487763,-4.94456298838486e-06,-1557.835693359375,4380672.0,0.0,,-18.868284225463867,0.0,0.0,23.2353515625,4380672.0,28052.28372305699,2547.17919921875,0.07457123696804047,0.0,0.0,0.0,0.0
0.0,752.6884765625,1773979244.9626708,313.296767334,1.5159389477048535e-05,-1705.728515625,4634624.0,0.0,,-19.702207565307617,0.0,0.0,4.474609375,4634624.0,28149.575965518965,2595.327392578125,0.07261644303798676,0.0,0.0,0.0,0.0
0.0,628.6015625,1773979288.839382,345.110683505,1.6947653421084397e-05,-1375.5391845703125,4888576.0,0.0,"{'path': 'media/html/render_4888576_22a43fd0cc7e864642db.html', 'size': 4106649.0, '_type': 'html-file', 'sha256': '22a43fd0cc7e864642db03e571b3b8244fb41b193bbfbccd7380be3af8551d8c'}",-20.397764205932617,0.0,0.0048828125,16.685546875,4888576.0,28200.408839887834,2139.81787109375,0.06886254996061325,0.0009765625,0.0048828125,0.0,0.0
0.0,824.6826171875,1773979289.0313241,357.424551006,3.581284181564115e-05,-1859.068115234375,5142528.0,0.0,,-19.81031036376953,0.0,0.0,14.544921875,5142528.0,28115.310642365937,2823.714599609375,0.07031572610139847,0.0,0.0,0.0,0.0
0.0,733.8076171875,1773979301.152386,369.453053693,-2.75482889264822e-05,-1621.013427734375,5396480.0,0.0,,-19.536434173583984,0.0,0.515625,20.0224609375,5396480.0,28036.362831137245,2453.583984375,0.064237579703331,0.0029296875,0.515625,0.0,0.0
0.0,733.3017578125,1773979313.180802,381.537881218,3.479563747532666e-05,-1642.69287109375,5650432.0,0.0,,-20.052640914916992,0.0,0.0,9.0458984375,5650432.0,28173.4868322014,2521.393798828125,0.06674544513225555,0.0,0.0,0.0,0.0
0.0,837.4716796875,1773979325.266022,393.558685665,3.147809184156358e-05,-1840.937744140625,5904384.0,0.0,,-19.103490829467773,0.0,0.015625,12.99609375,5904384.0,28129.01463054758,2868.60986328125,0.061316728591918945,0.0009765625,0.015625,0.0,0.0
