training/log_alpha,eval/episode_success_easy,_step,training/entropy,eval/episode_dist,training/sps,eval/episode_reward_ctrl,eval/episode_success,_runtime,step,_timestamp,eval/episode_reward_dist,eval/episode_success_hard,render,eval/episode_reward_survive,eval/episode_reward_near,eval/episode_success_any,eval/episode_reward,training/actor_loss,training/alpha_loss,training/critic_loss
,,0.0,,,,,,44.776684375,,1773985567.9133148,,,"{'_type': 'html-file', 'sha256': '59035a2c0c93bf0e5906a56d202f8b043869a8b9009a3014a1af41b8374b4fde', 'path': 'media/html/render_0_59035a2c0c93bf0e5906.html', 'size': 4216617.0}",,,,,,,
,,1.0,,,,,,103.882809012,,1773985627.0195282,,,"{'_type': 'html-file', 'sha256': '6ba4d11431aad0bc089bd9f01966932d47ee21c988b723c2dbe1304c750fe358', 'path': 'media/html/render_1_6ba4d11431aad0bc089b.html', 'size': 4163429.0}",,,,,,,
0.0,30.8876953125,1333248.0,0.0,1913.174560546875,9746.955960162175,-1254.4813232421875,3.0947265625,116.543920682,1333248.0,1773985627.201194,0.0,0.0,,573.349609375,0.0,0.0087890625,3.0947265625,-47.69443893432617,2.1002447605133057,3.3608851432800293
0.0,36.2119140625,1587200.0,0.0,2277.5009765625,26912.327350342246,-1658.860595703125,2.470703125,129.006973933,1587200.0,1773985639.6797726,0.0,0.0,,671.1845703125,0.0,0.005859375,2.470703125,-33.78953170776367,0.00941824447363615,1.3139554262161255
0.0,19.4375,1841152.0,0.0,1860.974853515625,26965.26850737156,-1337.7626953125,0.9130859375,141.416817385,1841152.0,1773985652.1429017,0.0,0.0,,534.1669921875,0.0,0.0029296875,0.9130859375,-19.41340446472168,0.0003796850214712322,0.43546566367149353
0.0,26.185546875,2095104.0,0.0,2841.994873046875,27079.257295401847,-1803.245361328125,0.0810546875,153.818958515,2095104.0,1773985664.5528786,0.0,0.0,,839.0302734375,0.0,0.001953125,0.0810546875,-12.831527709960938,0.0007831736002117395,0.20799493789672852
0.0,15.1904296875,2349056.0,0.0,2468.966796875,27187.45248541984,-1510.129150390625,0.134765625,185.806840473,2349056.0,1773985708.9435592,0.0,0.0,"{'_type': 'html-file', 'sha256': '5d3a5716c6449679132fa5705e791c8764703116d8c9639f5394da17a526bed6', 'path': 'media/html/render_2349056_5d3a5716c6449679132f.html', 'size': 4163141.0}",740.1923828125,0.0,0.0009765625,0.134765625,-10.017045021057129,0.00042472482891753316,0.11418863385915756
0.0,21.85546875,2603008.0,0.0,2752.37451171875,27403.373453303375,-1602.674072265625,0.259765625,198.299568605,2603008.0,1773985709.11985,0.0,0.0,,809.1103515625,0.0,0.001953125,0.259765625,-9.658062934875488,9.508601215202361e-05,0.08315809071063995
0.0,21.685546875,2856960.0,0.0,2623.81689453125,27442.048517476327,-1552.721435546875,0.4951171875,210.478971855,2856960.0,1773985721.435036,0.0,0.0,,776.2177734375,0.0,0.0009765625,0.4951171875,-10.529168128967285,6.540636968566105e-05,0.07249617576599121
0.0,10.794921875,3110912.0,0.0,2969.2509765625,27699.880998724115,-1744.687255859375,0.0,222.690776475,3110912.0,1773985733.6152675,0.0,0.0,,870.630859375,0.0,0.0,0.0,-12.663174629211426,2.6955334760714322e-05,0.07147262990474701
0.0,10.990234375,3364864.0,0.0,2789.01513671875,27746.644330668456,-1532.7655029296875,0.0,234.852118295,3364864.0,1773985745.8268783,0.0,0.0,,802.5390625,0.0,0.0,0.0,-13.725836753845215,3.042945718334522e-05,0.07162527740001678
0.0,10.7421875,3618816.0,0.0,2379.123779296875,27756.66069183553,-1454.924072265625,0.2265625,266.721796133,3618816.0,1773985789.8585174,0.0,0.0,"{'_type': 'html-file', 'sha256': '5eaadc2f8a8f74cd1449a064ba0ab57e02657c5f49d793bf45b826e8e1afa1b9', 'path': 'media/html/render_3618816_5eaadc2f8a8f74cd1449.html', 'size': 4097941.0}",707.4716796875,0.0,0.001953125,0.2265625,-14.443037986755371,2.8905698854941875e-05,0.07180897891521454
0.0,9.30078125,3872768.0,0.0,2411.97412109375,27826.092063643748,-1448.42529296875,0.828125,279.090868037,3872768.0,1773985790.069446,0.0,0.0,,702.72265625,0.0,0.0009765625,0.828125,-15.324289321899414,-2.2858832380734384e-05,0.07549015432596207
0.0,11.3974609375,4126720.0,0.0,2364.256591796875,27780.802525569496,-1390.756103515625,0.51953125,291.237837166,4126720.0,1773985802.2267869,0.0,0.0,,689.626953125,0.0,0.001953125,0.51953125,-16.369848251342773,-1.1803158486145549e-05,0.07356579601764679
0.0,12.2138671875,4380672.0,0.0,2991.221435546875,27938.494487471897,-1831.99267578125,0.0,303.342045724,4380672.0,1773985814.3739018,0.0,0.0,,853.427734375,0.0,0.0,0.0,-17.36661720275879,5.433477053884417e-05,0.06883523613214493
0.0,10.591796875,4634624.0,0.0,2447.4384765625,27928.22053404253,-1467.1771240234375,0.0,315.510537455,4634624.0,1773985826.4780455,0.0,0.0,,723.408203125,0.0,0.0,0.0,-17.254085540771484,2.288667565153446e-05,0.06544724851846695
0.0,10.1865234375,4888576.0,0.0,2435.948486328125,27877.095228527523,-1439.884033203125,0.0,347.282195478,4888576.0,1773985870.4189115,0.0,0.0,"{'sha256': 'df212236314d5e1856784f8ad38cebbd39ef2ddd562f7fc5bc68df4ba285e033', 'path': 'media/html/render_4888576_df212236314d5e185678.html', 'size': 4086065.0, '_type': 'html-file'}",714.83203125,0.0,0.0,0.0,-16.728313446044922,9.444490387977567e-06,0.06617502123117447
0.0,18.19921875,5142528.0,0.0,2785.89892578125,27958.425146374295,-1600.0205078125,0.6044921875,359.639096594,5142528.0,1773985870.6279235,0.0,0.0,,808.640625,0.0,0.0009765625,0.6044921875,-18.28777503967285,3.219606514903717e-05,0.06480956077575684
0.0,9.9560546875,5396480.0,0.0,2534.078369140625,27965.090927879624,-1523.76611328125,0.0,371.705816481,5396480.0,1773985882.7749639,0.0,0.0,,739.2939453125,0.0,0.0,0.0,-18.754188537597656,5.910184427193599e-06,0.06467907875776291
0.0,19.765625,5650432.0,0.0,2855.908447265625,28043.66978387943,-1620.84130859375,0.0,383.792710344,5650432.0,1773985894.841827,0.0,0.0,,831.5029296875,0.0,0.0,0.0,-18.47157096862793,-2.031212716246955e-05,0.058665577322244644
0.0,4.3984375,5904384.0,0.0,2261.54736328125,28105.15839518313,-1331.4595947265625,0.0,395.860467863,5904384.0,1773985906.9287202,0.0,0.0,,651.7841796875,0.0,0.0,0.0,-18.683067321777344,3.5538829251891e-05,0.0574209988117218
0.0,14.6923828125,6158336.0,0.0,2579.9140625,28053.645391331396,-1602.4129638671875,0.0,427.866706978,6158336.0,1773985951.003421,0.0,0.0,"{'sha256': 'dc8f47cb9fbbb23472b00de7ec98bf97a98399b05c260f5700bbc1690b9e431b', 'path': 'media/html/render_6158336_dc8f47cb9fbbb23472b0.html', 'size': 4138409.0, '_type': 'html-file'}",755.93359375,0.0,0.0,0.0,-18.67828369140625,1.2938709915033542e-05,0.05579909682273865
0.0,18.8310546875,6412288.0,0.0,2826.40234375,28023.4154316702,-1699.439208984375,0.0,440.148058284,6412288.0,1773985951.1904511,0.0,0.0,,831.6142578125,0.0,0.0,0.0,-18.3481502532959,3.5686141472979216e-06,0.0581422783434391
0.0,12.5185546875,6666240.0,0.0,2911.61376953125,27984.71767322888,-1754.5682373046875,0.0,452.255988955,6666240.0,1773985963.2839925,0.0,0.0,,857.8349609375,0.0,0.0,0.0,-19.116695404052734,-4.198860551696271e-06,0.05774068832397461
0.0,5.837890625,6920192.0,0.0,2957.989990234375,28052.966387751963,-1706.24853515625,0.0,464.300649339,6920192.0,1773985975.392025,0.0,0.0,,854.5419921875,0.0,0.0,0.0,-18.740026473999023,1.304770921706222e-05,0.05619141459465027
0.0,8.2763671875,7174144.0,0.0,2608.93212890625,28107.685200078522,-1507.728515625,0.0,476.386745652,7174144.0,1773985987.4364994,0.0,0.0,,749.41796875,0.0,0.0,0.0,-19.56159019470215,-1.723199056868907e-05,0.06231366842985153
0.0,17.1875,7428096.0,0.0,2882.64501953125,28117.79325350497,-1924.4400634765625,0.19921875,508.578514553,7428096.0,1773986031.7152631,0.0,0.0,"{'_type': 'html-file', 'sha256': '4f68f3fbed7d9f6b4024bd5d5d2308419022a6b64943c3cd3eb37df2d0cb1129', 'path': 'media/html/render_7428096_4f68f3fbed7d9f6b4024.html', 'size': 4134921.0}",860.7900390625,0.0,0.0009765625,0.19921875,-19.62894630432129,6.340574600471882e-06,0.05896105244755745
0.0,10.2568359375,7682048.0,0.0,2523.80810546875,28179.704616899693,-1491.8985595703125,0.0,520.867508869,7682048.0,1773986031.8872569,0.0,0.0,,737.220703125,0.0,0.0,0.0,-20.77034568786621,-1.2459317986213136e-06,0.06471531838178635
0.0,15.662109375,7936000.0,0.0,2503.29248046875,28043.51694771654,-1521.070556640625,0.0,532.896884877,7936000.0,1773986044.0038118,0.0,0.0,,737.6650390625,0.0,0.0,0.0,-19.501802444458008,1.5915153198875487e-05,0.06078594923019409
0.0,15.8271484375,8189952.0,0.0,2237.89111328125,28173.593395422075,-1440.123291015625,0.0,544.986044923,8189952.0,1773986056.0328152,0.0,0.0,,671.154296875,0.0,0.0,0.0,-20.41533851623535,-3.620168399720569e-06,0.06303634494543076
0.0,10.3984375,8443904.0,0.0,2464.33203125,28124.602087899795,-1530.341552734375,0.017578125,557.027193621,8443904.0,1773986068.1216779,0.0,0.0,,724.39453125,0.0,0.001953125,0.017578125,-20.179000854492188,4.1739280277397484e-05,0.056225866079330444
0.0,10.712890625,8697856.0,0.0,2743.958984375,28125.242232935634,-1814.034912109375,0.0009765625,588.922923994,8697856.0,1773986112.059653,0.0,0.0,"{'size': 4088249.0, '_type': 'html-file', 'sha256': '4f9884035f43634f47fb7f1ed5eb9bb401689941cff6288d504a7e80916943ea', 'path': 'media/html/render_8697856_4f9884035f43634f47fb.html'}",801.8544921875,0.0,0.0009765625,0.0009765625,-19.844301223754883,8.233048902184237e-06,0.059184662997722626
0.0,12.3505859375,8951808.0,0.0,2928.80517578125,28140.756461715457,-1824.91552734375,0.0,601.159215124,8951808.0,1773986112.2308052,0.0,0.0,,841.1025390625,0.0,0.0,0.0,-20.428367614746094,-4.424984581419267e-05,0.06322037428617477
0.0,11.6337890625,9205760.0,0.0,2388.75927734375,28051.18222054097,-1440.213134765625,0.0,613.225852796,9205760.0,1773986124.2953224,0.0,0.0,,693.4755859375,0.0,0.0,0.0,-20.29506492614746,-2.8922771889483556e-05,0.05915790796279907
0.0,6.3271484375,9459712.0,0.0,1572.464599609375,28179.263273906847,-995.107421875,0.0,625.25419004,9459712.0,1773986136.3618155,0.0,0.0,,460.64453125,0.0,0.0,0.0,-20.842649459838867,4.626651934813708e-05,0.0598338358104229
0.0,9.388671875,9713664.0,0.0,2629.38623046875,28159.615162602026,-1565.257568359375,0.0,637.341997903,9713664.0,1773986148.3901272,0.0,0.0,,767.4482421875,0.0,0.0,0.0,-20.619535446166992,4.302669913158752e-05,0.06175409257411957
0.0,22.107421875,9967616.0,0.0,2787.515380859375,28114.292490376054,-1759.7781982421875,0.9873046875,668.788210791,9967616.0,1773986191.9249275,0.0,0.0,"{'sha256': '01a92bf97eb8b76285e2452373b4996b9ce785aff1d639387f2ddb9cdfca1bd9', 'path': 'media/html/render_9967616_01a92bf97eb8b76285e2.html', 'size': 4119529.0, '_type': 'html-file'}",823.6435546875,0.0,0.00390625,0.9873046875,-20.25594711303711,-3.575310984160751e-05,0.06438979506492615
0.0,12.7333984375,10221568.0,0.0,2601.1474609375,28186.705330171546,-1699.288818359375,0.1123046875,681.142513719,10221568.0,1773986192.1152608,0.0,0.0,,754.9306640625,0.0,0.001953125,0.1123046875,-21.080520629882812,5.538513869396411e-05,0.066585011780262
0.0,18.875,10475520.0,0.0,2646.2412109375,27909.31351930618,-1557.4268798828125,0.0,693.223816833,10475520.0,1773986204.2786558,0.0,0.0,,777.107421875,0.0,0.0,0.0,-19.37729835510254,-2.0390023564687e-05,0.05750272423028946
