training/actor_loss,training/log_alpha,eval/episode_reward_ctrl,eval/episode_reward_survive,eval/episode_reward,eval/episode_success_easy,training/alpha_loss,render,eval/episode_success,eval/episode_reward_near,eval/episode_success_any,_runtime,eval/episode_success_hard,step,training/critic_loss,_step,training/entropy,eval/episode_reward_dist,training/sps,eval/episode_dist,_timestamp
,,,,,,,"{'size': 4097673.0, '_type': 'html-file', 'sha256': '6395b421390f301131a4df92ac1a25beb6092c8704e280b9cf9d317ecd689f45', 'path': 'media/html/render_0_6395b421390f301131a4.html'}",,,,43.789832835,,,,0.0,,,,,1774005317.127826
,,,,,,,"{'size': 4145173.0, '_type': 'html-file', 'sha256': '56ca7fdcd97263c548fa401a8359a4e37f7e046718bb166843e7306af12c8a4c', 'path': 'media/html/render_1_56ca7fdcd97263c548fa.html'}",,,,100.239063926,,,,1.0,,,,,1774005373.5771828
-68.75103759765625,0.0,-1524.3037109375,623.6025390625,2.6748046875,52.4912109375,1.9525750875473022,,2.6748046875,0.0,0.0068359375,111.640979128,0.0,1333248.0,1.4429856538772583,1333248.0,0.0,0.0,10679.722224923244,2072.28369140625,1774005373.771431
-71.2877197265625,0.0,-1845.2327880859375,768.4443359375,2.900390625,44.369140625,0.006277825683355331,,2.900390625,0.0,0.0087890625,123.06045454,0.0,1587200.0,0.795270562171936,1587200.0,0.0,0.0,31116.81606864098,2565.8193359375,1774005384.978109
-58.94524383544922,0.0,-1933.027099609375,825.80859375,1.896484375,43.015625,0.0007779626175761223,,1.896484375,0.0,0.0068359375,134.700941645,0.0,1841152.0,0.3502368628978729,1841152.0,0.0,0.0,30325.019903700333,2794.051025390625,1774005396.3980322
-46.831974029541016,0.0,-1852.3837890625,865.0830078125,0.0,20.2919921875,0.0004228691977914423,,0.0,0.0,0.0,146.466420296,0.0,2095104.0,0.18521054089069366,2095104.0,0.0,0.0,29500.295526105256,2925.447265625,1774005408.0384512
-40.321815490722656,0.0,-1817.648193359375,855.5185546875,0.0,17.7861328125,0.00011436542263254523,"{'size': 4133097.0, '_type': 'html-file', 'sha256': 'a15dc1d05e8c5f42a8910688755d9c72fcd73f5f278899f29e1d331ab0712a67', 'path': 'media/html/render_2349056_a15dc1d05e8c5f42a891.html'}",0.0,0.0,0.0,178.107812783,0.0,2349056.0,0.13208985328674316,2349056.0,0.0,0.0,29183.15501930745,2979.951416015625,1774005451.445885
-37.694557189941406,0.0,-1774.78759765625,844.615234375,0.0,17.3525390625,0.00015450730279553682,,0.0,0.0,0.0,190.124954819,0.0,2603008.0,0.1153910905122757,2603008.0,0.0,0.0,29114.810453749615,2844.78466796875,1774005451.6246402
-35.97803497314453,0.0,-1874.5404052734375,829.529296875,0.31640625,16.2646484375,0.00013475390733219683,,0.31640625,0.0,0.001953125,201.88289235,0.0,2856960.0,0.11666188389062881,2856960.0,0.0,0.0,28954.651260458173,2878.260009765625,1774005463.4623592
-35.47342300415039,0.0,-1827.726806640625,864.4775390625,0.056640625,20.6005859375,7.933188317110762e-05,,0.056640625,0.0,0.0009765625,213.714760265,0.0,3110912.0,0.10612132400274277,3110912.0,0.0,0.0,29054.50006280605,3018.904296875,1774005475.220323
