training/entropy,_step,training/log_alpha,training/critic_loss,eval/episode_success_any,_timestamp,training/actor_loss,eval/episode_reward_survive,training/sps,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_success_easy,training/alpha_loss,eval/episode_success_hard,eval/episode_success,eval/episode_reward_ctrl,_runtime,render,step,eval/episode_dist,eval/episode_reward
,0.0,,,,1774008632.958835,,,,,,,,,,,43.757386783,"{'path': 'media/html/render_0_cad42096e16bb71a413a.html', 'size': 4095621.0, '_type': 'html-file', 'sha256': 'cad42096e16bb71a413a2618e6751b627dec1e945b4f1736d8abf3d628ae0c05'}",,,
,1.0,,,,1774008690.967364,,,,,,,,,,,101.765759604,"{'path': 'media/html/render_1_666415566f5eda6975de.html', 'size': 4160085.0, '_type': 'html-file', 'sha256': '666415566f5eda6975de075097dcecfc17abd8333ab041cefdef11a1159fca8c'}",,,
0.0,1333248.0,0.0,2.084423065185547,0.0029296875,1774008691.1607137,-35.89290237426758,875.1015625,9894.944418435858,0.0,0.0,13.6640625,2.1487956047058105,0.0,0.232421875,-1779.75830078125,114.54782053,,1333248.0,3015.537109375,0.232421875
0.0,1587200.0,0.0,0.49585792422294617,0.0009765625,1774008703.7483582,-22.26878547668457,855.193359375,26603.48601351959,0.0,0.0,11.904296875,0.01401868462562561,0.0,0.1396484375,-1976.3902587890625,127.108093625,,1587200.0,2928.720947265625,0.1396484375
0.0,1841152.0,0.0,0.19723844528198242,0.00390625,1774008716.3090935,-13.101191520690918,790.322265625,26683.021136602747,0.0,0.0,28.7451171875,0.00031916031730361283,0.0,0.861328125,-2022.6759033203125,139.588603216,,1841152.0,2634.54638671875,0.861328125
0.0,2095104.0,0.0,0.17835316061973572,0.0048828125,1774008728.7896168,-10.93766975402832,857.3779296875,26878.18038430519,0.0,0.0,29.435546875,0.00023912321194075048,0.0,0.818359375,-1893.30615234375,151.979414817,,2095104.0,2880.111328125,0.818359375
0.0,2349056.0,0.0,0.13662494719028473,0.0,1774008773.0586824,-12.55390739440918,896.029296875,27214.079558635756,0.0,0.0,24.9736328125,0.0003532606642693281,0.0,0.0,-1738.72216796875,183.857192513,"{'path': 'media/html/render_2349056_27fe332800119eabf283.html', 'size': 4146385.0, '_type': 'html-file', 'sha256': '27fe332800119eabf283b5dc45b0c13c7c7cff846a7459245de6a7e1c6e5a7d0'}",2349056.0,3053.69970703125,0.0
0.0,2603008.0,0.0,0.10346978902816772,0.0,1774008773.242541,-15.792967796325684,751.8466796875,27633.163956456032,0.0,0.0,8.919921875,0.00014653489051852375,0.0,0.0,-1432.794921875,196.249959052,,2603008.0,2544.022705078125,0.0
0.0,2856960.0,0.0,0.07742323726415634,0.0,1774008785.4510407,-17.045576095581055,768.49609375,27777.676374514653,0.0,0.0,6.0166015625,4.2659579776227474e-05,0.0,0.0,-1415.5338134765625,208.393289516,,2856960.0,2629.597412109375,0.0
0.0,3110912.0,0.0,0.06426908820867538,0.0,1774008797.5937088,-16.89021873474121,789.814453125,27824.073524072854,0.0,0.0,12.751953125,5.3652769565815106e-05,0.0,0.0,-1523.449462890625,220.54179652,,3110912.0,2689.51171875,0.0
0.0,3364864.0,0.0,0.0694103091955185,0.0,1774008809.7430093,-18.31707191467285,852.3798828125,27930.88041492709,0.0,0.0,22.45703125,-3.245009338570526e-06,0.0,0.0,-1646.5916748046875,232.618906445,,3364864.0,2934.005859375,0.0
0.0,3618816.0,0.0,0.07075899094343185,0.0,1774008853.7283814,-20.229629516601562,818.52734375,28029.39085972172,0.0,0.0,13.98046875,-4.883477686234983e-06,0.0,0.0,-1492.7529296875,264.526831802,"{'sha256': '51f3f402a34cce9ac9d8a27602efae0d9474c080a69fcdd92f6b796d6de74e79', 'path': 'media/html/render_3618816_51f3f402a34cce9ac9d8.html', 'size': 4120557.0, '_type': 'html-file'}",3618816.0,2765.22119140625,0.0
