training/sps,eval/episode_success,eval/episode_reward_ctrl,eval/episode_success_any,training/log_alpha,_runtime,step,eval/episode_reward_near,eval/episode_reward,training/actor_loss,training/entropy,training/critic_loss,_step,eval/episode_success_easy,eval/episode_dist,eval/episode_reward_survive,training/alpha_loss,render,eval/episode_success_hard,_timestamp,eval/episode_reward_dist
,,,,,64.139887104,,,,,,,0.0,,,,,"{'_type': 'html-file', 'sha256': '99f875420a00940e3852d76fabbba6824a5f95c58b0082b7d399c4a918838951', 'path': 'media/html/render_0_99f875420a00940e3852.html', 'size': 3892781.0}",,1773906495.8060217,
,,,,,161.895328724,,,,,,,1.0,,,,,"{'_type': 'html-file', 'sha256': 'df115b65d6bd4040c781e46074a772848aee6460c621291e33c066e4a505fccc', 'path': 'media/html/render_1_df115b65d6bd4040c781.html', 'size': 3850021.0}",,1773906593.5615375,
7957.934316582569,0.0,-2197.116943359375,0.0,0.0,188.535383003,1333248.0,0.0,0.0,-33.43094253540039,0.0,2.211106061935425,1333248.0,0.2041015625,8222.736328125,991.1123046875,2.046295642852783,,0.0,1773906593.7478547,0.0
20699.641982394678,0.4990234375,-1453.131103515625,0.0078125,0.0,215.225007333,1587200.0,0.0,0.4990234375,-24.19578742980957,0.0,0.7208942770957947,1587200.0,16.8798828125,5468.955078125,684.0478515625,0.008459516800940037,,0.0,1773906620.201011,0.0
20704.77255693642,0.0,-1715.244140625,0.0,0.0,241.691159114,1841152.0,0.0,0.0,-12.685018539428711,0.0,0.1393413096666336,1841152.0,3.705078125,6542.568359375,799.544921875,0.00040977110620588064,,0.0,1773906646.890346,0.0
20830.40180374552,0.013671875,-1209.9200439453125,0.001953125,0.0,268.19001035,2095104.0,0.0,0.013671875,-7.078944683074951,0.0,0.060990963131189346,2095104.0,4.6943359375,5044.822265625,610.2763671875,0.00017746038793120533,,0.0,1773906673.356779,0.0
21052.730922798764,1.1103515625,-1449.941650390625,0.0029296875,0.0,320.924796197,2349056.0,0.0,1.1103515625,-6.411285877227783,0.0,0.07525260001420975,2349056.0,16.0986328125,5814.4765625,741.892578125,-4.098528006579727e-05,"{'_type': 'html-file', 'sha256': '7b8e7a06de2fc62544947bad382b1e244f6eacd079c07dd6e111aab4fb55b9ca', 'path': 'media/html/render_2349056_7b8e7a06de2fc6254494.html', 'size': 3863377.0}",0.0,1773906752.5908923,0.0
21332.871809385426,2.2978515625,-1468.85791015625,0.0205078125,0.0,347.395103479,2603008.0,0.0,2.2978515625,-7.51948881149292,0.0,0.12056699395179749,2603008.0,19.6572265625,5917.5478515625,731.375,-7.858817116357386e-05,,0.0,1773906752.7906358,0.0
21257.757064991005,0.5634765625,-1389.0673828125,0.009765625,0.0,373.512166914,2856960.0,0.0,0.5634765625,-9.009389877319336,0.0,0.1856095939874649,2856960.0,10.3134765625,5931.353515625,739.333984375,3.137439534839359e-07,,0.0,1773906779.060672,0.0
21471.900543921594,0.607421875,-1153.8388671875,0.0068359375,0.0,399.693963064,3110912.0,0.0,0.607421875,-10.40200138092041,0.0,0.2556989789009094,3110912.0,3.3359375,5715.8662109375,670.31640625,5.707395757781342e-06,,0.0,1773906805.177784,0.0
21427.760640298133,0.677734375,-1590.8662109375,0.0068359375,0.0,425.686358601,3364864.0,0.0,0.677734375,-11.884055137634277,0.0,0.3294987976551056,3364864.0,4.21875,6303.205078125,796.8974609375,-6.74956027069129e-05,,0.0,1773906831.3594356,0.0
21536.0862381691,1.3916015625,-1467.078857421875,0.0263671875,0.0,478.079539499,3618816.0,0.0,1.3916015625,-13.175103187561035,0.0,0.4021712839603424,3618816.0,12.931640625,7011.107421875,847.81640625,6.953433512535412e-06,"{'path': 'media/html/render_3618816_9d3c768d875a38d230c2.html', 'size': 3864053.0, '_type': 'html-file', 'sha256': '9d3c768d875a38d230c2b2c483586500b3662876a3a893c110bba578d98368e8'}",0.0,1773906909.7457314,0.0
21465.14340979652,5.8447265625,-1402.23681640625,0.05078125,0.0,504.220220463,3872768.0,0.0,5.8447265625,-13.922703742980957,0.0,0.44690051674842834,3872768.0,42.173828125,6577.2578125,801.640625,-3.807318353210576e-05,,0.0,1773906909.9382443,0.0
21595.649772403158,2.41796875,-1458.149169921875,0.0244140625,0.0,530.325906406,4126720.0,0.0,2.41796875,-14.172016143798828,0.0,0.4822976589202881,4126720.0,18.4599609375,6767.603515625,836.5078125,3.814769661403261e-05,,0.0,1773906935.8857949,0.0
21562.743350365607,16.013671875,-1375.37841796875,0.0693359375,0.0,556.214530952,4380672.0,0.0,16.013671875,-13.863446235656738,0.0,0.5097111463546753,4380672.0,54.1220703125,6118.6962890625,782.390625,-3.5052655675826827e-06,,0.0,1773906961.9913635,0.0
21697.21853432743,13.8134765625,-1430.00048828125,0.046875,0.0,582.27184149,4634624.0,0.0,13.8134765625,-13.817447662353516,0.0,0.5668367147445679,4634624.0,52.314453125,5957.12109375,754.83984375,3.179894974891795e-06,,0.0,1773906987.8799903,0.0
21647.14733636303,18.8720703125,-1505.0196533203125,0.0703125,0.0,633.846624014,4888576.0,0.0,18.8720703125,-13.969589233398438,0.0,0.6048872470855713,4888576.0,54.02734375,7006.9814453125,850.16015625,1.6288753613480367e-05,"{'_type': 'html-file', 'sha256': '1abfcfcef8fc167bf5c9522533d6e49e990564535edcb60b289e79d5c0e340f3', 'path': 'media/html/render_4888576_1abfcfcef8fc167bf5c9.html', 'size': 3856657.0}",0.0,1773907065.5128217,0.0
21778.77153118549,26.2490234375,-1511.4566650390625,0.07421875,0.0,660.060737271,5142528.0,0.0,26.2490234375,-14.741607666015625,0.0,0.6552692651748657,5142528.0,66.6943359375,6739.3505859375,840.0654296875,-3.966430085711181e-05,,0.0,1773907065.7000642,0.0
21708.4044689947,25.7216796875,-1422.6123046875,0.0615234375,0.0,685.892756539,5396480.0,0.0,25.7216796875,-15.11391830444336,0.0,0.688122570514679,5396480.0,50.416015625,6356.06298828125,785.1923828125,-4.70153936475981e-05,,0.0,1773907091.7261758,0.0
21822.2359166466,24.06640625,-1505.242431640625,0.0751953125,0.0,711.874602102,5650432.0,0.0,24.06640625,-14.840469360351562,0.0,0.6807915568351746,5650432.0,53.146484375,6791.9755859375,837.306640625,1.6163174223038368e-05,,0.0,1773907117.5581145,0.0
21796.611149331027,29.8681640625,-1560.9608154296875,0.078125,0.0,737.646244091,5904384.0,0.0,29.8681640625,-15.65674114227295,0.0,0.7350314259529114,5904384.0,58.240234375,6593.85107421875,810.4326171875,-2.8798249331885017e-05,,0.0,1773907143.5402012,0.0
21935.15770494756,26.7451171875,-1417.2977294921875,0.07421875,0.0,789.794848263,6158336.0,0.0,26.7451171875,-15.63500690460205,0.0,0.7347326874732971,6158336.0,48.1357421875,6769.70703125,804.9990234375,7.799401828378905e-06,"{'path': 'media/html/render_6158336_357cd20f59adce3f1df0.html', 'size': 3862141.0, '_type': 'html-file', 'sha256': '357cd20f59adce3f1df0eafea1b7144d37192c7a2f2d86b1a1be1708d2dc432d'}",0.0,1773907221.4610023,0.0
21811.07754657214,52.2646484375,-1488.0064697265625,0.10546875,0.0,815.755321316,6412288.0,0.0,52.2646484375,-15.663561820983887,0.0,0.7347699999809265,6412288.0,79.05078125,6134.45263671875,780.71875,-6.96061943017412e-06,,0.0,1773907221.6676154,0.0
21941.20836524311,26.783203125,-1445.751220703125,0.068359375,0.0,841.675667979,6666240.0,0.0,26.783203125,-16.568519592285156,0.0,0.7910770773887634,6666240.0,38.59375,6772.689453125,815.5517578125,-5.015769784222357e-05,,0.0,1773907247.4207366,0.0
21924.490542001713,59.2080078125,-1506.032958984375,0.130859375,0.0,867.387797845,6920192.0,0.0,59.2080078125,-16.773012161254883,0.0,0.7965458035469055,6920192.0,82.919921875,6533.5654296875,832.998046875,3.0497958505293354e-05,,0.0,1773907273.341309,0.0
22035.042791081436,72.9716796875,-1551.825927734375,0.1328125,0.0,893.294377978,7174144.0,0.0,72.9716796875,-17.56340789794922,0.0,0.8279658555984497,7174144.0,93.8681640625,6636.1279296875,844.0986328125,5.986035375826759e-06,,0.0,1773907299.0532627,0.0
21932.362361888547,90.80078125,-1481.2757568359375,0.140625,0.0,945.455861517,7428096.0,0.0,90.80078125,-18.035066604614258,0.0,0.8517267107963562,7428096.0,111.78125,6028.9091796875,794.45703125,-5.0461523642297834e-05,"{'_type': 'html-file', 'sha256': 'fcd1b89997a71b2ed54d978f15754a67b69d45fed890831ad53422a90091121a', 'path': 'media/html/render_7428096_fcd1b89997a71b2ed54d.html', 'size': 3865713.0}",0.0,1773907377.1220827,0.0
22090.755698451878,70.4716796875,-1510.000244140625,0.103515625,0.0,971.562817324,7682048.0,0.0,70.4716796875,-18.606582641601562,0.0,0.8687745928764343,7682048.0,98.5126953125,6470.51953125,833.3642578125,3.672481398098171e-05,,0.0,1773907377.3182695,0.0
21924.32041021655,95.892578125,-1638.310546875,0.146484375,0.0,997.259223741,7936000.0,0.0,95.892578125,-18.428462982177734,0.0,0.8989899754524231,7936000.0,124.9130859375,6481.216796875,857.0888671875,-4.014781370642595e-05,,0.0,1773907403.2285485,0.0
