eval/episode_success_hard,training/entropy,render,eval/episode_success_any,eval/episode_success_easy,eval/episode_reward_near,_timestamp,eval/episode_reward_dist,step,training/actor_loss,eval/episode_reward_survive,training/sps,training/alpha_loss,eval/episode_reward_ctrl,eval/episode_dist,training/critic_loss,training/log_alpha,_runtime,eval/episode_reward,eval/episode_success,_step
,,"{'_type': 'html-file', 'sha256': 'c520f8b0869382b1ceabd5ab9e59b424433306eb81a18a1c4d1847c59b14c94a', 'path': 'media/html/render_0_c520f8b0869382b1ceab.html', 'size': 3876037.0}",,,,1773944627.5198944,,,,,,,,,,,65.864889589,,,0.0
,,"{'_type': 'html-file', 'sha256': 'd2229a9077a7403f177b9cbb21b133aa4067ca8f6c9ea3e11bcf1a1b11c6d34d', 'path': 'media/html/render_1_d2229a9077a7403f177b.html', 'size': 3886069.0}",,,,1773944725.600039,,,,,,,,,,,163.944910988,,,1.0
0.0,0.0,,0.00390625,4.572265625,0.0,1773944725.79639,0.0,1333248.0,-52.133338928222656,696.3505859375,8158.891097851744,2.028923511505127,-1503.0140380859375,5842.134765625,0.49766701459884644,0.0,188.944748172,0.2939453125,0.2939453125,1333248.0
0.0,0.0,,0.0146484375,9.58984375,0.0,1773944750.5990686,0.0,1587200.0,-50.00206756591797,805.3564453125,23858.57670146416,0.003881711047142744,-1699.2421875,6484.55078125,0.35593917965888977,0.0,214.23257951,1.048828125,1.048828125,1587200.0
0.0,0.0,,0.0224609375,27.7978515625,0.0,1773944775.8868592,0.0,1841152.0,-40.074947357177734,796.8896484375,23306.87478192307,0.00028255756478756666,-1661.0113525390625,6410.515625,0.3702327311038971,0.0,239.611837567,5.0224609375,5.0224609375,1841152.0
0.0,0.0,,0.0849609375,89.048828125,0.0,1773944801.266166,0.0,2095104.0,-34.39326858520508,871.763671875,22816.72731461916,0.0004345156194176525,-1737.46728515625,6652.92626953125,0.44032907485961914,0.0,265.226668266,12.533203125,12.533203125,2095104.0
0.0,0.0,"{'path': 'media/html/render_2349056_558fe988c9744ffd2a88.html', 'size': 3854849.0, '_type': 'html-file', 'sha256': '558fe988c9744ffd2a88d07edd403345c0d3cc8eed493005ccbb4e708a70abf1'}",0.0380859375,47.33984375,0.0,1773944879.2508564,0.0,2349056.0,-32.883087158203125,748.7880859375,22657.031506969746,0.00028712779749184847,-1478.74951171875,5874.900390625,0.5517970323562622,0.0,317.595713403,4.8974609375,4.8974609375,2349056.0
0.0,0.0,,0.037109375,31.099609375,0.0,1773944879.4596076,0.0,2603008.0,-31.55348777770996,771.9794921875,22712.790243430823,0.0002398186334175989,-1483.415283203125,6284.3056640625,0.6301423907279968,0.0,343.388820009,4.8310546875,4.8310546875,2603008.0
0.0,0.0,,0.033203125,25.8154296875,0.0,1773944905.0431652,0.0,2856960.0,-30.074073791503906,802.3056640625,22501.785772436462,4.654619988286868e-05,-1524.2310791015625,6696.94921875,0.7073709964752197,0.0,368.901595871,2.9716796875,2.9716796875,2856960.0
0.0,0.0,,0.04296875,25.462890625,0.0,1773944930.5558467,0.0,3110912.0,-27.543668746948242,744.7041015625,22570.902724275475,0.0001751436066115275,-1432.49169921875,5884.7255859375,0.7681399583816528,0.0,394.509377919,3.91796875,3.91796875,3110912.0
0.0,0.0,,0.046875,29.25,0.0,1773944956.1636326,0.0,3364864.0,-26.331939697265625,766.630859375,22461.634502038476,4.012772478745319e-05,-1445.658203125,6594.61474609375,0.8446692228317261,0.0,419.957968666,9.53125,9.53125,3364864.0
0.0,0.0,"{'_type': 'html-file', 'sha256': '1ca32aaa4531b00a83ae1cacb6782b45826f8168c5f00fe54064a3aceaec260e', 'path': 'media/html/render_3618816_1ca32aaa4531b00a83ae.html', 'size': 3870117.0}",0.0849609375,53.6494140625,0.0,1773945034.0911164,0.0,3618816.0,-23.84125518798828,880.828125,22521.57479959608,1.9718670955626294e-05,-1699.039306640625,6884.56494140625,0.8876521587371826,0.0,472.43596699,15.1220703125,15.1220703125,3618816.0
0.0,0.0,,0.072265625,47.6015625,0.0,1773945034.290215,0.0,3872768.0,-22.876792907714844,745.6025390625,22423.652653973477,0.0001270372304134071,-1389.8721923828125,5997.8603515625,0.9479464292526245,0.0,498.143895332,18.0087890625,18.0087890625,3872768.0
0.0,0.0,,0.07421875,43.3408203125,0.0,1773945059.798192,0.0,4126720.0,-21.422489166259766,719.095703125,22382.47000678691,5.774012242909521e-05,-1278.8360595703125,5771.7158203125,0.9960505366325378,0.0,523.817055969,13.9091796875,13.9091796875,4126720.0
0.0,0.0,,0.1123046875,70.8896484375,0.0,1773945085.4713306,0.0,4380672.0,-20.572284698486328,696.43359375,22331.91652618435,9.459190550842322e-06,-1383.339111328125,5215.10693359375,1.041076421737671,0.0,549.305371479,41.0078125,41.0078125,4380672.0
0.0,0.0,,0.12109375,89.5,0.0,1773945110.959143,0.0,4634624.0,-19.711246490478516,835.2001953125,22418.568730055318,6.904058682266623e-05,-1538.872314453125,6414.48046875,1.056474208831787,0.0,574.971468208,53.45703125,53.45703125,4634624.0
0.0,0.0,"{'size': 3880265.0, '_type': 'html-file', 'sha256': '1f14f7850d68d7a42774bd7b1f3866803e3c60e10e498b6604ae7261c3def2d2', 'path': 'media/html/render_4888576_1f14f7850d68d7a42774.html'}",0.125,77.7509765625,0.0,1773945188.3910966,0.0,4888576.0,-19.49222183227539,797.927734375,22329.564956277925,8.623522262496408e-06,-1494.0458984375,6200.458984375,1.0833392143249512,0.0,626.735963149,49.044921875,49.044921875,4888576.0
0.0,0.0,,0.1240234375,107.494140625,0.0,1773945188.5887005,0.0,5142528.0,-19.366317749023438,785.79296875,22383.338743613014,2.961073914775625e-05,-1507.15234375,5948.96142578125,1.096077799797058,0.0,652.668951384,76.58203125,76.58203125,5142528.0
0.0,0.0,,0.099609375,76.701171875,0.0,1773945214.3234015,0.0,5396480.0,-19.016462326049805,708.244140625,22203.69145347318,0.00011520810949150473,-1337.991455078125,5317.27001953125,1.1062390804290771,0.0,678.195325101,62.3603515625,62.3603515625,5396480.0
0.0,0.0,,0.0947265625,78.994140625,0.0,1773945239.8496907,0.0,5650432.0,-18.920562744140625,789.9541015625,22347.384240492716,-1.2114343007851858e-05,-1489.59619140625,6314.11962890625,1.0980888605117798,0.0,703.932021445,62.65625,62.65625,5650432.0
0.0,0.0,,0.158203125,129.3671875,0.0,1773945265.5861027,0.0,5904384.0,-19.448627471923828,806.8984375,22198.61562930239,4.401323894853704e-05,-1534.2755126953125,5941.67822265625,1.0952197313308716,0.0,729.473626716,105.857421875,105.857421875,5904384.0
0.0,0.0,"{'_type': 'html-file', 'sha256': '5fabb1850440ef326b6491a7dd4537c0dea7909ee14e3e1a43261e67194893a9', 'path': 'media/html/render_6158336_5fabb1850440ef326b64.html', 'size': 3866325.0}",0.119140625,88.7080078125,0.0,1773945344.1345878,0.0,6158336.0,-19.98066520690918,749.56640625,22326.583486423297,-0.00011457522487035021,-1411.0587158203125,5815.93359375,1.1104284524917603,0.0,782.479445354,75.837890625,75.837890625,6158336.0
0.0,0.0,,0.1328125,118.935546875,0.0,1773945344.3361676,0.0,6412288.0,-20.24058723449707,810.0517578125,22202.947218092275,0.00015164120122790337,-1629.602783203125,5924.904296875,1.1057102680206299,0.0,808.234175549,99.443359375,99.443359375,6412288.0
0.0,0.0,,0.1455078125,127.669921875,0.0,1773945369.888476,0.0,6666240.0,-21.203523635864258,848.47265625,22290.872982157958,-7.04360063537024e-05,-1639.894775390625,6307.92919921875,1.1446861028671265,0.0,833.946862579,107.6650390625,107.6650390625,6666240.0
0.0,0.0,,0.15234375,111.6728515625,0.0,1773945395.6011262,0.0,6920192.0,-21.56092643737793,750.6044921875,22251.46184644085,4.949682261212729e-05,-1407.9364013671875,5501.27783203125,1.1467634439468384,0.0,859.508924768,88.9736328125,88.9736328125,6920192.0
0.0,0.0,,0.119140625,94.9140625,0.0,1773945421.163164,0.0,7174144.0,-21.9528865814209,727.275390625,22277.70288371453,-1.2968913324584719e-05,-1409.6953125,5565.5556640625,1.1687244176864624,0.0,885.252115,78.5517578125,78.5517578125,7174144.0
0.0,0.0,"{'_type': 'html-file', 'sha256': '8481a3819188a55c357646883a62784dac74f1ab9503f444cb4b745027378c84', 'path': 'media/html/render_7428096_8481a3819188a55c3576.html', 'size': 3865909.0}",0.1455078125,122.46484375,0.0,1773945499.5681474,0.0,7428096.0,-22.03575897216797,673.5185546875,22178.59412486825,4.2482275603106245e-05,-1359.995361328125,4685.12158203125,1.1467576026916504,0.0,937.913006145,104.90625,104.90625,7428096.0
0.0,0.0,,0.1328125,97.609375,0.0,1773945499.776393,0.0,7682048.0,-22.5467472076416,783.427734375,22304.88442300121,-5.757680628448725e-05,-1476.6251220703125,5948.5830078125,1.129473328590393,0.0,963.861265196,64.9052734375,64.9052734375,7682048.0
0.0,0.0,,0.146484375,137.7998046875,0.0,1773945525.5155463,0.0,7936000.0,-22.77852439880371,882.2587890625,22188.238448596287,2.9598713808809407e-05,-1780.33251953125,6537.234375,1.1250991821289062,0.0,989.40988354,126.3310546875,126.3310546875,7936000.0
0.0,0.0,,0.1796875,153.8544921875,0.0,1773945551.063628,0.0,8189952.0,-22.880992889404297,812.2958984375,22296.384994658947,-3.2786720112198964e-05,-1478.4093017578125,5807.00390625,1.110051155090332,0.0,1015.141243503,136.69140625,136.69140625,8189952.0
0.0,0.0,,0.1630859375,146.2822265625,0.0,1773945576.7955692,0.0,8443904.0,-23.476762771606445,749.7236328125,22206.33833647583,-2.381862032052595e-05,-1492.307373046875,5246.1435546875,1.1113728284835815,0.0,1040.685755441,127.6875,127.6875,8443904.0
0.0,0.0,"{'_type': 'html-file', 'sha256': '6032098b768e77a1a3388a09149c6dca6fe23778a1b38961959eb5a844387969', 'path': 'media/html/render_8697856_6032098b768e77a1a338.html', 'size': 3865357.0}",0.17578125,139.078125,0.0,1773945654.5901637,0.0,8697856.0,-23.389812469482422,807.447265625,22294.433338171828,6.813640356995165e-05,-1521.3382568359375,5766.8544921875,1.087844967842102,0.0,1092.935004147,118.349609375,118.349609375,8697856.0
