_runtime,training/actor_loss,training/log_alpha,eval/episode_success_any,_step,_timestamp,training/sps,eval/episode_dist,eval/episode_success_easy,eval/episode_reward_near,eval/episode_reward_dist,eval/episode_success,training/entropy,training/critic_loss,render,eval/episode_success_hard,training/alpha_loss,eval/episode_reward,step,eval/episode_reward_survive,eval/episode_reward_ctrl
59.055939291,,,,0.0,1773979352.370019,,,,,,,,,"{'path': 'media/html/render_0_34c6028ad2cdab57d390.html', 'size': 4765065.0, '_type': 'html-file', 'sha256': '34c6028ad2cdab57d390860f42d310b652dcfde006eff1203f0dd374b55fcfea'}",,,,,,
134.378633071,,,,1.0,1773979427.6927888,,,,,,,,,"{'path': 'media/html/render_1_a10563186b26f0acdebe.html', 'size': 4726601.0, '_type': 'html-file', 'sha256': 'a10563186b26f0acdebe77b5a192c9563cb3b15321bcd26a2222efa43d010eef'}",,,,,,
149.945173609,-63.49802017211914,0.0,0.0,793600.0,1773979427.8790996,8079.556991261297,307.73046875,20.826171875,0.0,0.0,0.0,0.0,31.0410213470459,,0.0,5.003521919250488,0.0,793600.0,0.0,0.0
165.25353119,-39.13539123535156,0.0,0.0,1047552.0,1773979443.2588303,22261.432529117043,72.64432525634766,6.322265625,0.0,0.0,0.0,0.0,2.6794064044952393,,0.0,0.023488245904445648,0.0,1047552.0,0.0,0.0
180.606782531,-26.823453903198242,0.0,0.0,1301504.0,1773979458.5667748,22400.815277776874,169.4158935546875,16.298828125,0.0,0.0,0.0,0.0,1.0948936939239502,,0.0,0.000989490537904203,0.0,1301504.0,0.0,0.0
195.940849822,-14.726289749145508,0.0,0.0078125,1555456.0,1773979473.9205313,22299.738422805094,300.84405517578125,22.5,0.0,0.0,0.12890625,0.0,0.30631348490715027,,0.0,0.001064421609044075,0.12890625,1555456.0,0.0,0.0
237.048249032,-5.145402431488037,0.0,0.0,1809408.0,1773979530.362372,22354.386492186284,190.03907775878906,14.919921875,0.0,0.0,0.0,0.0,0.07366597652435303,"{'path': 'media/html/render_1809408_45f57b15078c89e5d580.html', 'size': 4723233.0, '_type': 'html-file', 'sha256': '45f57b15078c89e5d580aa7b7a487bf929725c2d6de3fbc91ec5d6527f57cd33'}",0.0,0.00044488016283139586,0.0,1809408.0,0.0,0.0
252.791804446,-1.5337520837783813,0.0,0.0,2063360.0,1773979530.7660835,22293.383449136003,217.2091522216797,19.5390625,0.0,0.0,0.0,0.0,0.018758786842226982,,0.0,0.0002021612017415464,0.0,2063360.0,0.0,0.0
268.127852612,-0.5198916792869568,0.0,0.00390625,2317312.0,1773979546.1054175,22347.54927992512,303.5777893066406,28.279296875,0.0,0.0,0.029296875,0.0,0.004873061086982489,,0.0,8.940867701312527e-05,0.029296875,2317312.0,0.0,0.0
283.470786467,-0.2666565775871277,0.0,0.0,2571264.0,1773979561.4412467,22342.73319404783,300.1214294433594,22.69921875,0.0,0.0,0.0,0.0,0.001681031077168882,,0.0,3.612118962337263e-05,0.0,2571264.0,0.0,0.0
298.809447753,-0.2024429440498352,0.0,0.001953125,2825216.0,1773979576.7843647,22340.391059824047,255.1303253173828,21.908203125,0.0,0.0,0.03515625,0.0,0.0008331033168360591,,0.0,1.3322331142262556e-05,0.03515625,2825216.0,0.0,0.0
340.29437708,-0.14837487041950226,0.0,0.001953125,3079168.0,1773979633.6084971,22341.191397799754,260.34185791015625,16.7734375,0.0,0.0,0.01171875,0.0,0.0005423564580269158,"{'path': 'media/html/render_3079168_9ddcb5fed3d2cc3e9a08.html', 'size': 4736885.0, '_type': 'html-file', 'sha256': '9ddcb5fed3d2cc3e9a080ecc1f3efd79ee1dcc24e1bb7bef0f3509412f4f043d'}",0.0,4.580547283694614e-06,0.01171875,3079168.0,0.0,0.0
355.85293684,-0.08311481028795242,0.0,0.0,3333120.0,1773979633.8028252,22342.898633459856,269.5354309082031,21.0625,0.0,0.0,0.0,0.0,0.00027125037740916014,,0.0,2.037271588051226e-05,0.0,3333120.0,0.0,0.0
