training/sps,training/critic_loss,eval/episode_reward_ctrl,eval/episode_reward_near,eval/episode_success_easy,training/alpha_loss,eval/episode_dist,_step,eval/episode_reward_dist,training/actor_loss,_runtime,step,eval/episode_reward_survive,training/entropy,eval/episode_reward,training/log_alpha,eval/episode_success_hard,render,eval/episode_success_any,eval/episode_success,_timestamp
,,,,,,,0.0,,,59.943919386,,,,,,,"{'sha256': '541b5320cf6294ec4deef3740f92f6aab46db6cbc8dac19d82bd794a5a1b7bb2', 'path': 'media/html/render_0_541b5320cf6294ec4dee.html', 'size': 4730537.0, '_type': 'html-file'}",,,1774013573.99294
,,,,,,,1.0,,,135.996189292,,,,,,,"{'sha256': '2bd3492b1196402058709390bd5430016912a2ddb9bb595bbf24e0532b686f24', 'path': 'media/html/render_1_2bd3492b119640205870.html', 'size': 4716389.0, '_type': 'html-file'}",,,1774013650.0452766
8006.260329059083,21.13457489013672,0.0,0.0,16.35546875,5.002411842346191,196.34732055664062,793600.0,0.0,-53.875328063964844,151.633770271,793600.0,0.0,0.0,0.0078125,0.0,0.0,,0.001953125,0.0078125,1774013650.2297044
22117.947922546642,2.778212070465088,0.0,0.0,12.1484375,0.022528283298015594,151.0694580078125,1047552.0,0.0,-46.187416076660156,167.023204639,1047552.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1774013665.6823142
22236.25424292823,0.8782693147659302,0.0,0.0,20.4453125,0.000724986894056201,265.13067626953125,1301504.0,0.0,-33.008113861083984,182.46045364,1301504.0,0.0,0.0,0.037109375,0.0,0.0,,0.0078125,0.037109375,1774013681.0719
22135.130548161203,0.4849337935447693,0.0,0.0,19.142578125,0.0009615555754862726,212.9594268798828,1555456.0,0.0,-18.251211166381836,197.865187635,1555456.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1774013696.508901
22213.170006077824,0.21043434739112854,0.0,0.0,14.177734375,0.0007129561272449791,198.29183959960938,1809408.0,0.0,-8.789412498474121,239.671116137,1809408.0,0.0,0.0,0.009765625,0.0,0.0,"{'size': 4727837.0, '_type': 'html-file', 'sha256': 'f072f02daa40123d013852eeff5f40a6dac0bbf8ab6d53ebe9515ab79602b158', 'path': 'media/html/render_1809408_f072f02daa40123d0138.html'}",0.001953125,0.009765625,1774013753.7201686
22132.899799699844,0.05639874190092087,0.0,0.0,19.5078125,0.0003921629977412522,230.83023071289062,2063360.0,0.0,-3.4261112213134766,255.321112067,2063360.0,0.0,0.0,0.01171875,0.0,0.0,,0.001953125,0.01171875,1774013753.918032
22134.421259380357,0.012872113846242428,0.0,0.0,19.6328125,0.00010283643496222794,272.0576171875,2317312.0,0.0,-1.1719493865966797,270.745363629,2317312.0,0.0,0.0,0.263671875,0.0,0.0,,0.015625,0.263671875,1774013769.3696733
22167.416284837942,0.004249562509357929,0.0,0.0,23.35546875,8.677490404807031e-05,232.204833984375,2571264.0,0.0,-0.5089904069900513,286.167153289,2571264.0,0.0,0.0,0.001953125,0.0,0.0,,0.001953125,0.001953125,1774013784.7938547
22175.180081192055,0.003663809271529317,0.0,0.0,14.171875,-2.6886840714723803e-05,221.3163299560547,2825216.0,0.0,-0.4436110556125641,301.589968538,2825216.0,0.0,0.0,0.14453125,0.0,0.0,,0.0078125,0.14453125,1774013800.215693
22176.803860254007,0.004954808857291937,0.0,0.0,30.99609375,3.2099535019369796e-05,265.7445373535156,3079168.0,0.0,-0.6265295743942261,343.317458269,3079168.0,0.0,0.0,0.19921875,0.0,0.0,"{'sha256': 'c5edc63e2d2152eba59f1fd5f9ed2ff1686e1c708e45df68d671ccf7ec8d0182', 'path': 'media/html/render_3079168_c5edc63e2d2152eba59f.html', 'size': 4739945.0, '_type': 'html-file'}",0.005859375,0.19921875,1774013857.3665178
22176.016179979117,0.005126470699906349,0.0,0.0,16.791015625,1.3989147191750817e-05,195.80563354492188,3333120.0,0.0,-0.5049176216125488,358.99962444,3333120.0,0.0,0.0,0.025390625,0.0,0.0,,0.00390625,0.025390625,1774013857.5877695
22103.58636320605,0.007392722647637129,0.0,0.0,18.962890625,-3.6939677556802053e-06,138.25399780273438,3587072.0,0.0,-0.5085430145263672,374.413204574,3587072.0,0.0,0.0,0.0078125,0.0,0.0,,0.001953125,0.0078125,1774013873.0481086
22189.342247691075,0.0110629266127944,0.0,0.0,31.310546875,-5.826656433782773e-06,168.35711669921875,3841024.0,0.0,-0.5985242128372192,389.846353688,3841024.0,0.0,0.0,0.548828125,0.0,0.0,,0.013671875,0.548828125,1774013888.461714
22157.7600889346,0.013728613965213299,0.0,0.0,23.486328125,-1.0444594408909325e-05,187.12716674804688,4094976.0,0.0,-0.6211941838264465,405.261112239,4094976.0,0.0,0.0,0.26171875,0.0,0.0,,0.01171875,0.26171875,1774013903.894845
22189.873848410818,0.013818509876728058,0.0,0.0,21.3359375,2.276676423207391e-05,164.08851623535156,4348928.0,0.0,-0.678608775138855,446.924643996,4348928.0,0.0,0.0,0.8046875,0.0,0.0,"{'sha256': 'be513da80d2f48230ab833a1502cae7193ec0c6d77fd57d2288f20fd6bc45d06', 'path': 'media/html/render_4348928_be513da80d2f48230ab8.html', 'size': 4751089.0, '_type': 'html-file'}",0.025390625,0.8046875,1774013960.973713
22143.911645211236,0.014278711751103401,0.0,0.0,18.87109375,2.3356669771601446e-05,143.25588989257812,4602880.0,0.0,-0.5074412226676941,462.56463876,4602880.0,0.0,0.0,0.095703125,0.0,0.0,,0.01171875,0.095703125,1774013961.168776
22135.91992686254,0.012020839378237724,0.0,0.0,18.1796875,1.0725570973590948e-05,133.20652770996094,4856832.0,0.0,-0.4120508134365082,477.997844571,4856832.0,0.0,0.0,0.357421875,0.0,0.0,,0.017578125,0.357421875,1774013976.6131058
22156.277819490817,0.011011148802936077,0.0,0.0,16.259765625,1.40493120852625e-05,106.1675033569336,5110784.0,0.0,-0.3082585036754608,493.639832415,5110784.0,0.0,0.0,0.15625,0.0,0.0,,0.005859375,0.15625,1774013992.046388
21755.272913210618,0.016104867681860924,0.0,0.0,13.47265625,-1.2039882676617708e-05,113.53839111328125,5364736.0,0.0,-0.35127735137939453,509.274494208,5364736.0,0.0,0.0,0.1171875,0.0,0.0,,0.0078125,0.1171875,1774014007.6884668
21766.23724717165,0.025757921859622,0.0,0.0,11.4921875,-1.597132177266758e-05,101.70579528808594,5618688.0,0.0,-0.5253068208694458,550.342971737,5618688.0,0.0,0.0,0.142578125,0.0,0.0,"{'size': 4737397.0, '_type': 'html-file', 'sha256': 'ab1c19dc955256f7767c03f300f3b69a857e0b64d49a10de16c79d5157c36c7b', 'path': 'media/html/render_5618688_ab1c19dc955256f7767c.html'}",0.0078125,0.142578125,1774014064.3920293
21756.878884348695,0.021804269403219223,0.0,0.0,17.509765625,2.2154246835270897e-05,133.6074676513672,5872640.0,0.0,-0.46571290493011475,566.188178649,5872640.0,0.0,0.0,1.451171875,0.0,0.0,,0.01171875,1.451171875,1774014064.5849757
