render,eval/episode_success,eval/episode_success_easy,eval/episode_reward,eval/episode_reward_near,eval/episode_reward_survive,_step,eval/episode_success_any,_runtime,eval/episode_reward_dist,eval/episode_success_hard,training/log_alpha,eval/episode_reward_ctrl,training/alpha_loss,_timestamp,training/critic_loss,training/sps,eval/episode_dist,step,training/actor_loss,training/entropy
"{'path': 'media/html/render_0_565f018e40172422f758.html', 'size': 4757793.0, '_type': 'html-file', 'sha256': '565f018e40172422f7587a0157103e02e0c3d3e6be89e254e2cbf96714eebeba'}",,,,,,0.0,,57.796844873,,,,,,1774017861.892179,,,,,,
"{'size': 4701449.0, '_type': 'html-file', 'sha256': '120cfe67c159ed1ff1e2a75d999d5414714c9c9c228662cb4a7f1783367c3252', 'path': 'media/html/render_1_120cfe67c159ed1ff1e2.html'}",,,,,,1.0,,131.659883885,,,,,,1774017935.7553325,,,,,,
,0.00390625,19.03515625,0.00390625,0.0,0.0,793600.0,0.001953125,147.166176479,0.0,0.0,0.0,0.0,4.700676918029785,1774017935.9422832,31.435670852661133,8377.253686118785,227.2969970703125,793600.0,-60.13014221191406,0.0
,0.0234375,16.494140625,0.0234375,0.0,0.0,1047552.0,0.00390625,162.428726523,0.0,0.0,0.0,0.0,0.009193927980959415,1774017951.2610648,6.206684589385986,22373.334716739464,195.7977752685547,1047552.0,-68.40827178955078,0.0
,0.021484375,19.5390625,0.021484375,0.0,0.0,1301504.0,0.00390625,177.738132358,0.0,0.0,0.0,0.0,0.002465292112901807,1774017966.5236707,3.3641197681427,22496.0653214544,280.9841003417969,1301504.0,-52.03769302368164,0.0
,0.0,15.734375,0.0,0.0,0.0,1555456.0,0.0,193.017306507,0.0,0.0,0.0,0.0,0.0018909197533503175,1774017981.8325434,1.070151686668396,22391.481901612067,216.16647338867188,1555456.0,-24.162307739257812,0.0
"{'path': 'media/html/render_1809408_f89694a5badf2c9792d2.html', 'size': 4772317.0, '_type': 'html-file', 'sha256': 'f89694a5badf2c9792d216c37f2ba57b24bc156f97876cea1429a77218f8ca0b'}",0.0,20.662109375,0.0,0.0,0.0,1809408.0,0.0,234.028073351,0.0,0.0,0.0,0.0,0.0008952407515607774,1774018038.1235046,0.3226371705532074,22457.97177534596,230.1855926513672,1809408.0,-10.493773460388184,0.0
,0.021484375,28.01953125,0.021484375,0.0,0.0,2063360.0,0.00390625,249.524792442,0.0,0.0,0.0,0.0,0.0005967674660496414,1774018038.3129377,0.0862058699131012,22380.426601040224,369.7841491699219,2063360.0,-4.22668981552124,0.0
,0.08203125,11.859375,0.08203125,0.0,0.0,2317312.0,0.0078125,264.814984555,0.0,0.0,0.0,0.0,4.824623101740144e-05,1774018053.619583,0.01839001663029194,22420.99194317087,146.6197509765625,2317312.0,-1.4014805555343628,0.0
,0.0,29.71875,0.0,0.0,0.0,2571264.0,0.0,280.113714838,0.0,0.0,0.0,0.0,0.0001566614373587072,1774018068.9098215,0.014609984122216702,22429.10537830526,358.4927978515625,2571264.0,-1.4976377487182617,0.0
,0.0,16.033203125,0.0,0.0,0.0,2825216.0,0.0,295.420516586,0.0,0.0,0.0,0.0,9.1063957370352e-05,1774018084.2083879,0.0044136056676507,22416.18896985299,188.88165283203125,2825216.0,-0.6134675741195679,0.0
"{'path': 'media/html/render_3079168_b59bf08ef20d23f910fb.html', 'size': 4763637.0, '_type': 'html-file', 'sha256': 'b59bf08ef20d23f910fb0da6d19c9f158c6e12451b8ac7b8fb5b5e5722a5b7fd'}",0.0,21.251953125,0.0,0.0,0.0,3079168.0,0.0,336.47281843,0.0,0.0,0.0,0.0,3.643015952548012e-05,1774018140.5681982,0.0011694107670336962,22404.424510159253,258.2967224121094,3079168.0,-0.14459559321403503,0.0
,0.0,20.201171875,0.0,0.0,0.0,3333120.0,0.0,352.001997388,0.0,0.0,0.0,0.0,1.4912235201336443e-05,1774018140.761677,0.00030912223155610263,22417.24762710966,238.20675659179688,3333120.0,-0.017089039087295532,0.0
,0.0,16.134765625,0.0,0.0,0.0,3587072.0,0.0,367.303269961,0.0,0.0,0.0,0.0,-0.00030389035237021744,1774018156.0968952,0.0006660497165285051,22358.09481889251,214.93714904785156,3587072.0,-0.2075357586145401,0.0
,0.0,12.35546875,0.0,0.0,0.0,3841024.0,0.0,382.615546256,0.0,0.0,0.0,0.0,1.0397793630545493e-05,1774018171.397556,0.0008997321710921824,22411.694564293677,140.44418334960938,3841024.0,-0.5083217620849609,0.0
,0.0,12.23828125,0.0,0.0,0.0,4094976.0,0.0,397.916520387,0.0,0.0,0.0,0.0,2.8910668333992362e-05,1774018186.710416,0.0008479455136694014,22384.032558596195,183.26568603515625,4094976.0,-0.4186430871486664,0.0
"{'_type': 'html-file', 'sha256': 'f58cfb80ecc9d4892d5fb630a29a268b3522858f5a7c8f8ee1c770319d0a6484', 'path': 'media/html/render_4348928_f58cfb80ecc9d4892d5f.html', 'size': 4747977.0}",0.0,14.271484375,0.0,0.0,0.0,4348928.0,0.0,438.699783142,0.0,0.0,0.0,0.0,3.058664788113674e-07,1774018242.79519,0.000522367306984961,22417.92844750412,218.86949157714844,4348928.0,-0.23288044333457947,0.0
,0.001953125,16.87109375,0.001953125,0.0,0.0,4602880.0,0.001953125,454.256325725,0.0,0.0,0.0,0.0,7.363205440924503e-06,1774018243.020464,0.0005155379185453057,22370.976765708358,231.77537536621094,4602880.0,-0.19464541971683502,0.0
,0.0,10.99609375,0.0,0.0,0.0,4856832.0,0.0,469.56649996,0.0,0.0,0.0,0.0,9.202516594086774e-06,1774018258.3512387,0.000296982005238533,22364.677864026402,235.6962432861328,4856832.0,-0.11815496534109116,0.0
,0.0,17.38671875,0.0,0.0,0.0,5110784.0,0.0,485.091278359,0.0,0.0,0.0,0.0,-3.6489448120846646e-06,1774018273.6612504,0.00037808611523360014,22390.145633497374,230.44912719726562,5110784.0,-0.13195744156837463,0.0
,0.0,11.1171875,0.0,0.0,0.0,5364736.0,0.0,500.612562508,0.0,0.0,0.0,0.0,5.787408554169815e-06,1774018289.1861808,0.00025586833362467587,21983.527324393486,152.41378784179688,5364736.0,-0.1305956244468689,0.0
"{'sha256': 'a046e3bcd23db272b23034663f65cd66613b0e2ceb8c446d2d566e1733725bf8', 'path': 'media/html/render_5618688_a046e3bcd23db272b230.html', 'size': 4736541.0, '_type': 'html-file'}",0.0,10.625,0.0,0.0,0.0,5618688.0,0.0,542.007633398,0.0,0.0,0.0,0.0,2.602710310384282e-06,1774018346.1030507,0.00019540525681804866,21982.883521551186,161.14801025390625,5618688.0,-0.07409455627202988,0.0
,0.0,9.5625,0.0,0.0,0.0,5872640.0,0.0,557.786474606,0.0,0.0,0.0,0.0,-3.3228191114176298e-06,1774018346.3322718,0.0002472757769282907,21976.623495973952,182.38003540039062,5872640.0,-0.07500645518302917,0.0
