_runtime,eval/episode_reward_dist,_step,eval/episode_success_hard,eval/episode_reward,training/alpha_loss,training/entropy,eval/episode_success_any,training/sps,step,eval/episode_dist,eval/episode_reward_ctrl,eval/episode_success,eval/episode_success_easy,training/critic_loss,_timestamp,training/actor_loss,render,training/log_alpha,eval/episode_reward_survive,eval/episode_reward_near
27.742870896,,0.0,,,,,,,,,,,,,1773893817.0850801,,"{'sha256': '4f485ede6bbe54611faf0bb1adf0677dfa844b6cc8b982ff5c1b92ab70dd1732', 'path': 'media/html/render_0_4f485ede6bbe54611faf.html', 'size': 942549, '_type': 'html-file'}",,,
64.347464144,,1.0,,,,,,,,,,,,,1773893853.6898403,,"{'_type': 'html-file', 'sha256': 'e8f35830706e638feadda02661095cfbceaadd4cc36f932fbaf77ce8c83bc49e', 'path': 'media/html/render_1_e8f35830706e638feadd.html', 'size': 941773}",,,
72.049455631,-135.9530792236328,1333248.0,0.0,131.486328125,0.5795927047729492,0.0,0.98828125,12413.540098984857,1333248.0,135.9530792236328,0.0,131.486328125,0.0,0.04826680198311806,1773893853.8455892,-15.440799713134766,,0.0,0.0,0.0
79.930975174,-102.08512878417969,1587200.0,0.0,271.814453125,0.005508695729076862,0.0,0.9794921875,37207.634735587504,1587200.0,102.08512878417969,0.0,271.814453125,0.0,0.1159215122461319,1773893861.391239,-12.340991973876953,,0.0,0.0,0.0
88.097287619,-70.74468231201172,1841152.0,0.0,352.4091796875,-0.0001575180795043707,0.0,0.9765625,35479.150191605055,1841152.0,70.74468231201172,0.0,352.4091796875,0.0,0.21771372854709625,1773893869.2726803,-9.087878227233887,,0.0,0.0,0.0
96.216482643,-54.65293884277344,2095104.0,0.0,574.3076171875,-0.00017362697690259665,0.0,0.916015625,34117.081178394175,2095104.0,54.65293884277344,0.0,574.3076171875,0.0,0.3658379912376404,1773893877.4389687,-8.41733169555664,,0.0,0.0,0.0
113.411515261,-43.22740936279297,2349056.0,0.0,729.7119140625,-0.00032588912290520966,0.0,0.955078125,34327.599983022345,2349056.0,43.22740936279297,0.0,729.7119140625,0.0,0.6365137100219727,1773893902.7538815,-10.532142639160156,"{'path': 'media/html/render_2349056_904a46ee483b73854d2a.html', 'size': 908865, '_type': 'html-file', 'sha256': '904a46ee483b73854d2ac36cc1eb13004766e023a804d41c2818f245c15540b1'}",0.0,0.0,0.0
121.656079913,-36.718990325927734,2603008.0,0.0,802.232421875,-0.0003294105699751526,0.0,0.953125,34506.85221021479,2603008.0,36.718990325927734,0.0,802.232421875,0.0,1.0459729433059692,1773893902.9113572,-14.775483131408691,,0.0,0.0,0.0
129.87027611,-38.06267547607422,2856960.0,0.0,782.8349609375,-0.0002657583972904831,0.0,0.876953125,34515.67909273196,2856960.0,38.06267547607422,0.0,782.8349609375,0.0,1.5074796676635742,1773893910.9979584,-20.334089279174805,,0.0,0.0,0.0
138.030451248,-35.64263916015625,3110912.0,0.0,813.89453125,-0.0001892650470836088,0.0,0.9287109375,33898.41915569965,3110912.0,35.64263916015625,0.0,813.89453125,0.0,1.922722578048706,1773893919.2119265,-26.78858184814453,,0.0,0.0,0.0
