eval/episode_reward_ctrl,_step,eval/episode_reward_survive,step,training/entropy,eval/episode_success_any,_timestamp,training/actor_loss,eval/episode_reward_near,training/alpha_loss,render,training/log_alpha,training/sps,eval/episode_dist,training/critic_loss,eval/episode_success_easy,_runtime,eval/episode_success_hard,eval/episode_reward,eval/episode_success,eval/episode_reward_dist
,0.0,,,,,1774215148.662533,,,,"{'_type': 'html-file', 'sha256': '20590a5cc69f7c4b8a516bac57fd2a85d6230775736087d88a3735180f371fc5', 'path': 'media/html/render_0_20590a5cc69f7c4b8a51.html', 'size': 4051181.0}",,,,,,46.051642541,,,,
,1.0,,,,,1774215199.0555134,,,,"{'_type': 'html-file', 'sha256': '576d365da21f2985397f9a9c1dceef0a16821e3b26fe657c7218ecb9f124a68a', 'path': 'media/html/render_1_576d365da21f2985397f.html', 'size': 3965533.0}",,,,,,96.444597384,,,,
-2637.94482421875,1333248.0,775.76953125,1333248.0,0.0,0.005859375,1774215199.234893,-0.17757654190063477,0.0,0.0,,0.0,14392.425467095973,2696.96142578125,0.002580925589427352,17.9130859375,105.27825571,0.0,1.34375,1.34375,0.0
-1762.590576171875,1587200.0,566.7080078125,1587200.0,0.0,0.001953125,1774215207.8887827,-0.11666510254144669,0.0,0.0,,0.0,45237.889310303384,1967.188232421875,0.0017250183736905456,12.494140625,113.923311558,0.0,0.1005859375,0.1005859375,0.0
-2476.79052734375,1841152.0,721.90625,1841152.0,0.0,0.0,1774215216.5332828,-0.09004021435976028,0.0,0.0,,0.0,45010.54044744408,2492.9921875,0.004226767923682928,10.1689453125,122.59982936,0.0,0.0,0.0,0.0
-2078.84130859375,2095104.0,594.384765625,2095104.0,0.0,0.0,1774215225.2103312,-0.07092517614364624,0.0,0.0,,0.0,44939.43152544787,2018.8857421875,0.007217364385724068,9.6201171875,131.250019939,0.0,0.0,0.0,0.0
-2237.5859375,2349056.0,605.6640625,2349056.0,0.0,0.0,1774215262.0546556,-0.06602295488119125,0.0,0.0,"{'path': 'media/html/render_2349056_155ac379f0ba6c004b23.html', 'size': 3933393.0, '_type': 'html-file', 'sha256': '155ac379f0ba6c004b2347328db5612c5bfe73927d681c25d64931a8cdbe8493'}",0.0,45113.4485659315,2046.3741455078125,0.006412952672690153,4.97265625,159.443766192,0.0,0.0,0.0,0.0
-2894.5673828125,2603008.0,782.2880859375,2603008.0,0.0,0.0,1774215262.2528195,-0.07374508678913116,0.0,0.0,,0.0,45174.75937620051,2675.0205078125,0.007490900345146656,8.3662109375,168.340181409,0.0,0.0,0.0,0.0
-1856.604248046875,2856960.0,504.947265625,2856960.0,0.0,0.0,1774215270.950435,-0.0642150491476059,0.0,0.0,,0.0,44778.278838427905,1638.2724609375,0.0069697401486337185,8.2919921875,176.964529378,0.0,0.0,0.0,0.0
-2311.50732421875,3110912.0,626.3583984375,3110912.0,0.0,0.0,1774215279.5748794,-0.07183520495891571,0.0,0.0,,0.0,45123.791835885,2095.697265625,0.009150093421339989,8.423828125,185.616751971,0.0,0.0,0.0,0.0
