training/sps,step,eval/episode_success_hard,_runtime,eval/episode_success_any,eval/episode_dist,eval/episode_reward,training/actor_loss,eval/episode_success_easy,eval/episode_reward_survive,eval/episode_success,eval/episode_reward_dist,_timestamp,training/entropy,eval/episode_reward_near,render,_step,eval/episode_reward_ctrl,training/log_alpha,training/critic_loss,training/alpha_loss
,,,45.183017071,,,,,,,,,1774217766.210034,,,"{'path': 'media/html/render_0_97fc50a899e7a81d410a.html', 'size': 4032081.0, '_type': 'html-file', 'sha256': '97fc50a899e7a81d410a481192e13ad7bbdaa341d6f1753f9ea9c23b920be8f1'}",0.0,,,,
,,,97.539164964,,,,,,,,,1774217818.5661676,,,"{'path': 'media/html/render_1_34afe0ece03bc0ec03bb.html', 'size': 3965977.0, '_type': 'html-file', 'sha256': '34afe0ece03bc0ec03bb960ba6f4b4ab14c0d3c8508153bf62b1f4e52ba097e0'}",1.0,,,,
13615.66303275749,1333248.0,0.0,106.398832295,0.0,1991.029541015625,0.0,-0.0816173106431961,5.1591796875,585.7109375,0.0,0.0,1774217818.7551432,0.0,0.0,,1333248.0,-2046.3779296875,0.0,0.0032902418170124292,0.0
45136.4999838125,1587200.0,0.0,115.035797538,0.0,2752.85693359375,0.0,-0.08298340439796448,2.3564453125,772.322265625,0.0,0.0,1774217827.425286,0.0,0.0,,1587200.0,-2651.01708984375,0.0,0.0044890535064041615,0.0
45105.48220700608,1841152.0,0.0,123.692144781,0.001953125,2368.421875,0.111328125,-0.1187819093465805,13.7119140625,684.482421875,0.111328125,0.0,1774217836.0622694,0.0,0.0,,1841152.0,-2228.8623046875,0.0,0.009928558953106403,0.0
45137.02789197677,2095104.0,0.0,132.333856606,0.0009765625,2406.1044921875,0.775390625,-0.11515966057777405,11.2890625,677.61328125,0.775390625,0.0,1774217844.7185292,0.0,0.0,,2095104.0,-2239.284912109375,0.0,0.014133279211819172,0.0
45178.21981494586,2349056.0,0.0,160.511958794,0.0,2695.697509765625,0.0,-0.10660267621278763,8.6640625,789.203125,0.0,0.0,1774217881.5390863,0.0,0.0,"{'path': 'media/html/render_2349056_bb802f16edc7b5839c80.html', 'size': 3953241.0, '_type': 'html-file', 'sha256': 'bb802f16edc7b5839c80ba08f47fcfd19304c8341710678d8200286470e47454'}",2349056.0,-2700.720947265625,0.0,0.017458006739616394,0.0
45149.37796242064,2603008.0,0.0,169.328977745,0.0,2246.28369140625,0.0,-0.1162518635392189,10.32421875,663.1142578125,0.0,0.0,1774217881.7108533,0.0,0.0,,2603008.0,-2219.346435546875,0.0,0.021182896569371223,0.0
45136.32975518961,2856960.0,0.0,177.939633252,0.001953125,2009.2388916015625,1.8369140625,-0.07997339218854904,5.990234375,582.3603515625,1.8369140625,0.0,1774217890.355505,0.0,0.0,,2856960.0,-2056.9013671875,0.0,0.017059776932001114,0.0
45205.66533411729,3110912.0,0.0,186.58518005,0.0,2285.326171875,0.0,-0.06734230369329453,2.7744140625,665.720703125,0.0,0.0,1774217898.966251,0.0,0.0,,3110912.0,-2386.51171875,0.0,0.01808924414217472,0.0
45177.920885696905,3364864.0,0.0,195.209978663,0.0,2225.759521484375,0.0,-0.06126828119158745,9.154296875,648.8291015625,0.0,0.0,1774217907.6117465,0.0,0.0,,3364864.0,-2294.8955078125,0.0,0.01420392282307148,0.0
45054.92234180448,3618816.0,0.0,223.358566769,0.0,2593.050537109375,0.0,-0.05367974564433098,6.2607421875,746.5205078125,0.0,0.0,1774217944.385667,0.0,0.0,"{'path': 'media/html/render_3618816_bc64e97262c7141790f8.html', 'size': 4053937.0, '_type': 'html-file', 'sha256': 'bc64e97262c7141790f835e97ea3ada8faf7e171bb20843cd884dc944f820003'}",3618816.0,-2730.22021484375,0.0,0.014899392612278461,0.0
45136.03711797369,3872768.0,0.0,232.188952732,0.0,2117.38525390625,0.0,-0.022220633924007416,5.421875,617.646484375,0.0,0.0,1774217944.563782,0.0,0.0,,3872768.0,-2184.24267578125,0.0,0.011545357294380665,0.0
44855.47350805018,4126720.0,0.0,240.833337488,0.0,2502.76904296875,0.0,-0.024624740704894066,3.37109375,728.1533203125,0.0,0.0,1774217953.215618,0.0,0.0,,4126720.0,-2631.54248046875,0.0,0.011377774178981781,0.0
45119.15665420496,4380672.0,0.0,249.442466689,0.0,2615.52001953125,0.0,-0.004698292817920446,2.05859375,752.443359375,0.0,0.0,1774217961.8600285,0.0,0.0,,4380672.0,-2780.3017578125,0.0,0.0070928786881268024,0.0
45161.63330735249,4634624.0,0.0,258.075809108,0.0,2047.7977294921875,0.0,-0.0030683341901749372,6.505859375,581.7041015625,0.0,0.0,1774217970.468865,0.0,0.0,,4634624.0,-2144.0654296875,0.0,0.005410318728536367,0.0
45213.185400812916,4888576.0,0.0,286.82300247,0.0,2480.841796875,0.0,-0.0018053316744044423,5.3701171875,698.009765625,0.0,0.0,1774218007.8499975,0.0,0.0,"{'path': 'media/html/render_4888576_a9a6a215bf1d9f4e8458.html', 'size': 3939637.0, '_type': 'html-file', 'sha256': 'a9a6a215bf1d9f4e8458991c9cd38373c31828fbc136d0672ae936cce2e685bf'}",4888576.0,-2624.54345703125,0.0,0.004084497690200806,0.0
45202.329213689656,5142528.0,0.0,295.688922913,0.0,2097.1279296875,0.0,-0.0031520987395197153,0.4091796875,584.8330078125,0.0,0.0,1774218008.0545785,0.0,0.0,,5142528.0,-2171.56640625,0.0,0.003916137386113405,0.0
45002.02857994485,5396480.0,0.0,304.291689763,0.0,2337.05517578125,0.0,-0.0071695586666464806,3.1826171875,674.1396484375,0.0,0.0,1774218016.7153535,0.0,0.0,,5396480.0,-2537.984375,0.0,0.003077653469517827,0.0
45233.36512274436,5650432.0,0.0,312.923647627,0.0,2134.22607421875,0.0,-0.003106176620349288,9.9794921875,624.9052734375,0.0,0.0,1774218025.3180807,0.0,0.0,,5650432.0,-2360.91015625,0.0,0.0035285160411149263,0.0
45227.25554409207,5904384.0,0.0,321.527704384,0.0,2537.583251953125,0.0,-0.004551967605948448,1.0234375,737.4794921875,0.0,0.0,1774218033.950128,0.0,0.0,,5904384.0,-2826.65771484375,0.0,0.002805743832141161,0.0
45239.743432009156,6158336.0,0.0,350.321712971,0.0,2567.136474609375,0.0,-0.00182295311242342,0.8603515625,733.9169921875,0.0,0.0,1774218071.3488073,0.0,0.0,"{'path': 'media/html/render_6158336_038bdf3308085faedea0.html', 'size': 3972665.0, '_type': 'html-file', 'sha256': '038bdf3308085faedea077544931f7ebdc783ae154fc085e1f412ea2ee7be983'}",6158336.0,-2816.10693359375,0.0,0.0021887237671762705,0.0
45110.83865260392,6412288.0,0.0,359.1144357,0.0,2509.6865234375,0.0,-0.004553587641566992,1.86328125,724.458984375,0.0,0.0,1774218071.5207329,0.0,0.0,,6412288.0,-2806.61279296875,0.0,0.002310833428055048,0.0
45111.343033980724,6666240.0,0.0,367.7513875,0.0,2667.3720703125,0.0,0.0011731975246220827,1.1357421875,769.953125,0.0,0.0,1774218080.1409602,0.0,0.0,,6666240.0,-3011.7109375,0.0,0.0020718190353363752,0.0
45165.92865496303,6920192.0,0.0,376.357384417,0.0,2350.59521484375,0.0,-0.002416823757812381,1.0556640625,666.41015625,0.0,0.0,1774218088.7778745,0.0,0.0,,6920192.0,-2568.9697265625,0.0,0.0025314500089734793,0.0
45227.196012150074,7174144.0,0.0,384.988598642,0.0,2918.00341796875,0.0,-0.0006017386913299561,2.7109375,838.880859375,0.0,0.0,1774218097.3839488,0.0,0.0,,7174144.0,-3238.734130859375,0.0,0.002919539576396346,0.0
45226.059174169335,7428096.0,0.0,412.720657071,0.0009765625,2417.100830078125,0.0029296875,-0.002456176560372114,4.42578125,697.224609375,0.0029296875,0.0,1774218133.747757,0.0,0.0,"{'path': 'media/html/render_7428096_cd9d0b2499525397f576.html', 'size': 3919437.0, '_type': 'html-file', 'sha256': 'cd9d0b2499525397f576b4073cdcf877b7894f14173450fc6f6fc5b6dfe41a1f'}",7428096.0,-2725.43017578125,0.0,0.003371425438672304,0.0
45232.28367817076,7682048.0,0.0,421.585010408,0.0,2531.947265625,0.0,0.001148359035141766,0.0,720.9365234375,0.0,0.0,1774218133.9171956,0.0,0.0,,7682048.0,-2805.482421875,0.0,0.0027047444600611925,0.0
44784.83260294712,7936000.0,0.0,430.190454154,0.0,2718.097900390625,0.0,-0.0035920070949941874,3.533203125,780.4873046875,0.0,0.0,1774218142.6116374,0.0,0.0,,7936000.0,-3067.86181640625,0.0,0.0028015924617648125,0.0
45181.71336473262,8189952.0,0.0,438.84651521,0.0,2616.51123046875,0.0,0.005461935885250568,6.21484375,759.0537109375,0.0,0.0,1774218151.2169948,0.0,0.0,,8189952.0,-2951.813232421875,0.0,0.002306491369381547,0.0
45030.8670861874,8443904.0,0.0,447.455921214,0.0,2809.792724609375,0.0,0.00537888752296567,1.2216796875,807.5615234375,0.0,0.0,1774218159.8730137,0.0,0.0,,8443904.0,-3167.2021484375,0.0,0.001939412672072649,0.0
45176.90340617088,8697856.0,0.0,476.292709305,0.0,2515.202880859375,0.0,0.008429103530943394,0.9462890625,716.830078125,0.0,0.0,1774218197.319734,0.0,0.0,"{'path': 'media/html/render_8697856_a0f6efe1cccc7514f7a3.html', 'size': 3887033.0, '_type': 'html-file', 'sha256': 'a0f6efe1cccc7514f7a36dbca8e41a71eed4dc7f97dd64d7096d2ade6ceeb6f1'}",8697856.0,-2807.08740234375,0.0,0.0019338270649313927,0.0
45203.79865746463,8951808.0,0.0,485.104128491,0.0,2310.1611328125,0.0,0.013108748011291027,1.970703125,664.0322265625,0.0,0.0,1774218197.511636,0.0,0.0,,8951808.0,-2605.37744140625,0.0,0.0018073749961331487,0.0
45117.59715358301,9205760.0,0.0,493.735266016,0.0,2553.330078125,0.0,0.004337640479207039,3.9873046875,721.9990234375,0.0,0.0,1774218206.1305344,0.0,0.0,,9205760.0,-2837.037109375,0.0,0.0017730729887261987,0.0
45198.52943719009,9459712.0,0.0,502.340305468,0.0,2766.69970703125,0.0,0.0007630923064425588,3.69140625,779.4951171875,0.0,0.0,1774218214.761853,0.0,0.0,,9459712.0,-3060.86376953125,0.0,0.0016798290889710188,0.0
45228.68243720914,9713664.0,0.0,510.983540835,0.0,2356.482421875,0.0,-0.013431516475975513,3.7685546875,665.37890625,0.0,0.0,1774218223.3668609,0.0,0.0,,9713664.0,-2621.72021484375,0.0,0.002269586082547903,0.0
45108.299722193675,9967616.0,0.0,539.342820149,0.0,2167.125,0.0,-0.011119520291686058,7.482421875,624.9404296875,0.0,0.0,1774218260.369875,0.0,0.0,"{'path': 'media/html/render_9967616_fc5ebe101297dad400ee.html', 'size': 3960145.0, '_type': 'html-file', 'sha256': 'fc5ebe101297dad400eeae713531821874ee763359228597ad2d7821f867f601'}",9967616.0,-2457.5966796875,0.0,0.002097902586683631,0.0
45338.787573972026,10221568.0,0.0,548.248790495,0.0,2720.080810546875,0.0,-0.0033516674302518368,0.849609375,781.0458984375,0.0,0.0,1774218260.5627065,0.0,0.0,,10221568.0,-3090.209228515625,0.0,0.002222054870799184,0.0
44661.20748646549,10475520.0,0.0,556.890137299,0.0009765625,2794.026611328125,0.005859375,-0.001682710717432201,4.2822265625,803.466796875,0.005859375,0.0,1774218269.2752044,0.0,0.0,,10475520.0,-3178.56298828125,0.0,0.002005512360483408,0.0
44912.79682104908,10729472.0,0.0,565.598246426,0.0,2369.37939453125,0.0,-0.010572162456810474,8.8369140625,689.5302734375,0.0,0.0,1774218277.916697,0.0,0.0,,10729472.0,-2732.24609375,0.0,0.0026692815590649843,0.0
44933.0959098321,10983424.0,0.0,574.220030633,0.0,2177.9453125,0.0,-0.0006767024751752615,3.7421875,634.9423828125,0.0,0.0,1774218286.6247113,0.0,0.0,,10983424.0,-2516.255859375,0.0,0.0022758557461202145,0.0
45038.18056339677,11237376.0,0.0,602.960143771,0.0,1808.9293212890625,0.0,0.011114174500107765,8.509765625,518.150390625,0.0,0.0,1774218323.987183,0.0,0.0,"{'_type': 'html-file', 'sha256': 'ffd8621545f30e9648e47693de9e758f78943fd7b2dcfbda67d39b54df7a90a3', 'path': 'media/html/render_11237376_ffd8621545f30e9648e4.html', 'size': 3799577.0}",11237376.0,-2057.978515625,0.0,0.0018664408707991242,0.0
44930.05954252621,11491328.0,0.0,611.792852344,0.0,2451.198974609375,0.0,0.034173812717199326,0.0517578125,711.474609375,0.0,0.0,1774218324.1610277,0.0,0.0,,11491328.0,-2834.369873046875,0.0,0.0010618773521855474,0.0
44873.765953951,11745280.0,0.0,620.443040443,0.0009765625,2270.38330078125,0.0478515625,0.04575706273317337,1.9912109375,658.26171875,0.0478515625,0.0,1774218332.8193922,0.0,0.0,,11745280.0,-2610.5595703125,0.0,0.0006897466373629868,0.0
45021.20954900211,11999232.0,0.0,629.066208543,0.0009765625,2784.00244140625,0.03515625,0.04386812821030617,5.861328125,802.8876953125,0.03515625,0.0,1774218341.4696853,0.0,0.0,,11999232.0,-3194.956298828125,0.0,0.0008786828839220107,0.0
45112.04421925427,12253184.0,0.0,637.724936671,0.0,2541.53564453125,0.0,0.04097115620970726,4.93359375,743.5068359375,0.0,0.0,1774218350.0927796,0.0,0.0,,12253184.0,-2954.329833984375,0.0,0.0009061917080543935,0.0
45002.60468386228,12507136.0,0.0,665.75029537,0.0,2946.25,0.0,0.03303124010562897,2.693359375,851.3349609375,0.0,0.0,1774218386.7773974,0.0,0.0,"{'path': 'media/html/render_12507136_16f24592d835413c0e5d.html', 'size': 3917085.0, '_type': 'html-file', 'sha256': '16f24592d835413c0e5da218739c8d378df11cbf68dc5a99680516183d0c9355'}",12507136.0,-3391.19921875,0.0,0.0012307637371122837,0.0
45086.87634568838,12761088.0,0.0,674.603445133,0.0,1983.69775390625,0.0,0.028759747743606567,2.0263671875,564.998046875,0.0,0.0,1774218386.94553,0.0,0.0,,12761088.0,-2247.912841796875,0.0,0.0012711520539596677,0.0
44836.78263150342,13015040.0,0.0,683.234649694,0.0009765625,1896.1553955078125,0.8173828125,0.025836413726210594,2.630859375,540.466796875,0.8173828125,0.0,1774218395.6299748,0.0,0.0,,13015040.0,-2151.4365234375,0.0,0.0010058640036731958,0.0
45024.56466431597,13268992.0,0.0,691.896914376,0.0,2658.79638671875,0.0,0.020992014557123184,2.708984375,762.462890625,0.0,0.0,1774218404.2610965,0.0,0.0,,13268992.0,-3036.04052734375,0.0,0.0008944151923060417,0.0
44985.1436909055,13522944.0,0.0,700.522806196,0.0,2329.900634765625,0.0,0.023438377305865288,0.4912109375,674.8779296875,0.0,0.0,1774218412.923557,0.0,0.0,,13522944.0,-2690.205078125,0.0,0.000680216820910573,0.0
45041.42773938949,13776896.0,0.0,729.3782629,0.0,2511.27490234375,0.0,0.013412539847195148,1.751953125,718.6591796875,0.0,0.0,1774218450.4052963,0.0,0.0,"{'path': 'media/html/render_13776896_5446c1ec5a19d1b31e68.html', 'size': 3845961.0, '_type': 'html-file', 'sha256': '5446c1ec5a19d1b31e687793a6310ed369d3d0bd3d05ad05a242a7c8f2cd17b6'}",13776896.0,-2863.06201171875,0.0,0.0010596724459901452,0.0
44969.22641195901,14030848.0,0.0,738.262788475,0.0,2920.138427734375,0.0,0.013738048262894154,1.90234375,845.26171875,0.0,0.0,1774218450.6206,0.0,0.0,,14030848.0,-3371.609375,0.0,0.0010492239380255342,0.0
44743.49750866766,14284800.0,0.0,746.905819883,0.0,2738.3671875,0.0,0.00990112405270338,0.056640625,771.236328125,0.0,0.0,1774218459.2894049,0.0,0.0,,14284800.0,-3079.04638671875,0.0,0.0010103849926963449,0.0
45094.54021550338,14538752.0,0.0,755.534994796,0.0,2902.64208984375,0.0,0.016062220558524132,8.646484375,836.6806640625,0.0,0.0,1774218467.9320037,0.0,0.0,,14538752.0,-3340.9130859375,0.0,0.0007498046034015715,0.0
44978.02785782467,14792704.0,0.0,764.181193622,0.0009765625,2445.098388671875,0.931640625,0.015974733978509903,7.3076171875,705.638671875,0.931640625,0.0,1774218476.5615196,0.0,0.0,,14792704.0,-2816.3193359375,0.0,0.0009424274321645498,0.0
45052.890871065,15046656.0,0.0,792.351149727,0.0,2783.6376953125,0.0,0.02007783204317093,3.568359375,803.2041015625,0.0,0.0,1774218513.3782666,0.0,0.0,"{'path': 'media/html/render_15046656_671777babe82f82e5d13.html', 'size': 3909289.0, '_type': 'html-file', 'sha256': '671777babe82f82e5d137c404d803c430e03611fb67df8a161af68700dbb329d'}",15046656.0,-3205.935546875,0.0,0.0007475940510630608,0.0
