training/entropy,eval/episode_dist,eval/episode_reward_ctrl,eval/episode_reward_survive,eval/episode_reward,eval/episode_success_any,eval/episode_success_hard,training/alpha_loss,eval/episode_success,eval/episode_success_easy,render,training/log_alpha,training/critic_loss,_step,eval/episode_reward_dist,_runtime,training/sps,_timestamp,step,training/actor_loss,eval/episode_reward_near
,,,,,,,,,,"{'path': 'media/html/render_0_89be4ca1cd24252631eb.html', 'size': 4092325.0, '_type': 'html-file', 'sha256': '89be4ca1cd24252631eb4d1982b3235c1ba397ce00a16bfe030830cf3425ad0f'}",,,0.0,,44.633391687,,1774220379.4859803,,,
,,,,,,,,,,"{'size': 3947493.0, '_type': 'html-file', 'sha256': 'faf67503056c975f2e4503b606867cb1f6b6ca2a40ad8afb84b927dc7ecbb5aa', 'path': 'media/html/render_1_faf67503056c975f2e45.html'}",,,1.0,,95.770839306,,1774220430.6234834,,,
0.0,2140.85498046875,-2153.412841796875,626.8466796875,0.0,0.0,0.0,0.0,0.0,9.7138671875,,0.0,0.0039246566593647,1333248.0,0.0,104.62705245,14365.220223000582,1774220430.8095422,1333248.0,0.10559843480587006,0.0
0.0,2041.323486328125,-2145.62548828125,611.8134765625,0.0,0.0,0.0,0.0,0.0,9.3564453125,,0.0,0.0031335812527686357,1587200.0,0.0,113.257235335,45176.834426167,1774220439.479161,1587200.0,0.07168999314308167,0.0
0.0,2023.927490234375,-2018.8807373046875,589.2861328125,0.00390625,0.0009765625,0.0,0.0,0.00390625,16.6005859375,,0.0,0.006396327633410692,1841152.0,0.0,121.889519925,45134.49366289782,1774220448.1092544,1841152.0,0.04014241322875023,0.0
0.0,1880.9677734375,-1956.400390625,541.19921875,0.9248046875,0.0009765625,0.0,0.0,0.9248046875,4.4404296875,,0.0,0.012663527391850948,2095104.0,0.0,130.519694996,45253.75128388678,1774220456.741544,2095104.0,-0.0171489417552948,0.0
0.0,1171.959716796875,-1216.7294921875,334.0634765625,0.0,0.0,0.0,0.0,0.0,1.849609375,"{'path': 'media/html/render_2349056_decd1ba51856650cd99e.html', 'size': 3911345.0, '_type': 'html-file', 'sha256': 'decd1ba51856650cd99e88a005c6cf7ff314c351fb7a15148cd17e253d471c38'}",0.0,0.014881451614201069,2349056.0,0.0,159.104630683,45259.731479713766,1774220493.9572861,2349056.0,-0.03132377564907074,0.0
0.0,2312.845458984375,-2422.33740234375,640.107421875,0.0,0.0,0.0,0.0,0.0,1.796875,,0.0,0.019219812005758286,2603008.0,0.0,167.945614994,45198.89768640953,1774220494.127874,2603008.0,-0.07461615651845932,0.0
0.0,2461.82568359375,-2506.476806640625,679.7998046875,0.0,0.0,0.0,0.0,0.0,9.271484375,,0.0,0.020972630009055138,2856960.0,0.0,176.549475116,44978.22348464215,1774220502.7975593,2856960.0,-0.10725313425064087,0.0
0.0,2340.338623046875,-2476.478515625,666.8154296875,0.0,0.0,0.0,0.0,0.0,6.7626953125,,0.0,0.017551692202687263,3110912.0,0.0,185.184379698,45260.60845158088,1774220511.4016309,3110912.0,-0.09827104955911636,0.0
