training/alpha_loss,training/log_alpha,eval/episode_success_easy,eval/episode_reward_near,eval/episode_reward,eval/episode_reward_dist,_timestamp,eval/episode_dist,eval/episode_success_any,eval/episode_reward_survive,step,training/sps,eval/episode_reward_ctrl,training/entropy,_step,eval/episode_success_hard,_runtime,eval/episode_success,training/actor_loss,render,training/critic_loss
,,,,,,1774222991.060993,,,,,,,,0.0,,44.805847128,,,"{'size': 4003961.0, '_type': 'html-file', 'sha256': 'e797e8003aa816f092b45386c3c65a7ead0ba3c194720710f665194d568b0ce8', 'path': 'media/html/render_0_e797e8003aa816f092b4.html'}",
,,,,,,1774223041.339565,,,,,,,,1.0,,95.08435061,,,"{'size': 4005245.0, '_type': 'html-file', 'sha256': 'ece23287b0fcca0bb188c5c1a6f8eca551427d361db120dc42a3ae3572de112e', 'path': 'media/html/render_1_ece23287b0fcca0bb188.html'}",
0.0,0.0,12.8359375,0.0,0.90625,0.0,1774223041.5150735,1947.64697265625,0.001953125,567.02734375,1333248.0,14393.073670502394,-1967.3427734375,0.0,1333248.0,0.0,103.926718701,0.90625,-0.1747751533985138,,0.0029593179933726788
0.0,0.0,7.4345703125,0.0,0.0,0.0,1774223050.1814175,2667.27978515625,0.0,761.6484375,1587200.0,45174.79577894311,-2520.271484375,0.0,1587200.0,0.0,112.563390044,0.0,-0.1366966962814331,,0.002829755423590541
0.0,0.0,5.8759765625,0.0,0.0107421875,0.0,1774223058.8181002,2363.42724609375,0.0009765625,663.9794921875,1841152.0,45070.011648746244,-2116.6494140625,0.0,1841152.0,0.0,121.209503112,0.0107421875,-0.15383386611938477,,0.007371427491307259
0.0,0.0,5.337890625,0.0,0.0,0.0,1774223067.4641984,2806.810302734375,0.0,817.943359375,2095104.0,45175.85914810055,-2704.32568359375,0.0,2095104.0,0.0,129.833973848,0.0,-0.23556526005268097,,0.014313580468297005
0.0,0.0,2.888671875,0.0,0.0,0.0,1774223104.711195,2736.69873046875,0.0,800.8447265625,2349056.0,45317.19295929956,-2574.1708984375,0.0,2349056.0,0.0,158.455994823,0.0,-0.24886320531368256,"{'sha256': '814adc828a263bb4ef91f5bc6fab15568d0c9b89eea8f0b3bf23599a3f26b400', 'path': 'media/html/render_2349056_814adc828a263bb4ef91.html', 'size': 3982285.0, '_type': 'html-file'}",0.017610324546694756
0.0,0.0,1.12109375,0.0,0.0,0.0,1774223104.902171,3071.693359375,0.0,874.6552734375,2603008.0,45277.762390597,-3054.197265625,0.0,2603008.0,0.0,167.311402167,0.0,-0.23313136398792267,,0.022973792627453804
0.0,0.0,15.490234375,0.0,0.017578125,0.0,1774223113.5659523,2327.6416015625,0.0009765625,677.2939453125,2856960.0,45015.62514270877,-2325.207763671875,0.0,2856960.0,0.0,175.92153818,0.017578125,-0.2157808095216751,,0.026694007217884064
0.0,0.0,5.65234375,0.0,0.0,0.0,1774223122.1761053,2359.978515625,0.0,674.3955078125,3110912.0,45227.036620947874,-2430.37109375,0.0,3110912.0,0.0,184.56025682,0.0,-0.16309411823749542,,0.023997629061341286
0.0,0.0,7.400390625,0.0,0.0,0.0,1774223130.8146763,2366.33251953125,0.0,685.1884765625,3364864.0,45196.1187038108,-2460.25244140625,0.0,3364864.0,0.0,193.175378122,0.0,-0.13559415936470032,,0.023749981075525284
