training/alpha_loss,eval/episode_success,eval/episode_reward_near,eval/episode_success_easy,training/critic_loss,eval/episode_reward_survive,step,eval/episode_dist,training/actor_loss,eval/episode_reward_ctrl,eval/episode_reward_dist,_runtime,render,training/entropy,_timestamp,_step,eval/episode_success_any,training/sps,training/log_alpha,eval/episode_success_hard,eval/episode_reward
,,,,,,,,,,,46.019472318,"{'_type': 'html-file', 'sha256': '52400840aff7c1a50976057c8f70ec99fc120896dc2f13bc292ec495610008e1', 'path': 'media/html/render_0_52400840aff7c1a50976.html', 'size': 4057585.0}",,1774225597.5780828,0.0,,,,,
,,,,,,,,,,,97.341168195,"{'path': 'media/html/render_1_90b505d6cff85773b53d.html', 'size': 3996389.0, '_type': 'html-file', 'sha256': '90b505d6cff85773b53d33074be8baca38557b557293d80ad50a74c92b797d4c'}",,1774225648.8998425,1.0,,,,,
0.0,0.0,0.0,5.64453125,0.003909258171916008,664.4716796875,1333248.0,2357.0302734375,0.4191916882991791,-1761.26953125,0.0,106.25172823,,0.0,1774225649.0750287,1333248.0,0.0,13796.27544365636,0.0,0.0,0.0
0.0,0.9189453125,0.0,15.5166015625,0.0010676126694306731,538.044921875,1587200.0,1769.05029296875,0.24265804886817932,-1758.1829833984375,0.0,114.951117816,,0.0,1774225657.8099947,1587200.0,0.001953125,44579.47333945889,0.0,0.0,0.9189453125
0.0,0.9130859375,0.0,18.8740234375,0.0015326390275731683,260.7841796875,1841152.0,827.0450439453125,0.13901950418949127,-867.4439697265625,0.0,123.672935321,,0.0,1774225666.5088427,1841152.0,0.001953125,44543.79479287454,0.0,0.0,0.9130859375
0.0,0.0009765625,0.0,12.296875,0.0025026623625308275,684.8818359375,2095104.0,2352.3564453125,0.0694536566734314,-2364.29443359375,0.0,132.380300603,,0.0,1774225675.2311823,2095104.0,0.0009765625,44569.10393133404,0.0,0.0,0.0009765625
0.0,0.009765625,0.0,7.45703125,0.0037983993533998728,612.72265625,2349056.0,2112.0107421875,0.010740074329078197,-2193.938720703125,0.0,160.414301553,"{'path': 'media/html/render_2349056_012d9409b316c723d084.html', 'size': 4046145.0, '_type': 'html-file', 'sha256': '012d9409b316c723d08454ec3fb9d799ad0e6c4b35f307a4fa2d9d2cce82c50c'}",0.0,1774225711.9729655,2349056.0,0.0009765625,44608.05847588252,0.0,0.0,0.009765625
0.0,0.0,0.0,4.501953125,0.004393536597490311,686.013671875,2603008.0,2359.1923828125,-0.025288177654147148,-2465.5634765625,0.0,169.33440297,,0.0,1774225712.1408553,2603008.0,0.0,44593.9582927178,0.0,0.0,0.0
0.0,0.9033203125,0.0,11.169921875,0.004409942775964737,751.7861328125,2856960.0,2584.682373046875,-0.04193292558193207,-2781.6943359375,0.0,178.027378608,,0.0,1774225720.892539,2856960.0,0.0009765625,44329.77873388816,0.0,0.0,0.9033203125
0.0,0.0,0.0,4.7294921875,0.004908484872430563,579.044921875,3110912.0,2015.76318359375,-0.03846808150410652,-2095.0380859375,0.0,186.755824024,,0.0,1774225729.5854604,3110912.0,0.0,44579.09085969755,0.0,0.0,0.0
0.0,0.0,0.0,3.6826171875,0.004738921299576759,613.4345703125,3364864.0,2169.449951171875,-0.02291831001639366,-2127.153076171875,0.0,195.45457571,,0.0,1774225738.313824,3364864.0,0.0,44558.52684697203,0.0,0.0,0.0
0.0,0.0,0.0,6.765625,0.004822590854018927,775.0712890625,3618816.0,2646.048828125,-0.026839710772037506,-2827.04931640625,0.0,223.924356061,"{'path': 'media/html/render_3618816_af1f2ffd791c3fe3560b.html', 'size': 4007181.0, '_type': 'html-file', 'sha256': 'af1f2ffd791c3fe3560be074bedc22e281613a6b1bc6e8f35dbe2f1518f38cd6'}",0.0,1774225775.4829924,3618816.0,0.0,44474.56780362665,0.0,0.0,0.0
0.0,0.869140625,0.0,9.19140625,0.0068700602278113365,674.7001953125,3872768.0,2294.9755859375,-0.041453685611486435,-2442.30224609375,0.0,232.857209475,,0.0,1774225775.6810222,3872768.0,0.0009765625,44448.32531567894,0.0,0.0,0.869140625
0.0,0.0,0.0,5.078125,0.006132528651505709,698.6767578125,4126720.0,2345.16455078125,-0.014956976287066936,-2504.965087890625,0.0,241.594581344,,0.0,1774225784.4152331,4126720.0,0.0,44244.88487452777,0.0,0.0,0.0
0.0,0.0,0.0,8.0302734375,0.005013961344957352,738.1220703125,4380672.0,2544.919189453125,-0.012950669042766094,-2699.01416015625,0.0,250.284960837,,0.0,1774225793.1526237,4380672.0,0.0,44387.92218127401,0.0,0.0,0.0
0.0,0.0,0.0,9.9462890625,0.00402770796790719,774.0810546875,4634624.0,2656.92333984375,0.008104067295789719,-2810.48046875,0.0,258.972349844,,0.0,1774225801.8430889,4634624.0,0.0,44516.24261796083,0.0,0.0,0.0
