eval/episode_success_easy,training/sps,step,training/actor_loss,_runtime,training/log_alpha,eval/episode_reward_ctrl,eval/episode_reward_dist,eval/episode_success_hard,training/alpha_loss,training/critic_loss,_step,_timestamp,eval/episode_reward,eval/episode_reward_survive,training/entropy,eval/episode_dist,eval/episode_success_any,render,eval/episode_reward_near,eval/episode_success
,,,,67.310062549,,,,,,,0.0,1774287347.3698187,,,,,,"{'sha256': '8a9ebadca2ee5c38e372e178a8f6565008b1808e4de6abf5cefd3980932c5356', 'path': 'media/html/render_0_8a9ebadca2ee5c38e372.html', 'size': 3750005.0, '_type': 'html-file'}",,
,,,,158.093131136,,,,,,,1.0,1774287438.1529658,,,,,,"{'path': 'media/html/render_1_9408c942eba417aedeed.html', 'size': 3874101.0, '_type': 'html-file', 'sha256': '9408c942eba417aedeed0e7a89cfd7bd7580996aaa512651638326e8360cde6a'}",,
0.0,10528.0891560281,1333248.0,0.7533594965934753,181.014263115,0.0,-390.72845458984375,0.0,0.0,0.0,0.003350568003952503,1333248.0,1774287438.3390934,0.0,97.6826171875,0.0,815.2916259765625,0.0,,0.0,0.0
0.0,29900.32986752309,1587200.0,0.544867992401123,203.822464025,0.0,-367.76171875,0.0,0.0,0.0,0.0008567239274270833,1587200.0,1774287461.073562,0.0,91.9404296875,0.0,760.08740234375,0.0,,0.0,0.0
0.0,29955.05103466585,1841152.0,0.3629196286201477,226.575715076,0.0,-388.4609375,0.0,0.0,0.0,0.0006502818432636559,1841152.0,1774287483.8817506,0.0,97.115234375,0.0,798.31689453125,0.0,,0.0,0.0
0.0,29951.409696399845,2095104.0,0.22556772828102112,249.371299578,0.0,-369.69921875,0.0,0.0,0.0,0.0006351767806336284,2095104.0,1774287506.634858,0.0,92.4248046875,0.0,751.525146484375,0.0,,0.0,0.0
0.0,29949.28157020952,2349056.0,0.15394853055477142,298.314924604,0.0,-394.08203125,0.0,0.0,0.0,0.00030245500965975225,2349056.0,1774287578.374751,0.0,98.5205078125,0.0,809.982666015625,0.0,"{'path': 'media/html/render_2349056_9408c942eba417aedeed.html', 'size': 3874101.0, '_type': 'html-file', 'sha256': '9408c942eba417aedeed0e7a89cfd7bd7580996aaa512651638326e8360cde6a'}",0.0,0.0
0.0,29888.93590829036,2603008.0,0.11779070645570755,321.194940097,0.0,-375.52734375,0.0,0.0,0.0,0.0001610585895832628,2603008.0,1774287578.5587034,0.0,93.8818359375,0.0,753.2738647460938,0.0,,0.0,0.0
0.0,29808.156856419417,2856960.0,0.09468721598386765,343.965484536,0.0,-372.55078125,0.0,0.0,0.0,9.727384895086288e-05,2856960.0,1774287601.2542913,0.0,93.1376953125,0.0,758.8118896484375,0.0,,0.0,0.0
0.0,29857.4606099741,3110912.0,0.07643821835517883,366.638224242,0.0,-360.34765625,0.0,0.0,0.0,7.317215204238892e-05,3110912.0,1774287624.0244188,0.0,90.0869140625,0.0,741.1632080078125,0.0,,0.0,0.0
0.0,29871.005088844733,3364864.0,0.061889830976724625,389.403771537,0.0,-365.25,0.0,0.0,0.0,5.913950735703111e-05,3364864.0,1774287646.6973166,0.0,91.3125,0.0,746.4241943359375,0.0,,0.0,0.0
0.0,29827.573308884745,3618816.0,0.04918837919831276,437.960370215,0.0,-354.29296875,0.0,0.0,0.0,3.527552689774893e-05,3618816.0,1774287718.0201745,0.0,88.5732421875,0.0,726.754638671875,0.0,"{'path': 'media/html/render_3618816_9408c942eba417aedeed.html', 'size': 3874101.0, '_type': 'html-file', 'sha256': '9408c942eba417aedeed0e7a89cfd7bd7580996aaa512651638326e8360cde6a'}",0.0,0.0
