eval/episode_reward,eval/episode_dist,eval/episode_success,eval/episode_reward_survive,training/sps,training/critic_loss,eval/episode_success_hard,_timestamp,training/log_alpha,training/actor_loss,training/alpha_loss,eval/episode_reward_dist,eval/episode_success_easy,training/entropy,render,eval/episode_success_any,_step,eval/episode_reward_near,step,eval/episode_reward_ctrl,_runtime
,,,,,,,1774362303.0641353,,,,,,,"{'size': 4712433.0, '_type': 'html-file', 'sha256': 'c8748799cda9a51143e1e6c712751626ad7f1aef125c1d85fd06baacffd690f0', 'path': 'media/html/render_0_c8748799cda9a51143e1.html'}",,0.0,,,,59.577427868
,,,,,,,1774362368.7707791,,,,,,,"{'path': 'media/html/render_1_005670f8d64fac36a5a6.html', 'size': 4739201.0, '_type': 'html-file', 'sha256': '005670f8d64fac36a5a6d4e262ff66a703a5c7aa8e5bddc8eb6c619ccc29d4bf'}",,1.0,,,,125.284076999
0.0,72.24545288085938,0.0,0.0,11295.684921418377,0.3408583998680115,0.0,1774362368.9631853,0.0,-2.5393598079681396,0.0,0.0,5.013671875,0.0,,0.0,793600.0,0.0,793600.0,0.0,136.864467653
0.0,119.32716369628906,0.0,0.0,34148.37753602108,0.005767899565398693,0.0,1774362380.3506248,0.0,-0.4313827157020569,0.0,0.0,10.27734375,0.0,,0.0,1047552.0,0.0,1047552.0,0.0,148.234035941
0.0,121.52277374267578,0.0,0.0,34202.220592708996,0.00030399110983125865,0.0,1774362391.7201505,0.0,-0.09433726221323013,0.0,0.0,11.439453125,0.0,,0.0,1301504.0,0.0,1301504.0,0.0,159.601984034
0.0,69.05120086669922,0.0,0.0,34214.81214965937,7.810918032191694e-05,0.0,1774362403.08808,0.0,-0.0304554495960474,0.0,0.0,10.763671875,0.0,,0.0,1555456.0,0.0,1555456.0,0.0,170.973814603
0.0,94.30975341796875,0.0,0.0,34173.32179524174,4.046095273224637e-05,0.0,1774362451.2606525,0.0,-0.007524099666625261,0.0,0.0,5.982421875,0.0,"{'path': 'media/html/render_1809408_080e434160939be9e58f.html', 'size': 4757053.0, '_type': 'html-file', 'sha256': '080e434160939be9e58f933953da25bc260a01aab512980ee6b75a6c5b6e7112'}",0.0,1809408.0,0.0,1809408.0,0.0,207.773883466
0.0,152.16571044921875,0.0,0.0,34183.173455637516,3.880777512677014e-05,0.0,1774362451.490495,0.0,-0.0006374770891852677,0.0,0.0,14.400390625,0.0,,0.0,2063360.0,0.0,2063360.0,0.0,219.403153519
0.0,138.34188842773438,0.0,0.0,34077.340546162995,4.30593136115931e-05,0.0,1774362462.8893304,0.0,-0.0006166315288282931,0.0,0.0,9.4921875,0.0,,0.0,2317312.0,0.0,2317312.0,0.0,230.759240235
0.0,115.10067749023438,0.0,0.0,34259.89618924102,6.623746594414115e-05,0.0,1774362474.2454379,0.0,-0.0006250581354834139,0.0,0.0,9.373046875,0.0,,0.0,2571264.0,0.0,2571264.0,0.0,242.116131
0.0,130.367919921875,0.0,0.0,34231.24421531885,0.0002202776086051017,0.0,1774362485.602375,0.0,-0.0010809625964611769,0.0,0.0,11.5625,0.0,,0.0,2825216.0,0.0,2825216.0,0.0,253.492411772
0.0,52.28984832763672,0.0,0.0,34182.267343911764,0.00014195669791661203,0.0,1774362534.0870726,0.0,-0.003129832446575165,0.0,0.0,3.796875,0.0,"{'size': 4700829.0, '_type': 'html-file', 'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f', 'path': 'media/html/render_3079168_f94447b6c646345518df.html'}",0.0,3079168.0,0.0,3079168.0,0.0,290.600304285
