training/sps,training/actor_loss,training/entropy,_runtime,eval/episode_reward_ctrl,eval/episode_success_easy,eval/episode_reward_dist,eval/episode_success,eval/episode_reward,training/alpha_loss,render,_timestamp,eval/episode_dist,eval/episode_success_hard,eval/episode_reward_near,training/critic_loss,eval/episode_reward_survive,eval/episode_success_any,step,training/log_alpha,_step
,,,60.231357906,,,,,,,"{'sha256': '348d18bd86376b272a801d970a5233f9b558d214700409fa1ef5e6188550f7ca', 'path': 'media/html/render_0_348d18bd86376b272a80.html', 'size': 4760605.0, '_type': 'html-file'}",1774338864.8158617,,,,,,,,,0.0
,,,126.26668748,,,,,,,"{'sha256': '996d4f69f47e0cd10f953e4ac65b58715aafb77e4ffcd2bba714c065b7acf9c7', 'path': 'media/html/render_1_996d4f69f47e0cd10f95.html', 'size': 4788257.0, '_type': 'html-file'}",1774338930.851189,,,,,,,,,1.0
11200.13899869915,0.3274909257888794,0.0,137.811905261,0.0,4.544921875,0.0,0.0,0.0,0.0,,1774338931.0470037,49.51966094970703,0.0,0.0,0.17483875155448914,0.0,0.0,793600.0,0.0,793600.0
34333.95246215407,0.1112028956413269,0.0,149.143010388,0.0,4.36328125,0.0,0.0,0.0,0.0,,1774338942.3960426,51.28820037841797,0.0,0.0,0.0007658577524125576,0.0,0.0,1047552.0,0.0,1047552.0
34369.084541635035,0.0027819215320050716,0.0,160.489177663,0.0,4.51171875,0.0,0.0,0.0,0.0,,1774338953.7270198,50.659828186035156,0.0,0.0,2.361611223022919e-06,0.0,0.0,1301504.0,0.0,1301504.0
34320.85726521622,0.0005417320062406361,0.0,171.822073076,0.0,3.744140625,0.0,0.0,0.0,0.0,,1774338965.0733485,51.83729553222656,0.0,0.0,4.1855575005911305e-08,0.0,0.0,1555456.0,0.0,1555456.0
34359.48011771395,0.0001252891233889386,0.0,208.636020277,0.0,6.49609375,0.0,0.0,0.0,0.0,"{'sha256': '80a3578541531ad2271d33715f85f0b7bd198cb4664e576668ddec8c0125a4fc', 'path': 'media/html/render_1809408_80a3578541531ad2271d.html', 'size': 4715109.0, '_type': 'html-file'}",1774339013.2205465,72.7586898803711,0.0,0.0,3.688040578708751e-06,0.0,0.0,1809408.0,0.0,1809408.0
34369.66233082333,-1.4297914276539814e-05,0.0,220.237759372,0.0,8.794921875,0.0,0.013671875,0.013671875,0.0,,1774339013.440833,122.14857482910156,0.0,0.0,2.9422167244774755e-06,0.0,0.00390625,2063360.0,0.0,2063360.0
34174.118885297175,-2.7609761673375033e-05,0.0,231.580484946,0.0,11.078125,0.0,0.00390625,0.00390625,0.0,,1774339024.8219075,120.78630065917969,0.0,0.0,2.4522108788005426e-07,0.0,0.001953125,2317312.0,0.0,2317312.0
34330.16348586924,-4.0679715311853215e-06,0.0,242.924258951,0.0,10.896484375,0.0,0.0078125,0.0078125,0.0,,1774339036.1646087,120.83656311035156,0.0,0.0,2.719957037378151e-10,0.0,0.001953125,2571264.0,0.0,2571264.0
34309.56229328618,-5.0053866289090365e-05,0.0,254.263884287,0.0,8.83984375,0.0,0.0078125,0.0078125,0.0,,1774339047.5082822,130.291748046875,0.0,0.0,4.1600055737944786e-06,0.0,0.001953125,2825216.0,0.0,2825216.0
34347.60036922436,-6.462496821768582e-05,0.0,291.750206872,0.0,10.580078125,0.0,0.0,0.0,0.0,"{'sha256': '4f4fbf342c3fff6593cc55347b58f303d4dc5686324e3a93c830b7eee6393c66', 'path': 'media/html/render_3079168_4f4fbf342c3fff6593cc.html', 'size': 4773081.0, '_type': 'html-file'}",1774339096.3347666,122.44941711425781,0.0,0.0,2.333286374778254e-06,0.0,0.0,3079168.0,0.0,3079168.0
34330.68353531508,-7.186769653344527e-05,0.0,303.298579685,0.0,7.744140625,0.0,0.001953125,0.001953125,0.0,,1774339096.5306442,127.92276000976562,0.0,0.0,2.4476398721162695e-06,0.0,0.001953125,3333120.0,0.0,3333120.0
34293.15544113399,-2.3956026780069806e-05,0.0,314.613447786,0.0,9.8203125,0.0,0.005859375,0.005859375,0.0,,1774339107.8827603,125.43909454345703,0.0,0.0,2.0810114165215055e-06,0.0,0.001953125,3587072.0,0.0,3587072.0
34448.55006379511,-8.000124944373965e-05,0.0,325.957395738,0.0,9.482421875,0.0,0.005859375,0.005859375,0.0,,1774339119.1974125,125.47769165039062,0.0,0.0,4.1595453694753814e-06,0.0,0.001953125,3841024.0,0.0,3841024.0
34332.346692814404,-7.64280921430327e-05,0.0,337.286616973,0.0,9.388671875,0.0,0.0,0.0,0.0,,1774339130.541466,126.54960632324219,0.0,0.0,3.304162191852811e-06,0.0,0.0,4094976.0,0.0,4094976.0
34380.02258132298,-7.591129542561248e-05,0.0,374.105594691,0.0,9.734375,0.0,0.0,0.0,0.0,"{'sha256': 'd575bea75dcd3ab51974f4fbc34721acc7525ecbe12bf3080ca7412d500251e0', 'path': 'media/html/render_4348928_d575bea75dcd3ab51974.html', 'size': 4775801.0, '_type': 'html-file'}",1774339178.6900496,123.41574096679688,0.0,0.0,2.3253137442225125e-06,0.0,0.0,4348928.0,0.0,4348928.0
34392.08689928417,-3.6595938581740484e-05,0.0,385.670997067,0.0,11.298828125,0.0,0.0,0.0,0.0,,1774339178.906085,120.59416198730469,0.0,0.0,8.56709050367499e-07,0.0,0.0,4602880.0,0.0,4602880.0
34316.41444824964,-4.435843220562674e-05,0.0,396.997894334,0.0,10.203125,0.0,0.0,0.0,0.0,,1774339190.2551014,125.67481994628906,0.0,0.0,2.5702356651891023e-06,0.0,0.0,4856832.0,0.0,4856832.0
