eval/episode_success,training/actor_loss,eval/episode_reward,_timestamp,training/entropy,_step,_runtime,training/sps,render,training/alpha_loss,eval/episode_success_any,eval/episode_success_hard,training/log_alpha,step,eval/episode_dist,eval/episode_reward_ctrl,training/critic_loss,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_reward_survive,eval/episode_success_easy
,,,1774342329.6284044,,0.0,60.138588923,,"{'sha256': '179d46b2f475d3acbeeb209f3624ee99592babc65905726fd9a14195547d695f', 'path': 'media/html/render_0_179d46b2f475d3acbeeb.html', 'size': 4729613.0, '_type': 'html-file'}",,,,,,,,,,,,
,,,1774342395.8114614,,1.0,126.321709473,,"{'_type': 'html-file', 'sha256': '8c249bd82f7d4d275273e631dd36f4b535266ab7ce42da74eaa526d687a5ff5f', 'path': 'media/html/render_1_8c249bd82f7d4d275273.html', 'size': 4775693.0}",,,,,,,,,,,,
0.0,3.1625008583068848,0.0,1774342395.9966643,0.0,793600.0,137.872907336,11213.72906903779,,0.0,0.0,0.0,0.0,793600.0,54.368465423583984,0.0,0.9063433408737183,0.0,0.0,0.0,4.189453125
0.0,0.30959826707839966,0.0,1774342407.3624425,0.0,1047552.0,149.209147849,34256.603889258564,,0.0,0.0,0.0,0.0,1047552.0,53.359710693359375,0.0,0.0028412840329110622,0.0,0.0,0.0,4.94921875
0.0,0.04244927316904068,0.0,1774342418.6984613,0.0,1301504.0,160.549343308,34353.232309068175,,0.0,0.0,0.0,0.0,1301504.0,55.22740936279297,0.0,0.0001389306562487036,0.0,0.0,0.0,4.029296875
0.0,0.006859434302896261,0.0,1774342430.0388644,0.0,1555456.0,171.879423458,34347.46635066774,,0.0,0.0,0.0,0.0,1555456.0,55.64368438720703,0.0,3.234596078982577e-05,0.0,0.0,0.0,4.111328125
0.0,0.0015740528469905257,0.0,1774342478.323932,0.0,1809408.0,208.834071275,34374.986446665425,"{'_type': 'html-file', 'sha256': '802407636c10f2b38582e34e3b46358d545d9d3a8453689233dd680f1851be60', 'path': 'media/html/render_1809408_802407636c10f2b38582.html', 'size': 4743841.0}",0.0,0.0,0.0,0.0,1809408.0,54.27964782714844,0.0,1.8023789380094968e-05,0.0,0.0,0.0,4.7578125
0.0,0.00022744912712369114,0.0,1774342478.529115,0.0,2063360.0,220.411605683,34339.19023964692,,0.0,0.0,0.0,0.0,2063360.0,54.254234313964844,0.0,1.1133071893709712e-05,0.0,0.0,0.0,4.36328125
0.0,-5.486209920491092e-05,0.0,1774342489.9011424,0.0,2317312.0,231.725184498,34201.854882861226,,0.0,0.0,0.0,0.0,2317312.0,54.282623291015625,0.0,1.713675374048762e-05,0.0,0.0,0.0,4.33203125
0.0,-1.957364111149218e-05,0.0,1774342501.214705,0.0,2571264.0,243.049596742,34450.32828447631,,0.0,0.0,0.0,0.0,2571264.0,55.48640441894531,0.0,3.6992603327234974e-06,0.0,0.0,0.0,3.943359375
0.0,-7.483708031941205e-05,0.0,1774342512.5390143,0.0,2825216.0,254.385742407,34392.04914345981,,0.0,0.0,0.0,0.0,2825216.0,53.01062774658203,0.0,1.0176389878324699e-05,0.0,0.0,0.0,4.873046875
0.0,4.173719935351983e-05,0.0,1774342561.520193,0.0,3079168.0,292.030389656,34355.40182969808,"{'_type': 'html-file', 'sha256': '802407636c10f2b38582e34e3b46358d545d9d3a8453689233dd680f1851be60', 'path': 'media/html/render_3079168_802407636c10f2b38582.html', 'size': 4743841.0}",0.0,0.0,0.0,0.0,3079168.0,54.52461624145508,0.0,1.5975745554897003e-05,0.0,0.0,0.0,4.0546875
0.0,3.5311222745804116e-05,0.0,1774342561.7152994,0.0,3333120.0,303.572447172,34335.17099935688,,0.0,0.0,0.0,0.0,3333120.0,53.248924255371094,0.0,9.344596037408337e-06,0.0,0.0,0.0,4.80859375
0.0,-2.934387157438323e-05,0.0,1774342573.0618918,0.0,3587072.0,314.901682775,34310.312702375806,,0.0,0.0,0.0,0.0,3587072.0,54.26228332519531,0.0,1.1468625416455325e-05,0.0,0.0,0.0,4.51171875
0.0,8.010974852368236e-05,0.0,1774342584.3910758,0.0,3841024.0,326.249081667,34373.68188573268,,0.0,0.0,0.0,0.0,3841024.0,55.51309585571289,0.0,5.7712331908987835e-06,0.0,0.0,0.0,4.13671875
