training/alpha_loss,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_near,step,eval/episode_success_hard,eval/episode_success_any,render,training/log_alpha,training/entropy,training/sps,training/critic_loss,_runtime,eval/episode_success_easy,_step,eval/episode_reward,eval/episode_reward_ctrl,eval/episode_dist,training/actor_loss,eval/episode_reward_survive,_timestamp
,,,,,,,"{'size': 942529, '_type': 'html-file', 'sha256': '07eff253289869a92c28f18552f8b42e24d10a54c01d9c04b5258511418144bc', 'path': 'media/html/render_0_07eff253289869a92c28.html'}",,,,,28.466146723,,0.0,,,,,,1774110798.6443307
,,,,,,,"{'sha256': '5dbb4a74159d2e1368336570f8923597dfa18df8290916f3c2d04a4022a83107', 'path': 'media/html/render_1_5dbb4a74159d2e136833.html', 'size': 951261, '_type': 'html-file'}",,,,,59.795776771999996,,1.0,,,,,,1774110829.9740262
0.0,30.0126953125,-251.50051879882812,0.0,1333248.0,0.0,1.0,,0.0,0.0,16625.31646862391,0.030421750620007515,65.634771204,0.0,1333248.0,30.0126953125,0.0,251.50051879882812,-0.9471387267112732,0.0,1774110830.1274745
0.0,36.62109375,-213.810302734375,0.0,1587200.0,0.0,1.0,,0.0,0.0,51210.12901564177,0.03264111280441284,71.310565354,0.0,1587200.0,36.62109375,0.0,213.810302734375,-1.297524094581604,0.0,1774110835.8117843
0.0,79.818359375,-176.4271240234375,0.0,1841152.0,0.0,0.9072265625,,0.0,0.0,51247.66859524479,0.03303678333759308,76.987253233,0.0,1841152.0,79.818359375,0.0,176.4271240234375,-1.1943589448928833,0.0,1774110841.4882662
0.0,185.6337890625,-145.68844604492188,0.0,2095104.0,0.0,0.9296875,,0.0,0.0,51247.306142872316,0.044879574328660965,82.669918264,0.0,2095104.0,185.6337890625,0.0,145.68844604492188,-1.177749752998352,0.0,1774110847.1648712
0.0,290.4501953125,-109.88742065429688,0.0,2349056.0,0.0,0.900390625,"{'path': 'media/html/render_2349056_eaf35c780e44996342e4.html', 'size': 843101, '_type': 'html-file', 'sha256': 'eaf35c780e44996342e4ea67dd1ba433c2b1e0a0d97f2abda973eb35babf5653'}",0.0,0.0,51199.027492168265,0.060166507959365845,97.403094734,0.0,2349056.0,290.4501953125,0.0,109.88742065429688,-1.1043912172317505,0.0,1774110867.5813363
0.0,407.0751953125,-87.9158935546875,0.0,2603008.0,0.0,0.837890625,,0.0,0.0,51325.13883677199,0.09656933695077896,103.241547387,0.0,2603008.0,407.0751953125,0.0,87.9158935546875,-1.1620527505874634,0.0,1774110867.744454
0.0,446.7529296875,-82.23178100585938,0.0,2856960.0,0.0,0.8125,,0.0,0.0,51296.738180882145,0.16352291405200958,108.921634354,0.0,2856960.0,446.7529296875,0.0,82.23178100585938,-1.3280373811721802,0.0,1774110873.4192395
0.0,393.923828125,-93.70606231689453,0.0,3110912.0,0.0,0.7197265625,,0.0,0.0,51204.828729994624,0.3111637234687805,114.593305019,0.0,3110912.0,393.923828125,0.0,93.70606231689453,-1.8331665992736816,0.0,1774110879.0992687
0.0,489.60546875,-72.08799743652344,0.0,3364864.0,0.0,0.734375,,0.0,0.0,51283.843444519465,0.5340892672538757,120.262240684,0.0,3364864.0,489.60546875,0.0,72.08799743652344,-2.378335952758789,0.0,1774110884.7709355
0.0,681.384765625,-57.45512008666992,0.0,3618816.0,0.0,0.9326171875,"{'path': 'media/html/render_3618816_55bf13f560d5022fc420.html', 'size': 845873, '_type': 'html-file', 'sha256': '55bf13f560d5022fc42010e13ba7fa010e143dc188ebb4e5643d447a26bd21aa'}",0.0,0.0,51337.11905014136,0.7054006457328796,135.014302944,0.0,3618816.0,681.384765625,0.0,57.45512008666992,-2.9758973121643066,0.0,1774110905.1925728
0.0,806.7509765625,-44.78021240234375,0.0,3872768.0,0.0,0.9296875,,0.0,0.0,51322.79193411344,0.8671301007270813,140.8460998,0.0,3872768.0,806.7509765625,0.0,44.78021240234375,-4.150251388549805,0.0,1774110905.3524656
0.0,820.236328125,-44.9515266418457,0.0,4126720.0,0.0,0.94140625,,0.0,0.0,51344.98603871014,1.0478323698043823,146.504563507,0.0,4126720.0,820.236328125,0.0,44.9515266418457,-5.790202617645264,0.0,1774110911.0237947
0.0,889.90234375,-38.88473892211914,0.0,4380672.0,0.0,0.9853515625,,0.0,0.0,51428.10147417789,1.2780479192733765,152.156600297,0.0,4380672.0,889.90234375,0.0,38.88473892211914,-7.5442376136779785,0.0,1774110916.6818068
0.0,865.12890625,-36.02558898925781,0.0,4634624.0,0.0,0.984375,,0.0,0.0,51497.89840734637,1.5817679166793823,157.820637567,0.0,4634624.0,865.12890625,0.0,36.02558898925781,-9.923013687133789,0.0,1774110922.3344345
0.0,893.87109375,-36.736839294433594,0.0,4888576.0,0.0,0.97265625,"{'size': 871737, '_type': 'html-file', 'sha256': '1e5de2cf343ad28c76be2251686d09dcb68e10666f6742103a2fbe2e7698e884', 'path': 'media/html/render_4888576_1e5de2cf343ad28c76be.html'}",0.0,0.0,51374.934314961094,1.7795190811157227,172.69804494,0.0,4888576.0,893.87109375,0.0,36.736839294433594,-12.22311782836914,0.0,1774110942.8762307
0.0,900.6953125,-33.65132141113281,0.0,5142528.0,0.0,0.9833984375,,0.0,0.0,51266.20241390395,1.9408934116363525,178.508304274,0.0,5142528.0,900.6953125,0.0,33.65132141113281,-13.899928092956543,0.0,1774110943.0242038
0.0,822.376953125,-42.36967468261719,0.0,5396480.0,0.0,0.966796875,,0.0,0.0,51429.52431422232,2.1379356384277344,184.161457591,0.0,5396480.0,822.376953125,0.0,42.36967468261719,-15.555987358093262,0.0,1774110948.685916
0.0,904.34765625,-33.51066589355469,0.0,5650432.0,0.0,0.9599609375,,0.0,0.0,51501.93222722314,2.261453628540039,189.808044861,0.0,5650432.0,904.34765625,0.0,33.51066589355469,-17.225685119628906,0.0,1774110954.3385682
