eval/episode_success_easy,eval/episode_success,eval/episode_dist,training/actor_loss,render,eval/episode_reward_dist,_timestamp,eval/episode_reward_ctrl,eval/episode_success_hard,eval/episode_reward,eval/episode_success_any,eval/episode_reward_survive,_runtime,training/sps,eval/episode_reward_near,training/log_alpha,training/critic_loss,training/alpha_loss,training/entropy,_step,step
,,,,"{'sha256': '7b709ab734695b3768e557edae5da99b68ff5f01b8d80a2be9ee8f9d38ac8246', 'path': 'media/html/render_0_7b709ab734695b3768e5.html', 'size': 943893, '_type': 'html-file'}",,1774113972.152736,,,,,,30.266431434,,,,,,,0.0,
,,,,"{'sha256': 'b14d22620eea40ec9ccf3873d0057ddb70145f77278ec39391ad0b959d27e9df', 'path': 'media/html/render_1_b14d22620eea40ec9ccf.html', 'size': 949705, '_type': 'html-file'}",,1774114005.0763094,,,,,,63.190013379,,,,,,,1.0,
0.0,19.8251953125,288.5646057128906,-0.5680674314498901,,-288.5646057128906,1774114005.252111,0.0,0.0,19.8251953125,1.0,0.0,69.07172323099999,15757.432766416383,0.0,0.0,0.025903023779392242,0.0,0.0,1333248.0,1333248.0
0.0,72.048828125,206.02279663085938,-0.9069360494613647,,-206.02279663085938,1774114010.9571548,0.0,0.0,72.048828125,0.9990234375,0.0,74.779268445,50994.723991180945,0.0,0.0,0.03967921435832977,0.0,0.0,1587200.0,1587200.0
0.0,207.41015625,127.6386947631836,-1.0142349004745483,,-127.6386947631836,1774114016.665115,0.0,0.0,207.41015625,0.9365234375,0.0,80.514135291,50910.6029468973,0.0,0.0,0.06753084808588028,0.0,0.0,1841152.0,1841152.0
0.0,332.078125,87.88375854492188,-0.9826087951660156,,-87.88375854492188,1774114022.399968,0.0,0.0,332.078125,0.8037109375,0.0,86.233765586,50658.2849421339,0.0,0.0,0.11189121752977371,0.0,0.0,2095104.0,2095104.0
0.0,308.72265625,102.11758422851562,-1.1290464401245117,"{'_type': 'html-file', 'sha256': '05724b0beda7069002e6974716f82457c41f9040dd32a4a861806300f075d406', 'path': 'media/html/render_2349056_05724b0beda7069002e6.html', 'size': 899937}",-102.11758422851562,1774114043.5289192,0.0,0.0,308.72265625,0.7744140625,0.0,101.642610175,50803.99520058945,0.0,0.0,0.1848776936531067,0.0,0.0,2349056.0,2349056.0
0.0,444.7099609375,77.21932983398438,-1.7571042776107788,,-77.21932983398438,1774114043.704364,0.0,0.0,444.7099609375,0.8447265625,0.0,107.525811705,50909.023750428605,0.0,0.0,0.2781318426132202,0.0,0.0,2603008.0,2603008.0
0.0,580.2109375,65.85689544677734,-2.990706205368042,,-65.85689544677734,1774114049.4116662,0.0,0.0,580.2109375,0.8193359375,0.0,113.239328902,50958.1512114135,0.0,0.0,0.45677101612091064,0.0,0.0,2856960.0,2856960.0
0.0,626.900390625,69.62309265136719,-4.997413635253906,,-69.62309265136719,1774114055.125176,0.0,0.0,626.900390625,0.8203125,0.0,118.941349045,50858.59942154564,0.0,0.0,0.7505263090133667,0.0,0.0,3110912.0,3110912.0
