eval/episode_success,training/alpha_loss,eval/episode_success_hard,render,training/actor_loss,eval/episode_success_any,eval/episode_reward_ctrl,training/critic_loss,_runtime,training/log_alpha,eval/episode_reward,eval/episode_success_easy,step,_step,training/sps,_timestamp,eval/episode_reward_near,training/entropy,eval/episode_reward_dist,eval/episode_reward_survive,eval/episode_dist
,,,"{'_type': 'html-file', 'sha256': '7c9b379e59723f2474cb8523a41d1147345bacd7235ee8d03196c322cc21d5a8', 'path': 'media/html/render_0_7c9b379e59723f2474cb.html', 'size': 943517}",,,,,28.819866442,,,,,0.0,,1774118729.110332,,,,,
,,,"{'size': 944025, '_type': 'html-file', 'sha256': '307ed29241cd5b1262a404e09c956e84b47431fa00e9de6661d3ad5f0b68f46a', 'path': 'media/html/render_1_307ed29241cd5b1262a4.html'}",,,,,60.458895727,,,,,1.0,,1774118760.7494588,,,,,
116.4033203125,0.0,0.0,,-0.5002855658531189,0.982421875,0.0,0.03859864920377731,66.312477697,0.0,116.4033203125,0.0,1333248.0,1333248.0,16532.94311954345,1774118760.9269373,0.0,0.0,-149.81890869140625,0.0,149.81890869140625
231.552734375,0.0,0.0,,-0.7532398700714111,0.7666015625,0.0,0.0706869512796402,71.989890213,0.0,231.552734375,0.0,1587200.0,1587200.0,51316.4744167004,1774118766.6018968,0.0,0.0,-118.017333984375,0.0,118.017333984375
134.1435546875,0.0,0.0,,-0.764021635055542,0.8642578125,0.0,0.13822665810585022,77.669087047,0.0,134.1435546875,0.0,1841152.0,1841152.0,51229.33050158098,1774118772.2799766,0.0,0.0,-141.69329833984375,0.0,141.69329833984375
222.9814453125,0.0,0.0,,-0.7147156000137329,0.8701171875,0.0,0.2406492531299591,83.343589327,0.0,222.9814453125,0.0,2095104.0,2095104.0,51212.44592727273,1774118777.9591835,0.0,0.0,-130.41635131835938,0.0,130.41635131835938
274.4033203125,0.0,0.0,"{'size': 945469, '_type': 'html-file', 'sha256': '04987d9e7d6e73e770e2f99599867bc4da6213d41ca7b371943b30e6807dff70', 'path': 'media/html/render_2349056_04987d9e7d6e73e770e2.html'}",-0.5987164974212646,0.9150390625,0.0,0.32191845774650574,98.580257143,0.0,274.4033203125,0.0,2349056.0,2349056.0,51271.3253802069,1774118798.8707926,0.0,0.0,-123.63240814208984,0.0,123.63240814208984
263.9599609375,0.0,0.0,,-0.5305823683738708,0.9892578125,0.0,0.3941403925418854,104.423660686,0.0,263.9599609375,0.0,2603008.0,2603008.0,51189.00579501866,1774118799.0457683,0.0,0.0,-121.63037872314453,0.0,121.63037872314453
234.2841796875,0.0,0.0,,-0.5901572704315186,0.8896484375,0.0,0.461089551448822,110.092046376,0.0,234.2841796875,0.0,2856960.0,2856960.0,51376.28730655125,1774118804.713352,0.0,0.0,-136.77157592773438,0.0,136.77157592773438
281.1943359375,0.0,0.0,,-0.7541350722312927,0.857421875,0.0,0.5064405202865601,115.757736885,0.0,281.1943359375,0.0,3110912.0,3110912.0,51337.292251362436,1774118810.3818614,0.0,0.0,-109.50839233398438,0.0,109.50839233398438
297.7021484375,0.0,0.0,,-1.0272380113601685,0.955078125,0.0,0.5415274500846863,121.421950314,0.0,297.7021484375,0.0,3364864.0,3364864.0,51341.19453720826,1774118816.0477085,0.0,0.0,-110.41097259521484,0.0,110.41097259521484
353.0380859375,0.0,0.0,"{'sha256': '5622b33060c4fa64d27d890d52144f55e04b2d7906499dbcbc8ec45156cf4d5c', 'path': 'media/html/render_3618816_5622b33060c4fa64d27d.html', 'size': 894517, '_type': 'html-file'}",-1.3833316564559937,0.9248046875,0.0,0.5898556709289551,136.832005755,0.0,353.0380859375,0.0,3618816.0,3618816.0,51382.27998317024,1774118837.1225598,0.0,0.0,-112.58405303955078,0.0,112.58405303955078
354.962890625,0.0,0.0,,-1.8348280191421509,0.9326171875,0.0,0.6327440738677979,142.684604982,0.0,354.962890625,0.0,3872768.0,3872768.0,51332.66075809986,1774118837.2924733,0.0,0.0,-109.03892517089844,0.0,109.03892517089844
396.4453125,0.0,0.0,,-2.4289612770080566,0.9423828125,0.0,0.6849602460861206,148.350872947,0.0,396.4453125,0.0,4126720.0,4126720.0,51257.24461906958,1774118842.974311,0.0,0.0,-99.4079818725586,0.0,99.4079818725586
448.689453125,0.0,0.0,,-2.9529943466186523,0.896484375,0.0,0.7797510027885437,154.01437121,0.0,448.689453125,0.0,4380672.0,4380672.0,51341.365291225986,1774118848.6408722,0.0,0.0,-102.68759155273438,0.0,102.68759155273438
561.3408203125,0.0,0.0,,-3.6153757572174072,0.93359375,0.0,0.8786231875419617,159.686884117,0.0,561.3408203125,0.0,4634624.0,4634624.0,51379.16946577287,1774118854.3044646,0.0,0.0,-78.34846496582031,0.0,78.34846496582031
662.00390625,0.0,0.0,"{'size': 850009, '_type': 'html-file', 'sha256': '525673236a8a65a2598bdace57cd119260888b0f5e38aa2eab50f8113702e4b0', 'path': 'media/html/render_4888576_525673236a8a65a2598b.html'}",-4.1659255027771,0.9716796875,0.0,0.9841015934944153,174.325362019,0.0,662.00390625,0.0,4888576.0,4888576.0,51273.109775044715,1774118874.6159103,0.0,0.0,-61.00688552856445,0.0,61.00688552856445
666.447265625,0.0,0.0,,-5.197547912597656,0.9453125,0.0,1.1231424808502197,180.153108479,0.0,666.447265625,0.0,5142528.0,5142528.0,51295.569706469374,1774118874.7657666,0.0,0.0,-59.090213775634766,0.0,59.090213775634766
703.490234375,0.0,0.0,,-6.18698263168335,0.9560546875,0.0,1.2633318901062012,185.808744357,0.0,703.490234375,0.0,5396480.0,5396480.0,51277.814459706635,1774118880.4430792,0.0,0.0,-56.810752868652344,0.0,56.810752868652344
712.294921875,0.0,0.0,,-7.231837749481201,0.9384765625,0.0,1.4034134149551392,191.46553608,0.0,712.294921875,0.0,5650432.0,5650432.0,51487.2491717898,1774118886.098456,0.0,0.0,-52.86112976074219,0.0,52.86112976074219
760.359375,0.0,0.0,,-8.037508010864258,0.9443359375,0.0,1.5534145832061768,197.103745069,0.0,760.359375,0.0,5904384.0,5904384.0,51444.04525947454,1774118891.7556736,0.0,0.0,-46.407325744628906,0.0,46.407325744628906
746.6943359375,0.0,0.0,"{'size': 849745, '_type': 'html-file', 'sha256': '8512d1a2b57fc513514a03653ba1ca5bec9999f33ae182b83493616aaef7b600', 'path': 'media/html/render_6158336_8512d1a2b57fc513514a.html'}",-9.294662475585938,0.96484375,0.0,1.7590651512145996,211.861743507,0.0,746.6943359375,0.0,6158336.0,6158336.0,51647.196158772356,1774118912.1522875,0.0,0.0,-45.523040771484375,0.0,45.523040771484375
888.3310546875,0.0,0.0,,-10.684038162231445,0.994140625,0.0,1.9945683479309082,217.680609091,0.0,888.3310546875,0.0,6412288.0,6412288.0,51515.2582835484,1774118912.3069947,0.0,0.0,-34.628021240234375,0.0,34.628021240234375
880.361328125,0.0,0.0,,-11.877969741821289,0.9794921875,0.0,2.128967761993408,223.332676421,0.0,880.361328125,0.0,6666240.0,6666240.0,51431.96294220533,1774118917.9706836,0.0,0.0,-34.873016357421875,0.0,34.873016357421875
836.8349609375,0.0,0.0,,-12.78805923461914,0.9931640625,0.0,2.307647943496704,228.992698529,0.0,836.8349609375,0.0,6920192.0,6920192.0,51483.003650228624,1774118923.622661,0.0,0.0,-36.204219818115234,0.0,36.204219818115234
886.2890625,0.0,0.0,,-14.118767738342285,0.97265625,0.0,2.4246513843536377,234.649478256,0.0,886.2890625,0.0,7174144.0,7174144.0,51426.06295226454,1774118929.2826474,0.0,0.0,-32.02888488769531,0.0,32.02888488769531
