eval/episode_reward_near,_timestamp,eval/episode_reward_ctrl,eval/episode_success_hard,eval/episode_dist,eval/episode_reward_dist,_step,eval/episode_success,training/actor_loss,step,render,eval/episode_reward,training/sps,eval/episode_reward_survive,training/entropy,training/alpha_loss,training/log_alpha,training/critic_loss,eval/episode_success_any,_runtime,eval/episode_success_easy
,1774121884.1837885,,,,,0.0,,,,"{'sha256': '2871ad4ef5b4d1f4cf3f1654eef1fbc51a0de58561f6204dd2677473521bef58', 'path': 'media/html/render_0_2871ad4ef5b4d1f4cf3f.html', 'size': 936225, '_type': 'html-file'}",,,,,,,,,29.13389028,
,1774121915.8385363,,,,,1.0,,,,"{'sha256': '058cc4d6608a46b1e01ee529ccfa19bf056ee7d46f4c54fca7d496adcab868ec', 'path': 'media/html/render_1_058cc4d6608a46b1e01e.html', 'size': 931973, '_type': 'html-file'}",,,,,,,,,60.788475517,
0.0,1774121915.9958797,0.0,0.0,133.50152587890625,-133.50152587890625,1333248.0,186.4462890625,-0.7623679041862488,1333248.0,,186.4462890625,16395.76247076275,0.0,0.0,0.0,0.0,0.03455265238881111,0.8935546875,66.649600114,0.0
0.0,1774121921.6988096,0.0,0.0,101.15196228027344,-101.15196228027344,1587200.0,252.75,-1.4500914812088013,1587200.0,,252.75,51004.44994220081,0.0,0.0,0.0,0.0,0.08997569978237152,0.6416015625,72.353382803,0.0
0.0,1774121927.4029138,0.0,0.0,92.72608947753906,-92.72608947753906,1841152.0,316.076171875,-1.9418967962265015,1841152.0,,316.076171875,50937.14030932368,0.0,0.0,0.0,0.0,0.21330612897872925,0.7314453125,78.056460725,0.0
0.0,1774121933.1059985,0.0,0.0,75.46299743652344,-75.46299743652344,2095104.0,464.3759765625,-2.745849132537842,2095104.0,,464.3759765625,50960.5989800052,0.0,0.0,0.0,0.0,0.43208539485931396,0.8095703125,83.773120684,0.0
0.0,1774121954.1707795,0.0,0.0,101.87895202636719,-101.87895202636719,2349056.0,382.1142578125,-3.916898250579834,2349056.0,"{'sha256': '5135dcf825af5cbdf61adc9b1b9e0f01adf098cc6802a2f282e3f3c09323d5dc', 'path': 'media/html/render_2349056_5135dcf825af5cbdf61a.html', 'size': 856609, '_type': 'html-file'}",382.1142578125,50840.560505171416,0.0,0.0,0.0,0.0,0.7913608551025391,0.6845703125,99.120787045,0.0
0.0,1774121954.3382149,0.0,0.0,69.63337707519531,-69.63337707519531,2603008.0,613.3701171875,-5.092738628387451,2603008.0,,613.3701171875,50958.53396449754,0.0,0.0,0.0,0.0,1.1197909116744995,0.892578125,104.980930105,0.0
0.0,1774121960.0304556,0.0,0.0,65.27816009521484,-65.27816009521484,2856960.0,588.0791015625,-6.475194454193115,2856960.0,,588.0791015625,51104.2259235064,0.0,0.0,0.0,0.0,1.436527967453003,0.8203125,110.688375696,0.0
0.0,1774121965.7378905,0.0,0.0,53.04935836791992,-53.04935836791992,3110912.0,721.3134765625,-7.951140880584717,3110912.0,,721.3134765625,50912.118970343356,0.0,0.0,0.0,0.0,1.7240837812423706,0.8916015625,116.400094047,0.0
0.0,1774121971.4495509,0.0,0.0,45.023902893066406,-45.023902893066406,3364864.0,798.03515625,-10.025214195251465,3364864.0,,798.03515625,50855.029948529635,0.0,0.0,0.0,0.0,2.050194501876831,0.91015625,122.102291392,0.0
0.0,1774121992.1727743,0.0,0.0,47.665985107421875,-47.665985107421875,3618816.0,786.4033203125,-11.923760414123535,3618816.0,"{'sha256': '2edf58b75b57f607eefbfaecafa635c0fb19fcfd5c6ac0e3400b03fa3e4baa27', 'path': 'media/html/render_3618816_2edf58b75b57f607eefb.html', 'size': 841741, '_type': 'html-file'}",786.4033203125,51001.284877115206,0.0,0.0,0.0,0.0,2.3110833168029785,0.9091796875,137.122782329,0.0
0.0,1774121992.3436139,0.0,0.0,41.191715240478516,-41.191715240478516,3872768.0,829.12109375,-13.983516693115234,3872768.0,,829.12109375,51068.64917456064,0.0,0.0,0.0,0.0,2.531067371368408,0.9296875,142.981052335,0.0
0.0,1774121998.030435,0.0,0.0,45.24817657470703,-45.24817657470703,4126720.0,764.6494140625,-15.878104209899902,4126720.0,,764.6494140625,51182.07188676584,0.0,0.0,0.0,0.0,2.7395544052124023,0.9541015625,148.663475351,0.0
0.0,1774122003.712787,0.0,0.0,35.62980651855469,-35.62980651855469,4380672.0,836.4013671875,-18.040361404418945,4380672.0,,836.4013671875,51160.010997497644,0.0,0.0,0.0,0.0,2.8710055351257324,0.9794921875,154.358270426,0.0
0.0,1774122009.4076505,0.0,0.0,35.92754364013672,-35.92754364013672,4634624.0,838.0908203125,-20.034975051879883,4634624.0,,838.0908203125,51047.49080368013,0.0,0.0,0.0,0.0,2.9660937786102295,0.9345703125,160.051727334,0.0
0.0,1774122030.5599694,0.0,0.0,30.309520721435547,-30.309520721435547,4888576.0,891.35546875,-21.275211334228516,4888576.0,"{'sha256': '32c6d1f8efd1624b1bfbf6f3af601e24b4cab64d318b09eeb4c112f99d1890e3', 'path': 'media/html/render_4888576_32c6d1f8efd1624b1bfb.html', 'size': 878701, '_type': 'html-file'}",891.35546875,51059.97322288695,0.0,0.0,0.0,0.0,3.032644510269165,0.9677734375,175.509968916,0.0
0.0,1774122030.7218847,0.0,0.0,32.58229446411133,-32.58229446411133,5142528.0,892.4775390625,-22.660198211669922,5142528.0,,892.4775390625,51020.20540286803,0.0,0.0,0.0,0.0,3.1086578369140625,0.96484375,181.377035324,0.0
0.0,1774122036.426173,0.0,0.0,34.01714324951172,-34.01714324951172,5396480.0,867.3876953125,-24.137489318847656,5396480.0,,867.3876953125,50958.40719213862,0.0,0.0,0.0,0.0,3.1473374366760254,0.943359375,187.05143406,0.0
0.0,1774122042.1007638,0.0,0.0,31.58707046508789,-31.58707046508789,5650432.0,898.154296875,-25.273927688598633,5650432.0,,898.154296875,51257.78481046588,0.0,0.0,0.0,0.0,3.2220582962036133,0.96484375,192.719877461,0.0
0.0,1774122047.76922,0.0,0.0,30.90677261352539,-30.90677261352539,5904384.0,899.6611328125,-26.338153839111328,5904384.0,,899.6611328125,51298.7639920544,0.0,0.0,0.0,0.0,3.2509894371032715,0.9609375,198.415426195,0.0
0.0,1774122068.458114,0.0,0.0,31.103759765625,-31.103759765625,6158336.0,923.67578125,-27.291091918945312,6158336.0,"{'_type': 'html-file', 'sha256': '88850250f1f36f06ffc0a760f9ea181868d299ec8ea0e236765d1df4ac6bd71c', 'path': 'media/html/render_6158336_88850250f1f36f06ffc0.html', 'size': 858577}",923.67578125,51044.01218153378,0.0,0.0,0.0,0.0,3.275665283203125,0.98046875,213.408079708,0.0
0.0,1774122068.60294,0.0,0.0,30.75893783569336,-30.75893783569336,6412288.0,911.8662109375,-28.092824935913086,6412288.0,,911.8662109375,51025.93440830524,0.0,0.0,0.0,0.0,3.3698580265045166,0.9814453125,219.240659505,0.0
0.0,1774122074.2898545,0.0,0.0,30.173503875732422,-30.173503875732422,6666240.0,922.951171875,-28.945613861083984,6666240.0,,922.951171875,51168.966791656465,0.0,0.0,0.0,0.0,3.374786376953125,0.986328125,224.922372815,0.0
0.0,1774122079.9713743,0.0,0.0,28.479381561279297,-28.479381561279297,6920192.0,921.1318359375,-29.916494369506836,6920192.0,,921.1318359375,51165.442101155844,0.0,0.0,0.0,0.0,3.4118096828460693,0.990234375,230.595220223,0.0
0.0,1774122085.6447787,0.0,0.0,31.772085189819336,-31.772085189819336,7174144.0,903.5166015625,-30.517189025878906,7174144.0,,903.5166015625,51269.85452017465,0.0,0.0,0.0,0.0,3.4575133323669434,0.9775390625,236.273009089,0.0
0.0,1774122105.9233177,0.0,0.0,30.444557189941406,-30.444557189941406,7428096.0,912.3662109375,-30.323806762695312,7428096.0,"{'sha256': 'e868676bcf924debd34a931042537282c807a9ee6af5a3d9da45313a902cb717', 'path': 'media/html/render_7428096_e868676bcf924debd34a.html', 'size': 868141, '_type': 'html-file'}",912.3662109375,51192.85604434851,0.0,0.0,0.0,0.0,3.4427897930145264,0.990234375,250.873294547,0.0
0.0,1774122106.0756164,0.0,0.0,28.567562103271484,-28.567562103271484,7682048.0,949.6962890625,-31.249216079711914,7682048.0,,949.6962890625,51213.47272348308,0.0,0.0,0.0,0.0,3.48453688621521,0.9970703125,256.695038595,0.0
0.0,1774122111.7445037,0.0,0.0,29.760181427001953,-29.760181427001953,7936000.0,937.9873046875,-31.861360549926758,7936000.0,,937.9873046875,51334.89722956391,0.0,0.0,0.0,0.0,3.4804725646972656,0.9873046875,262.381399961,0.0
0.0,1774122117.4304013,0.0,0.0,30.01921844482422,-30.01921844482422,8189952.0,931.26953125,-31.898021697998047,8189952.0,,931.26953125,51135.80623512472,0.0,0.0,0.0,0.0,3.5206685066223145,0.9921875,268.046027022,0.0
