step,eval/episode_success_any,training/actor_loss,_timestamp,training/entropy,eval/episode_reward,eval/episode_reward_dist,training/log_alpha,eval/episode_dist,training/critic_loss,eval/episode_reward_ctrl,eval/episode_reward_near,_step,render,eval/episode_success,eval/episode_reward_survive,eval/episode_success_hard,eval/episode_success_easy,training/sps,_runtime,training/alpha_loss
,,,1774125045.6453083,,,,,,,,,0.0,"{'_type': 'html-file', 'sha256': '6e86927c3730e020d38fdb5e31d7b178657d0095d6609d77cc855d16355bd45a', 'path': 'media/html/render_0_6e86927c3730e020d38f.html', 'size': 941281}",,,,,,28.663576281,
,,,1774125076.8182108,,,,,,,,,1.0,"{'_type': 'html-file', 'sha256': '04563688db66d050f622dcb77d7c4a5d042aa34f29e73379df01b78655a63146', 'path': 'media/html/render_1_04563688db66d050f622.html', 'size': 908785}",,,,,,59.836378083,
1333248.0,0.6689453125,-0.6374486088752747,1774125076.9685812,0.0,193.9052734375,-161.74954223632812,0.0,161.74954223632812,0.034260865300893784,0.0,0.0,1333248.0,,193.9052734375,0.0,0.0,0.0,16694.531944443945,65.672134326,0.0
1587200.0,0.9599609375,-1.5705029964447021,1774125082.652589,0.0,201.8349609375,-130.87408447265625,0.0,130.87408447265625,0.11793410032987595,0.0,0.0,1587200.0,,201.8349609375,0.0,0.0,0.0,51222.2575766873,71.350673238,0.0
1841152.0,0.9345703125,-1.6185842752456665,1774125088.3320162,0.0,219.0205078125,-124.19540405273438,0.0,124.19540405273438,0.22632944583892822,0.0,0.0,1841152.0,,219.0205078125,0.0,0.0,0.0,51222.09746689709,77.03864414,0.0
2095104.0,0.9853515625,-1.410417914390564,1774125094.019713,0.0,233.9013671875,-120.108642578125,0.0,120.108642578125,0.318472683429718,0.0,0.0,2095104.0,,233.9013671875,0.0,0.0,0.0,51134.81446364492,82.725417649,0.0
2349056.0,0.978515625,-1.1510004997253418,1774125114.399302,0.0,322.0654296875,-110.58032989501953,0.0,110.58032989501953,0.42392975091934204,0.0,0.0,2349056.0,"{'path': 'media/html/render_2349056_71dd43b13b21f7451ead.html', 'size': 900809, '_type': 'html-file', 'sha256': '71dd43b13b21f7451eadbded1e1fde945f55353333c38021d1e092f78efbdf21'}",322.0654296875,0.0,0.0,0.0,51147.30278986277,97.417463226,0.0
2603008.0,0.875,-1.0418471097946167,1774125114.5462382,0.0,426.18359375,-81.1229248046875,0.0,81.1229248046875,0.5127855539321899,0.0,0.0,2603008.0,,426.18359375,0.0,0.0,0.0,51250.86431558024,103.229462879,0.0
2856960.0,0.841796875,-1.1195354461669922,1774125120.2102623,0.0,534.498046875,-73.93592834472656,0.0,73.93592834472656,0.6303146481513977,0.0,0.0,2856960.0,,534.498046875,0.0,0.0,0.0,51403.052027961785,108.901284942,0.0
3110912.0,0.8095703125,-1.5978155136108398,1774125125.882363,0.0,578.6376953125,-66.29739379882812,0.0,66.29739379882812,0.791865885257721,0.0,0.0,3110912.0,,578.6376953125,0.0,0.0,0.0,51301.392844095724,114.56975547,0.0
